"cust_acct_mapping_id","acct_id","cust_id","cust_acct_role","src_sys","data_dump_dt"
1,1000,12346,"Primary","1",2018-04-17T16:18:22.696603Z
2,1001,12347,"Primary","1",2018-04-17T16:18:22.696603Z
3,1002,12348,"Primary","1",2018-04-17T16:18:22.696603Z
4,1003,12349,"Primary","1",2018-04-17T16:18:22.696603Z
5,1004,12350,"Primary","1",2018-04-17T16:18:22.696603Z
6,1005,12352,"Primary","1",2018-04-17T16:18:22.696603Z
7,1006,12353,"Primary","1",2018-04-17T16:18:22.696603Z
8,1007,12354,"Primary","1",2018-04-17T16:18:22.696603Z
9,1008,12355,"Primary","1",2018-04-17T16:18:22.696603Z
10,1009,12356,"Primary","1",2018-04-17T16:18:22.696603Z
11,1010,12357,"Primary","1",2018-04-17T16:18:22.696603Z
12,1011,12358,"Primary","1",2018-04-17T16:18:22.696603Z
13,1012,12359,"Primary","1",2018-04-17T16:18:22.696603Z
14,1013,12360,"Primary","1",2018-04-17T16:18:22.696603Z
15,1014,12361,"Primary","1",2018-04-17T16:18:22.696603Z
16,1015,12362,"Primary","1",2018-04-17T16:18:22.696603Z
17,1016,12363,"Primary","1",2018-04-17T16:18:22.696603Z
18,1017,12364,"Primary","1",2018-04-17T16:18:22.696603Z
19,1018,12365,"Primary","1",2018-04-17T16:18:22.696603Z
20,1019,12367,"Primary","1",2018-04-17T16:18:22.696603Z
21,1020,12370,"Primary","1",2018-04-17T16:18:22.696603Z
22,1021,12371,"Primary","1",2018-04-17T16:18:22.696603Z
23,1022,12372,"Primary","1",2018-04-17T16:18:22.696603Z
24,1023,12373,"Primary","1",2018-04-17T16:18:22.696603Z
25,1024,12374,"Primary","1",2018-04-17T16:18:22.696603Z
26,1025,12375,"Primary","1",2018-04-17T16:18:22.696603Z
27,1026,12377,"Primary","1",2018-04-17T16:18:22.696603Z
28,1027,12378,"Primary","1",2018-04-17T16:18:22.696603Z
29,1028,12379,"Primary","1",2018-04-17T16:18:22.696603Z
30,1029,12380,"Primary","1",2018-04-17T16:18:22.696603Z
31,1030,12381,"Primary","1",2018-04-17T16:18:22.696603Z
32,1031,12383,"Primary","1",2018-04-17T16:18:22.696603Z
33,1032,12384,"Primary","1",2018-04-17T16:18:22.696603Z
34,1033,12386,"Primary","1",2018-04-17T16:18:22.696603Z
35,1034,12388,"Primary","1",2018-04-17T16:18:22.696603Z
36,1035,12390,"Primary","1",2018-04-17T16:18:22.696603Z
37,1036,12391,"Primary","1",2018-04-17T16:18:22.696603Z
38,1037,12393,"Primary","1",2018-04-17T16:18:22.696603Z
39,1038,12394,"Primary","1",2018-04-17T16:18:22.696603Z
40,1039,12395,"Primary","1",2018-04-17T16:18:22.696603Z
41,1040,12397,"Primary","1",2018-04-17T16:18:22.696603Z
42,1041,12398,"Primary","1",2018-04-17T16:18:22.696603Z
43,1042,12399,"Primary","1",2018-04-17T16:18:22.696603Z
44,1043,12401,"Primary","1",2018-04-17T16:18:22.696603Z
45,1044,12402,"Primary","1",2018-04-17T16:18:22.696603Z
46,1045,12403,"Primary","1",2018-04-17T16:18:22.696603Z
47,1046,12405,"Primary","1",2018-04-17T16:18:22.696603Z
48,1047,12406,"Primary","1",2018-04-17T16:18:22.696603Z
49,1048,12407,"Primary","1",2018-04-17T16:18:22.696603Z
50,1049,12408,"Primary","1",2018-04-17T16:18:22.696603Z
51,1050,12409,"Primary","1",2018-04-17T16:18:22.696603Z
52,1051,12410,"Primary","1",2018-04-17T16:18:22.696603Z
53,1052,12412,"Primary","1",2018-04-17T16:18:22.696603Z
54,1053,12413,"Primary","1",2018-04-17T16:18:22.696603Z
55,1054,12414,"Primary","1",2018-04-17T16:18:22.696603Z
56,1055,12415,"Primary","1",2018-04-17T16:18:22.696603Z
57,1056,12417,"Primary","1",2018-04-17T16:18:22.696603Z
58,1057,12418,"Primary","1",2018-04-17T16:18:22.696603Z
59,1058,12420,"Primary","1",2018-04-17T16:18:22.696603Z
60,1059,12421,"Primary","1",2018-04-17T16:18:22.696603Z
61,1060,12422,"Primary","1",2018-04-17T16:18:22.696603Z
62,1061,12423,"Primary","1",2018-04-17T16:18:22.696603Z
63,1062,12424,"Primary","1",2018-04-17T16:18:22.696603Z
64,1063,12425,"Primary","1",2018-04-17T16:18:22.696603Z
65,1064,12426,"Primary","1",2018-04-17T16:18:22.696603Z
66,1065,12427,"Primary","1",2018-04-17T16:18:22.696603Z
67,1066,12428,"Primary","1",2018-04-17T16:18:22.696603Z
68,1067,12429,"Primary","1",2018-04-17T16:18:22.696603Z
69,1068,12430,"Primary","1",2018-04-17T16:18:22.696603Z
70,1069,12431,"Primary","1",2018-04-17T16:18:22.696603Z
71,1070,12432,"Primary","1",2018-04-17T16:18:22.696603Z
72,1071,12433,"Primary","1",2018-04-17T16:18:22.696603Z
73,1072,12434,"Primary","1",2018-04-17T16:18:22.696603Z
