"alert_id","src_sys","src_id","cust_id","acct_id","start_ts","end_ts","priority","susptype1","susptype2","susptype3","alert_score","peer_group","disposition","desc_1","desc_2","desc_3","creater_id","create_ts","review_state","review_ts","review_oper","status","closed_ts","disposition_oper","fp_tp_tag"
6,"1",6,17315,4547,"2019-03-17T14:58:03Z",,"low","CR-T","4",,93.8238649163395,,"SAR",,,,"Prime","2019-03-17T14:58:03Z",,,,"Closed",,,"TP"
7,"1",7,17315,4547,"2019-03-17T13:58:03Z",,"high","CR-T","3",,50.0233516329899,,"SAR",,,,"Prime","2019-03-17T13:58:03Z",,,,"Closed",,,"TP"
8,"1",8,17315,4547,"2019-03-11T17:58:03Z",,"medium","CR-T","2",,60.5837396113202,,"SAR",,,,"Prime","2019-03-11T17:58:03Z",,,,"Closed",,,"TP"
9,"1",9,17315,4547,"2019-03-10T17:58:03Z",,"medium","CR-C","3",,54.7833908582106,,"SAR",,,,"Prime","2019-03-10T17:58:03Z",,,,"Closed",,,"TP"
10,"1",10,17315,4547,"2019-03-10T16:58:03Z",,"low","CR-T","1",,75.196038861759,,"Escalated",,,,"Prime","2019-03-10T16:58:03Z",,,,"Closed",,,"TP"
11,"1",11,17315,4547,"2019-03-10T15:58:03Z",,"low","CR-H","4",,89.7501552011818,,"Escalated",,,,"Prime","2019-03-10T15:58:03Z",,,,"Closed",,,"TP"
12,"1",12,17315,4547,"2019-03-10T13:58:03Z",,"high","CR-H","1",,76.61006024573,,"SAR",,,,"Prime","2019-03-10T13:58:03Z",,,,"Closed",,,"TP"
13,"1",13,17315,4547,"2019-02-20T12:20:03Z",,"low","CR-C","4",,59.8618488758802,,"SAR",,,,"Prime","2019-02-20T12:20:03Z",,,,"Closed",,,"TP"
14,"1",14,17315,4547,"2019-02-08T12:41:03Z",,"low","CR-C","4",,62.2081183246337,,"Escalated",,,,"Prime","2019-02-08T12:41:03Z",,,,"Closed",,,"TP"
15,"1",15,14607,2625,"2019-02-19T14:35:03Z",,"high","CR-C","4",,98.7621831241995,,"SAR",,,,"Prime","2019-02-19T14:35:03Z",,,,"Closed",,,"TP"
16,"1",16,14607,2625,"2019-02-20T11:34:03Z",,"medium","CR-T","3",,70.0397457345389,,"SAR",,,,"Prime","2019-02-20T11:34:03Z",,,,"Closed",,,"TP"
17,"1",17,16000,3620,"2019-03-07T14:17:03Z",,"medium","CR-C","4",,68.3893556473777,,"Escalated",,,,"Prime","2019-03-07T14:17:03Z",,,,"Closed",,,"TP"
18,"1",18,16000,3620,"2019-03-07T14:15:03Z",,"medium","CR-H","1",,94.8320820345543,,"SAR",,,,"Prime","2019-03-07T14:15:03Z",,,,"Closed",,,"TP"
19,"1",19,16000,3620,"2019-03-07T14:14:03Z",,"medium","CR-C","1",,86.0693007940427,,"Escalated",,,,"Prime","2019-03-07T14:14:03Z",,,,"Closed",,,"TP"
20,"1",20,15749,3449,"2018-07-17T14:08:03Z",,"high","CR-C","4",,77.3231520666741,,"Escalated",,,,"Prime","2018-07-17T14:08:03Z",,,,"Closed",,,"TP"
21,"1",21,15749,3449,"2018-07-17T14:20:03Z",,"high","CR-S","3",,72.3778852727264,,"Escalated",,,,"Prime","2018-07-17T14:20:03Z",,,,"Closed",,,"TP"
22,"1",22,15749,3449,"2018-04-11T14:57:03Z",,"medium","CR-T","3",,72.39481494762,,"SAR",,,,"Prime","2018-04-11T14:57:03Z",,,,"Closed",,,"TP"
23,"1",23,15749,3449,"2018-04-11T14:55:03Z",,"high","CR-C","1",,90.3067939565517,,"Escalated",,,,"Prime","2018-04-11T14:55:03Z",,,,"Closed",,,"TP"
24,"1",24,14096,2258,"2019-02-26T17:54:03Z",,"high","CR-C","2",,62.4727977323346,,"SAR",,,,"Prime","2019-02-26T17:54:03Z",,,,"Closed",,,"TP"
25,"1",25,14096,2258,"2019-02-21T15:39:03Z",,"high","CR-H","1",,67.8515316918492,,"Escalated",,,,"Prime","2019-02-21T15:39:03Z",,,,"Closed",,,"TP"
