counterparty_acct_id,acct_last_updated_ts_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
5664,23,275.14,2,540.38,-2.000000000000001,9.9,540.38,9.9,0.0,265.24,375.10600528383975,375.10600528383975,550.28,70352.25760000001,140704.51520000002,140704.51520000002
6293,21,22.2,1,22.2,NaN,22.2,22.2,22.2,NaN,0.0,NaN,NaN,22.2,0.0,NaN,NaN
5843,8,15.0,1,15.0,NaN,15.0,15.0,15.0,NaN,0.0,NaN,NaN,15.0,0.0,NaN,NaN
5728,7,173.91000000000003,4,39.75,-0.8605770142902305,5.22,505.46,5.22,0.9371772021992525,198.24499627985568,228.91360393534208,228.91360393534208,695.6400000000001,39301.07855,52401.43806666666,52401.43806666666
5905,12,444.8999999999999,3,686.4,-1.5000000000000013,294.61,686.4,294.61,0.6453799247486112,172.46120162710992,211.22097220683364,211.22097220683364,1334.6999999999998,29742.86606666666,44614.29909999999,44614.29909999999
4498,15,195.41,3,254.39,-1.4999999999999987,193.29,254.39,138.55,0.06711884573049745,47.31523503763524,57.949091451031386,57.949091451031386,586.23,2238.7314666666657,3358.097199999999,3358.097199999999
6273,22,135.0,1,135.0,NaN,135.0,135.0,135.0,NaN,0.0,NaN,NaN,135.0,0.0,NaN,NaN
4270,3,322.8,1,322.8,NaN,322.8,322.8,322.8,NaN,0.0,NaN,NaN,322.8,0.0,NaN,NaN
4829,3,154.015,2,287.08,-1.9999999999999996,20.95,287.08,20.95,0.0,133.065,188.1823276771759,188.1823276771759,308.03,17706.294224999998,35412.588449999996,35412.588449999996
5963,22,167.09,1,167.09,NaN,167.09,167.09,167.09,NaN,0.0,NaN,NaN,167.09,0.0,NaN,NaN
