counterparty_acct_id,acct_last_updated_ts_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
4012,6,374.355,2,442.35,-2.0,306.36,442.35,306.36,0.0,67.995,96.15945117355861,96.15945117355861,748.71,4623.320025000001,9246.640050000002,9246.640050000002
5847,3,603.0055555555555,9,22.2,3.948699539487926,20.8,4114.08,4.95,2.412521563626568,1249.591392674787,1325.3918212090257,1325.3918212090257,5427.049999999999,1561478.6486469135,1756663.4797277777,1756663.4797277777
5728,7,39.75,1,39.75,NaN,39.75,39.75,39.75,NaN,0.0,NaN,NaN,39.75,0.0,NaN,NaN
2710,6,101.14,1,101.14,NaN,101.14,101.14,101.14,NaN,0.0,NaN,NaN,101.14,0.0,NaN,NaN
6037,1,298.832,5,11.6,-1.158588069025822,404.66,626.01,11.6,0.16775256153533274,213.42660128484457,238.6181943398282,238.6181943398282,1494.16,45550.914136000014,56938.642670000016,56938.642670000016
5922,5,332.935,6,102.66,-1.6160397695821476,92.38,718.64,69.6,0.2960908607932763,259.4936149342921,284.2610128561425,284.2610128561425,1997.6100000000001,67336.93619166668,80804.32343000002,80804.32343000002
5879,3,165.77249999999998,4,198.35,-0.8081121567732112,7.91,259.2,7.91,-0.9038433902211801,94.50589991503175,109.12601351190283,109.12601351190283,663.0899999999999,8931.365118749998,11908.486824999998,11908.486824999998
6191,3,659.11,3,1644.94,-1.4999999999999998,102.24,1644.94,102.24,0.6893918828314216,699.0402151998601,856.1459184625014,856.1459184625014,1977.3300000000002,488657.2224666667,732985.8337000001,732985.8337000001
4270,3,297.276,5,322.8,-0.7089195379603996,263.13,433.29,187.39,0.4389901472928592,80.86856635306455,90.41380580420228,90.41380580420228,1486.38,6539.725024000003,8174.656280000004,8174.656280000004
6331,5,319.18,1,319.18,NaN,319.18,319.18,319.18,NaN,0.0,NaN,NaN,319.18,0.0,NaN,NaN
