counterparty_acct_id,acct_stat_dt_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
6269,11,204.0,1,204.0,NaN,204.0,204.0,204.0,NaN,0.0,NaN,NaN,204.0,0.0,NaN,NaN
6133,23,17.4,1,17.4,NaN,17.4,17.4,17.4,NaN,0.0,NaN,NaN,17.4,0.0,NaN,NaN
3373,30,189.8,1,189.8,NaN,189.8,189.8,189.8,NaN,0.0,NaN,NaN,189.8,0.0,NaN,NaN
6136,24,413.1,1,413.1,NaN,413.1,413.1,413.1,NaN,0.0,NaN,NaN,413.1,0.0,NaN,NaN
3419,5,350.68,1,350.68,NaN,350.68,350.68,350.68,NaN,0.0,NaN,NaN,350.68,0.0,NaN,NaN
2399,10,364.92,1,364.92,NaN,364.92,364.92,364.92,NaN,0.0,NaN,NaN,364.92,0.0,NaN,NaN
6173,10,139.0,1,139.0,NaN,139.0,139.0,139.0,NaN,0.0,NaN,NaN,139.0,0.0,NaN,NaN
5475,2,713.88,1,713.88,NaN,713.88,713.88,713.88,NaN,0.0,NaN,NaN,713.88,0.0,NaN,NaN
4963,4,106.77,1,106.77,NaN,106.77,106.77,106.77,NaN,0.0,NaN,NaN,106.77,0.0,NaN,NaN
6243,28,217.52499999999998,2,237.95,-1.9999999999999993,197.1,237.95,197.1,0.0,20.424999999999997,28.885312011470464,28.885312011470464,435.04999999999995,417.1806249999999,834.3612499999998,834.3612499999998
5926,7,402.0,1,402.0,NaN,402.0,402.0,402.0,NaN,0.0,NaN,NaN,402.0,0.0,NaN,NaN
5843,8,525.4825,4,1485.78,-0.9701628377937936,11.44,1485.78,11.44,0.8348809608564739,585.5223588546811,676.1029830025896,676.1029830025896,2101.93,342836.43271875,457115.24362499994,457115.24362499994
5905,12,223.505,2,152.4,-2.0,294.61,294.61,152.4,0.0,71.105,100.55765535253893,100.55765535253893,447.01,5055.921025000001,10111.842050000001,10111.842050000001
4309,21,216.60000000000002,3,346.8,-1.5000000000000007,171.6,346.8,131.4,0.6103747439484142,93.5166295372112,114.5340124155266,114.5340124155266,649.8000000000001,8745.360000000002,13118.040000000003,13118.040000000003
5787,3,328.77,1,328.77,NaN,328.77,328.77,328.77,NaN,0.0,NaN,NaN,328.77,0.0,NaN,NaN
6212,14,1208.9333333333334,3,403.8,-1.5000000000000004,2856.14,2856.14,366.86,0.7065734822355075,1164.8486290596827,1426.64238438837,1426.64238438837,3626.8,1356872.3286222222,2035308.4929333332,2035308.4929333332
5922,28,556.5,1,556.5,NaN,556.5,556.5,556.5,NaN,0.0,NaN,NaN,556.5,0.0,NaN,NaN
5240,30,413.68,1,413.68,NaN,413.68,413.68,413.68,NaN,0.0,NaN,NaN,413.68,0.0,NaN,NaN
3279,8,23.85,1,23.85,NaN,23.85,23.85,23.85,NaN,0.0,NaN,NaN,23.85,0.0,NaN,NaN
6066,18,201.19,1,201.19,NaN,201.19,201.19,201.19,NaN,0.0,NaN,NaN,201.19,0.0,NaN,NaN
6178,20,58.19,1,58.19,NaN,58.19,58.19,58.19,NaN,0.0,NaN,NaN,58.19,0.0,NaN,NaN
5767,4,594.7,1,594.7,NaN,594.7,594.7,594.7,NaN,0.0,NaN,NaN,594.7,0.0,NaN,NaN
5130,13,288.99,1,288.99,NaN,288.99,288.99,288.99,NaN,0.0,NaN,NaN,288.99,0.0,NaN,NaN
5923,29,157.02,1,157.02,NaN,157.02,157.02,157.02,NaN,0.0,NaN,NaN,157.02,0.0,NaN,NaN
3918,29,228.82,2,263.24,-1.9999999999999993,194.4,263.24,194.4,0.0,34.42,48.67723081688194,48.67723081688194,457.64,1184.7364000000002,2369.4728000000005,2369.4728000000005
3341,16,192.2,1,192.2,NaN,192.2,192.2,192.2,NaN,0.0,NaN,NaN,192.2,0.0,NaN,NaN
4524,30,741.85,1,741.85,NaN,741.85,741.85,741.85,NaN,0.0,NaN,NaN,741.85,0.0,NaN,NaN
4270,3,101.45,1,101.45,NaN,101.45,101.45,101.45,NaN,0.0,NaN,NaN,101.45,0.0,NaN,NaN
5798,9,150.59,4,181.5,-1.1712638475951307,14.5,283.21,14.5,-0.04869471760223968,97.23288306946368,112.27486242847652,112.27486242847652,602.36,9454.233549999997,12605.644733333329,12605.644733333329
4829,3,338.31333333333333,3,411.02,-1.4999999999999996,301.5,411.02,301.5,0.7069369683127871,51.41274895933454,62.96750061208823,62.96750061208823,1014.94,2643.270755555555,3964.906133333332,3964.906133333332
5398,18,105.45,1,105.45,NaN,105.45,105.45,105.45,NaN,0.0,NaN,NaN,105.45,0.0,NaN,NaN
6208,26,16726.84,1,16726.84,NaN,16726.84,16726.84,16726.84,NaN,0.0,NaN,NaN,16726.84,0.0,NaN,NaN
1974,16,3547.34,1,3547.34,NaN,3547.34,3547.34,3547.34,NaN,0.0,NaN,NaN,3547.34,0.0,NaN,NaN
5538,20,235.91,1,235.91,NaN,235.91,235.91,235.91,NaN,0.0,NaN,NaN,235.91,0.0,NaN,NaN
5855,20,318.24,1,318.24,NaN,318.24,318.24,318.24,NaN,0.0,NaN,NaN,318.24,0.0,NaN,NaN
3405,10,369.9,1,369.9,NaN,369.9,369.9,369.9,NaN,0.0,NaN,NaN,369.9,0.0,NaN,NaN
5896,29,946.2,1,946.2,NaN,946.2,946.2,946.2,NaN,0.0,NaN,NaN,946.2,0.0,NaN,NaN
5851,13,301.77,2,149.2,-1.9999999999999996,454.34,454.34,149.2,0.0,152.57,215.7665632112631,215.7665632112631,603.54,23277.6049,46555.2098,46555.2098
6198,2,121.25,1,121.25,NaN,121.25,121.25,121.25,NaN,0.0,NaN,NaN,121.25,0.0,NaN,NaN
5996,20,116.41,1,116.41,NaN,116.41,116.41,116.41,NaN,0.0,NaN,NaN,116.41,0.0,NaN,NaN
6285,28,287.04,1,287.04,NaN,287.04,287.04,287.04,NaN,0.0,NaN,NaN,287.04,0.0,NaN,NaN
3068,14,300.85,1,300.85,NaN,300.85,300.85,300.85,NaN,0.0,NaN,NaN,300.85,0.0,NaN,NaN
2395,1,147.3,1,147.3,NaN,147.3,147.3,147.3,NaN,0.0,NaN,NaN,147.3,0.0,NaN,NaN
4579,4,162.23,1,162.23,NaN,162.23,162.23,162.23,NaN,0.0,NaN,NaN,162.23,0.0,NaN,NaN
6467,10,925.88,1,925.88,NaN,925.88,925.88,925.88,NaN,0.0,NaN,NaN,925.88,0.0,NaN,NaN
1267,28,633.05,1,633.05,NaN,633.05,633.05,633.05,NaN,0.0,NaN,NaN,633.05,0.0,NaN,NaN
