counterparty_acct_id,txn_timestamp_quarter,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
5961,1,1188.668888888889,9,442.35,4.004135874950725,97.14,8345.2,4.35,2.4328474635674993,2541.609414924351,2695.783878630873,2695.783878630873,10698.02,6459778.4180321,7267250.720286113,7267250.720286113
4260,1,160.60666666666665,3,232.26,-1.5000000000000002,115.95,232.26,115.95,0.6444806159648936,51.17694163933162,62.67869680627806,62.67869680627806,481.82,2619.0793555555547,3928.619033333332,3928.619033333332
1504,1,442.1983333333333,6,841.94,-1.1784076043159728,295.1,841.94,216.81,0.7629526903591228,234.11735671216027,256.4627147494674,256.4627147494674,2653.19,54810.9367138889,65773.12405666668,65773.12405666668
6097,1,314.37,9,149.8,3.1448380191489536,264.53,1056.9,111.38,2.1140578060588955,273.1811998981222,289.75241841096,289.75241841096,2829.33,74627.9679777778,83956.46397500002,83956.46397500002
6037,1,292.78,15,11.6,2.6561384412643605,2.08,1463.64,2.08,1.792594019427568,391.00074555768646,404.72422227981366,404.72422227981366,4391.7,152881.58302666666,163801.6961,163801.6961
2566,1,470.00250000000005,4,462.3,-0.9925313948867993,11.65,996.62,11.65,0.2877892602876735,350.4069600032939,404.6151053676403,404.6151053676403,1880.0100000000002,122785.03761875001,163713.38349166667,163713.38349166667
5768,2,222.275,6,362.0,-1.654801478695643,62.13,362.0,62.13,-0.11362140535704258,112.10152136196308,122.80106396118886,122.80106396118886,1333.65,12566.751091666665,15080.101309999998,15080.101309999998
2492,2,203.55,1,203.55,NaN,203.55,203.55,203.55,NaN,0.0,NaN,NaN,203.55,0.0,NaN,NaN
5656,2,126.80000000000001,4,2.95,-0.7269814363835851,69.5,388.05,2.95,1.0689308005308544,152.7168008111747,176.34217211622033,176.34217211622033,507.20000000000005,23322.421250000003,31096.561666666672,31096.561666666672
3482,2,755.1,2,15.0,-2.0000000000000004,1495.2,1495.2,15.0,0.0,740.1,1046.6594575123277,1046.6594575123277,1510.2,547748.01,1095496.02,1095496.02
1530,2,153.78,1,153.78,NaN,153.78,153.78,153.78,NaN,0.0,NaN,NaN,153.78,0.0,NaN,NaN
6198,2,176.24,4,119.76,-0.6667474869137351,121.25,343.62,119.76,1.1545957621348504,96.6383503066976,111.58835512722644,111.58835512722644,704.96,9338.97075,12451.961000000001,12451.961000000001
1554,2,278.1,1,278.1,NaN,278.1,278.1,278.1,NaN,0.0,NaN,NaN,278.1,0.0,NaN,NaN
4383,2,109.77333333333333,3,187.65,-1.5000000000000002,9.95,187.65,9.95,-0.41785413613918004,74.18699182171734,90.86013775761808,90.86013775761808,329.32,5503.7097555555565,8255.564633333335,8255.564633333335
4174,2,572.8,2,572.8,NaN,572.8,572.8,572.8,NaN,0.0,0.0,0.0,1145.6,0.0,0.0,0.0
2979,2,410.7,1,410.7,NaN,410.7,410.7,410.7,NaN,0.0,NaN,NaN,410.7,0.0,NaN,NaN
