counterparty_acct_id,txn_timestamp_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
6018,4,261.92333333333335,3,487.75,-1.4999999999999996,59.52,487.75,59.52,0.19770433111208546,175.60699043286658,215.0737609131652,215.0737609131652,785.77,30837.815088888892,46256.72263333334,46256.72263333334
2710,6,125.47,2,149.8,-1.9999999999999993,101.14,149.8,101.14,0.0,24.330000000000005,34.407815972537406,34.407815972537406,250.94,591.9489000000002,1183.8978000000004,1183.8978000000004
6191,3,557.495,4,1644.94,-0.7532722630281845,8.5,1644.94,8.5,1.0287350882124828,639.4630966873694,738.3883820185689,738.3883820185689,2229.98,408913.05202500004,545217.4027000001,545217.4027000001
5847,3,745.4071428571427,7,102.0,2.0563600288634323,4.95,4114.08,4.95,1.9933247148434383,1383.3242229676234,1494.1609318132844,1494.1609318132844,5217.849999999999,1913585.9058489793,2232516.890157142,2232516.890157142
4270,3,154.20749999999998,4,322.8,-1.9111382792651137,15.0,322.8,15.0,0.06699479393857222,140.35244447016234,162.06504319254046,162.06504319254046,616.8299999999999,19698.80866875,26265.078225,26265.078225
2721,3,826.9200000000001,2,713.88,-2.0000000000000004,939.96,939.96,713.88,0.0,113.04000000000002,159.8627010906547,159.8627010906547,1653.8400000000001,12778.041600000004,25556.08320000001,25556.08320000001
4963,4,115.99666666666667,3,106.77,-1.5,135.34,135.34,105.88,0.7048636243327866,13.682627265583502,16.757727570686114,16.757727570686114,347.99,187.21428888888906,280.8214333333336,280.8214333333336
5975,5,316.74,4,46.85,-0.718229105089546,420.12,427.51,46.85,-1.0944784141289676,157.24580837020744,181.57181958295917,181.57181958295917,1266.96,24726.244250000003,32968.32566666667,32968.32566666667
5922,5,389.04,4,556.5,-1.8418630420608837,163.9,692.3,143.46,0.11462083773860042,240.31595619101117,277.49296399488526,277.49296399488526,1556.16,57751.7588,77002.34506666668,77002.34506666668
1111,3,216.55599999999998,5,547.56,-1.553226126875199,80.0,547.56,8.5,0.4997590752886567,218.55564798009678,244.35264287500553,244.35264287500553,1082.78,47766.571263999984,59708.21407999998,59708.21407999998
5879,3,269.0,2,203.1,-2.0000000000000004,334.9,334.9,203.1,0.0,65.89999999999999,93.19667376038694,93.19667376038694,538.0,4342.809999999999,8685.619999999997,8685.619999999997
2921,4,583.45,1,583.45,NaN,583.45,583.45,583.45,NaN,0.0,NaN,NaN,583.45,0.0,NaN,NaN
5767,4,392.52,4,594.7,-0.7078255393735629,348.15,594.7,312.6,1.106431294507643,117.57923690005819,135.76880815071874,135.76880815071874,1570.08,13824.876950000005,18433.169266666675,18433.169266666675
3482,2,15.0,1,15.0,NaN,15.0,15.0,15.0,NaN,0.0,NaN,NaN,15.0,0.0,NaN,NaN
6340,3,1311.63,2,2053.07,-2.0000000000000027,570.19,2053.07,570.19,-5.849409943829091E-16,741.44,1048.5545036859078,1048.5545036859078,2623.26,549733.2736000001,1099466.5472000001,1099466.5472000001
5273,3,312.9,1,312.9,NaN,312.9,312.9,312.9,NaN,0.0,NaN,NaN,312.9,0.0,NaN,NaN
5369,5,475.37,1,475.37,NaN,475.37,475.37,475.37,NaN,0.0,NaN,NaN,475.37,0.0,NaN,NaN
2519,6,327.95,2,323.5,-2.0000000000000004,332.4,332.4,323.5,0.0,4.449999999999989,6.293250352560257,6.293250352560257,655.9,19.8024999999999,39.6049999999998,39.6049999999998
2597,3,137.01166666666668,6,262.85,-1.650163024646301,15.9,262.85,15.9,0.03910741899883537,91.53065759927414,100.2668117408082,100.2668117408082,822.07,8377.86128055556,10053.433536666673,10053.433536666673
1307,4,398.96,2,455.02,-1.9999999999999993,342.9,455.02,342.9,0.0,56.06,79.28081230663571,79.28081230663571,797.92,3142.7236000000003,6285.4472000000005,6285.4472000000005
5870,6,64.52,5,136.3,-1.7442878518287037,4.95,160.9,3.75,0.43380471049693475,69.23843296898046,77.41092138710144,77.41092138710144,322.59999999999997,4793.9606,5992.45075,5992.45075
6149,4,579.9925,4,1853.52,-0.7220874897048546,1.45,1853.52,1.45,1.0816361558736025,743.206897955576,858.181405196477,858.181405196477,2319.97,552356.49316875,736475.324225,736475.324225
6236,6,298.73,1,298.73,NaN,298.73,298.73,298.73,NaN,0.0,NaN,NaN,298.73,0.0,NaN,NaN
2045,6,74.6,1,74.6,NaN,74.6,74.6,74.6,NaN,0.0,NaN,NaN,74.6,0.0,NaN,NaN
