counterparty_country,acct_last_updated_ts_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
BRA,1,335.81926470588223,68,50.4,29.633059454556175,5.59,3862.14,1.25,4.944846240444249,516.3049652987141,520.1437167797199,520.1437167797199,22835.709999999992,266570.8171921064,270549.48610542144,270549.48610542144
NLD,16,407.10837209302343,43,2002.4,16.86064313054544,3.25,3782.52,3.25,3.959249952220903,634.3928443426548,641.9007133021142,641.9007133021142,17505.660000000007,402454.2809531639,412036.5257377631,412036.5257377631
FIN,13,365.5941176470588,51,534.0,25.905268216832624,2.95,4161.06,2.5,4.750583813579604,614.1290654895951,620.2399529703854,620.2399529703854,18645.3,377154.5090791234,384697.5992607059,384697.5992607059
AUT,15,371.6779591836734,49,1631.3,23.94407691293769,12.9,3840.88,2.95,4.582178431948539,578.2851260407073,584.2778780789283,584.2778780789283,18212.219999999998,334413.68699991674,341380.638812415,341380.638812415
MEX,3,341.75066666666686,75,287.08,10.15563660814051,2.95,2574.48,1.65,2.9692563779248333,442.6451667459564,445.62597595915514,445.62597595915514,25631.300000000014,195934.74364355553,198582.51044954953,198582.51044954953
IND,26,392.10951219512185,41,370.8,13.525684190028617,303.96,3091.98,9.9,3.4034143392079614,535.599328406978,542.2529913285458,542.2529913285458,16076.489999999996,286866.6405900059,294038.30660475604,294038.30660475604
ESP,18,321.41489361702133,47,310.8,4.000310454200695,29.17,1480.2,7.5,1.9940779882284216,323.23620755075876,326.7307545968775,326.7307545968775,15106.500000000002,104481.6458717972,106752.98599944497,106752.98599944497
AUT,6,282.5389361702127,47,382.5,15.746463963499927,26.0,2231.3,1.0,3.4689972558912667,359.8929973438858,363.7838455267564,363.7838455267564,13279.329999999996,129522.96953716617,132338.686266235,132338.686266235
SWE,10,235.27550000000002,40,185.97,2.3243722842073273,6.9,1149.29,1.45,1.588619705889778,258.39892448450706,261.6907632375399,261.6907632375399,9411.02,66770.00417474999,68482.05556384615,68482.05556384615
ITA,18,432.691090909091,55,22.2,25.5490062045832,96.96,3876.86,16.5,4.562570841771996,548.1080062597905,553.159799745375,553.159799745375,23798.010000000002,300422.3865260826,305985.7640543434,305985.7640543434
