counterparty_country,acct_last_updated_ts_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
BRA,1,396.088,255,449.98,51.630785139912454,2.95,7952.68,0.48,6.22064086569915,724.5433421617385,725.9682075343993,725.9682075343993,101002.44,524963.054670902,527029.8383507087,527029.8383507087
MEX,3,445.85578754578734,273,255.0,212.12243241872065,36.15,22998.4,1.25,13.914662335566018,1449.0595875654053,1451.720856267576,1451.720856267576,121718.62999999995,2099773.6883152225,2107493.444522264,2107493.444522264
AUT,6,476.3914210526314,190,81.75,146.14410922272413,4.95,21880.44,1.0,11.63741048781186,1650.9834880463413,1655.3454071092387,1655.3454071092387,90514.36999999997,2725746.477801664,2740168.4168376517,2740168.4168376517
SWE,1,407.7246078431372,204,165.05,81.15569044563678,96.75,10174.94,1.9,8.027223873089339,861.7814221307789,863.9014288327423,863.9014288327423,83175.81999999999,742667.2195297476,746325.6787392538,746325.6787392538
AUT,5,467.76832727272705,275,207.5,91.51821988725878,16.95,13355.4,1.45,8.47711576568256,1034.4595024839707,1036.345483088,1036.345483088,128636.28999999994,1070106.462279384,1074011.9603169002,1074011.9603169002
NOR,1,410.0639013452914,223,248.1,114.44299690701641,119.6,10267.88,1.25,9.512486952494168,776.4493352864963,778.1961301495631,778.1961301495631,91444.24999999999,602873.570266842,605589.2169797558,605589.2169797558
DNK,7,333.3191666666669,168,223.9,20.023906211287308,27.25,3120.22,1.95,3.5219113407447202,374.9193682859986,376.04020596831214,376.04020596831214,55997.62000000004,140564.53271597222,141406.23650469063,141406.23650469063
ITA,7,301.25321052631585,190,22.2,37.06980560031826,38.65,3694.36,2.49,5.212276560887336,395.58468594395384,396.629825641051,396.629825641051,57238.11000000001,156487.2437533766,157315.21858805054,157315.21858805054
NLD,5,354.97049261083714,203,508.2,21.85302197712584,13.6,3782.52,1.65,3.99740374493377,448.4421458912844,449.5507808238799,449.5507808238799,72059.00999999994,201100.35821158,202095.90453936008,202095.90453936008
DNK,3,388.8033183856498,223,326.4,19.743231284474113,16.6,4400.28,1.45,4.194874138663661,625.6154848513976,627.0229455388231,627.0229455388231,86703.1399999999,391394.7348858493,393157.77423218195,393157.77423218195
GRC,7,555.4742253521126,213,444.98,98.351559423291,6.9,16774.72,1.65,8.917694256410384,1346.124704302784,1349.2957916282278,1349.2957916282278,118316.00999999998,1812051.7195342577,1820599.1333056458,1820599.1333056458
IND,5,283.85916299559494,227,350.4,6.7402730556687604,336.0,1829.84,1.65,2.2362855978805225,300.1349433358164,300.79822578749855,300.79822578749855,64436.03000000005,90080.9842111937,90479.57263690695,90479.57263690695
SWE,5,439.0578461538459,195,508.2,41.89191778708456,37.3,8142.75,1.25,6.266858002965436,1032.0146128822694,1034.6710255465966,1034.6710255465966,85616.27999999996,1065054.1612025404,1070544.1311056463,1070544.1311056463
