counterparty_country,open_dt_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
AUT,15,403.2509615384615,52,328.8,21.54432434886389,3.3,3782.52,3.3,4.18521203513737,567.3139060935774,572.8488069778273,572.8488069778273,20969.05,321845.0680471524,328155.7556559201,328155.7556559201
AUT,6,453.3101694915254,59,318.14,16.332069793900104,6.3,4414.88,0.4,3.8907950847669484,732.4429358868033,738.7301150308001,738.7301150308001,26745.3,536472.6543304798,545722.1828534191,545722.1828534191
FIN,13,278.8002040816326,49,165.89,6.779191489459764,1.45,1436.49,1.25,1.984176729090227,252.76017097353494,255.3795173159759,255.3795173159759,13661.209999999997,63887.70403057061,65218.69786454083,65218.69786454083
MEX,3,255.29014705882346,68,51.4,16.367868222937307,51.0,1937.06,2.47,3.281423212010646,281.4591069790583,283.55176855773067,283.55176855773067,17359.729999999996,79219.22890144897,80401.60545221686,80401.60545221686
NLD,16,346.5102564102564,78,277.05,4.631826442938065,269.96,1724.8,2.5,2.0996176915553377,369.76348091433124,372.1567970382264,372.1567970382264,27027.8,136725.03181788302,138500.68158175162,138500.68158175162
ESP,18,685.1936170212765,47,326.0,31.830465498849094,74.88,10992.96,1.44,5.5059634514287135,1621.3693566037705,1638.8981833980192,1638.8981833980192,32204.1,2628838.590533725,2685987.2555453274,2685987.2555453274
BRA,1,272.02224137931034,58,92.75,5.454421685021085,39.6,1444.66,2.5,1.8165369939740474,256.5986857079459,258.8397648145934,258.8397648145934,15777.289999999999,65842.88550704518,66998.02384927405,66998.02384927405
IND,26,378.84431818181815,44,37.35,1.7778980045209627,33.2,1395.09,2.55,1.4858928601772727,341.2746929554077,345.2201962037652,345.2201962037652,16669.149999999998,116468.41605180783,119176.98386696615,119176.98386696615
SWE,10,486.6101754385965,57,223.9,38.966789162705226,5.64,7630.56,2.9,6.023529942072849,1021.9512944062284,1031.0354845623667,1031.0354845623667,27736.780000000002,1044384.4481385658,1063034.1704267545,1063034.1704267545
DNK,14,497.7515625000002,64,115.65,13.253530967488889,5.9,4345.1,1.65,3.1891536272447163,696.7097434621239,702.2174160748149,702.2174160748149,31856.100000000013,485404.4666350586,493109.29943878966,493109.29943878966
GRC,21,364.26019230769236,52,485.25,19.22462751115812,32.65,3500.5,1.45,3.9264789997795457,540.7241974301702,545.9996803794597,545.9996803794597,18941.530000000002,292382.6576865016,298115.6509744722,298115.6509744722
NOR,1,381.3873170731708,41,2730.96,9.16171581260117,1.64,2730.96,1.64,2.6484467862107604,502.2257201261367,508.4647881664197,508.4647881664197,15636.880000000003,252230.6739562166,258536.44080512202,258536.44080512202
SWE,1,406.12595238095247,42,324.0,3.5749591940187058,98.75,2145.38,0.95,1.7982555229685815,446.5936876276409,452.00714209800657,452.00714209800657,17057.290000000005,199445.92182885492,204310.45650760748,204310.45650760748
AUT,5,719.6239534883721,43,248.16,30.776327867216253,1642.5,13355.4,2.95,5.542881944396956,2049.4887857447948,2073.7439351754247,2073.7439351754247,30943.829999999998,4200404.282893673,4300413.908676855,4300413.908676855
BRA,25,386.41493150684926,73,15.0,10.430019183099825,14.95,3301.38,1.79,3.1902985627023894,618.5016571048405,622.7819964618511,622.7819964618511,28208.289999999997,382544.2998414337,387857.4151170092,387857.4151170092
GBR,29,545.8004444444443,45,98.7,14.597287152775074,78.0,6155.72,1.45,3.9228820362714694,1193.2179067936986,1206.7010229734838,1206.7010229734838,24561.019999999993,1423768.9730931357,1456127.3588452523,1456127.3588452523
ITA,18,550.3046153846155,39,163.2,8.059769671696113,9.9,4105.94,3.3,2.964717114166627,912.8868039858603,924.8204713230225,924.8204713230225,21461.880000000005,833362.3168915185,855292.9041781374,855292.9041781374
