counterparty_country,txn_timestamp_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
BRA,1,357.8452857142856,70,449.98,5.690851192929669,20.8,2251.51,1.7,2.3641241757619453,473.5999459903488,477.0194845919316,477.0194845919316,25049.16999999999,224296.9088420613,227547.58868035206,227547.58868035206
MEX,3,366.43636363636364,55,215.58,16.339804477998474,36.43,2388.31,6.2,3.4647372891152286,357.2227067065822,360.5151514839493,360.5151514839493,20154.0,127608.06218677684,129971.17444949492,129971.17444949492
AUT,6,377.61630769230777,65,375.69,22.84931953717742,664.86,4414.88,0.72,4.694588371418047,687.494311008785,692.8445419802187,692.8445419802187,24545.060000000005,472648.4276694439,480033.55935177894,480033.55935177894
FIN,13,292.6421739130435,46,540.95,0.0038916480152821897,16.5,971.13,1.7,0.8884433878278825,242.50564623559524,245.18534798449969,245.18534798449969,13461.54,58808.98845614367,60115.8548662802,60115.8548662802
AUT,15,480.58390243902454,41,302.78,4.398600020170403,495.98,2231.3,24.38,2.2544154782290238,536.7283169890907,543.3960051512987,543.3960051512987,19703.940000000006,288077.28625794174,295279.2184143903,295279.2184143903
NLD,16,401.66790697674423,43,404.82,29.57699323578771,4.95,4666.44,3.75,5.311407970008117,697.4244080153915,705.6782386050692,705.6782386050692,17271.72,486400.80489561916,497981.77644075296,497981.77644075296
ESP,18,280.2776470588235,51,315.0,4.3329969815966525,21.56,1224.6,7.5,1.8073740484080068,244.7161911563506,247.1512381080721,247.1512381080721,14294.16,59886.01421407152,61083.73449835295,61083.73449835295
IND,26,342.01226415094345,53,328.4,6.357275012128062,48.85,2123.92,1.68,2.4341005343780924,413.7925340647217,417.7523614564822,417.7523614564822,18126.65,171224.26124770383,174517.03550246736,174517.03550246736
SWE,10,329.9290000000001,30,157.9,3.9716659985267766,1579.51,1579.51,1.45,1.9021817883820489,340.3548009685383,346.173253228336,346.173253228336,9897.870000000003,115841.39054233333,119835.92125068966,119835.92125068966
NOR,1,354.0936206896553,58,70.05,6.2354691913421245,7.65,2114.71,2.95,2.381500573235026,421.50129700253785,425.18260093256805,425.18260093256805,20537.430000000008,177663.34337482162,180780.2441357834,180780.2441357834
