counterparty_country,txn_timestamp_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
AUT,6,378.1205098039216,255,294.25,16.33148178389606,81.36,3762.66,1.0,3.510907538423222,510.8661841242782,511.870838357454,511.870838357454,96420.73000000001,260984.25808170094,262011.75516076275,262011.75516076275
BRA,1,334.9249746192891,197,350.68,112.44900890988191,8.5,8132.31,2.5,9.650286847836691,635.9748847989597,637.5952056028808,637.5952056028808,65980.21999999996,404464.05409505,406527.6462077799,406527.6462077799
MEX,3,337.4869127272724,275,569.03,116.33084998514394,61.2,8281.12,1.25,9.243729836937607,591.6478293443274,592.7264953799528,592.7264953799528,92808.90099999991,350047.15396785433,351324.69832540123,351324.69832540123
AUT,5,531.8459562841533,366,38.1,95.98422605798162,3.3,21880.44,0.4,9.295262321688131,1714.5932049746955,1716.9403562514844,1716.9403562514844,194655.6200000001,2939829.858545398,2947884.1869249744,2947884.1869249744
NOR,1,370.8160000000001,135,535.75,6.9997460537394165,577.16,2176.45,1.25,2.415602684611599,367.9839878827257,369.35451027232284,369.35451027232284,50060.16000000001,135412.21533807405,136422.75425850746,136422.75425850746
SWE,1,269.15625,136,152.05,1.6368165586461467,15.7,1104.31,1.95,1.2790640692655788,214.61399825835568,215.407398369926,215.407398369926,36605.25,46059.1682484375,46400.347272499996,46400.347272499996
NLD,5,410.5294498381874,309,306.4,122.71009609797211,8.32,14415.74,0.84,9.796519036210608,1008.9898575070642,1010.6265006873612,1010.6265006873612,126853.59999999992,1018060.5325521257,1021365.9238915808,1021365.9238915808
DNK,3,762.3003750000007,240,532.8,212.0934054435301,18.4,77183.6,1.25,14.364836394268389,5071.8494252665805,5082.448913160759,5082.448913160759,182952.09000000017,2.572365659257694E7,2.5831286954888977E7,2.5831286954888977E7
SWE,5,371.558301282051,312,160.6,67.29998247274006,98.75,6930.0,1.25,6.6604235885895875,551.5733234772996,552.4593856123039,552.4593856123039,115926.18999999992,304233.13117179374,305211.37275112426,305211.37275112426
IND,5,358.7110434782607,345,610.64,104.41055674208364,52.5,10065.0,1.65,8.74335641506299,709.2332965957471,710.2634108591711,710.2634108591711,123755.30999999994,503011.86900007096,504474.1128053037,504474.1128053037
DEU,2,450.5451503759397,266,364.92,41.436820420746585,1100.44,8107.72,0.65,5.812693607277303,851.4115086695164,853.0164328246232,853.0164328246232,119845.00999999997,724901.5570949019,727637.0346688449,727637.0346688449
CAN,3,1055.7812927756656,263,510.0,119.24801714183735,14.11,77183.6,0.0,10.885115880918114,6761.670684603507,6774.562346802737,6774.562346802737,277670.48000000004,4.572019044702646E7,4.58946949907174E7,4.58946949907174E7
GRC,4,351.6840363636365,275,204.0,25.709524901695506,11.17,3876.86,1.45,4.397153809533604,479.4323720075634,480.30645180709047,480.30645180709047,96713.11000000003,229855.39932879867,230694.28764751693,230694.28764751693
GRC,5,466.12611111111147,378,485.25,96.91467912651866,6.9,16488.0,1.45,9.184142236641366,1276.7742862947016,1278.466499477777,1278.466499477777,176195.67000000013,1630152.5781433447,1634476.590286961,1634476.590286961
JPN,6,418.6563821138209,246,294.25,72.41023573539844,7.5,7544.91,2.08,6.944767850561104,613.7207588235017,614.9719747172825,614.9719747172825,102989.46999999994,376653.16981089476,378190.52968767396,378190.52968767396
BRA,3,349.62623052959475,321,569.03,52.75876126001288,10.2,6260.9,0.85,6.314549404991176,562.5868439172032,563.4652001802634,563.4652001802634,112230.01999999992,316503.95694871957,317493.03181418433,317493.03181418433
ITA,6,335.0095857988165,169,225.65,17.884551491296858,172.89,2938.76,1.65,3.858270223222671,423.1150783792743,424.3724810870682,424.3724810870682,56616.61999999999,179026.36955189944,180092.00270399408,180092.00270399408
