counterparty_id,acct_last_updated_ts_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
70322,13,5.04,1,5.04,NaN,5.04,5.04,5.04,NaN,0.0,NaN,NaN,5.04,0.0,NaN,NaN
13138,8,193.23,1,193.23,NaN,193.23,193.23,193.23,NaN,0.0,NaN,NaN,193.23,0.0,NaN,NaN
69807,13,159.49,2,178.4,-1.9999999999999987,140.58,178.4,140.58,5.380040912053615E-16,18.909999999999997,26.742778464475222,26.742778464475222,318.98,357.5880999999999,715.1761999999998,715.1761999999998
69865,12,203.1,1,203.1,NaN,203.1,203.1,203.1,NaN,0.0,NaN,NaN,203.1,0.0,NaN,NaN
17912,12,34.300000000000004,2,9.9,-2.0000000000000004,58.7,58.7,9.9,0.0,24.400000000000002,34.50681092190352,34.50681092190352,68.60000000000001,595.3600000000001,1190.7200000000003,1190.7200000000003
70153,22,550.5,1,550.5,NaN,550.5,550.5,550.5,NaN,0.0,NaN,NaN,550.5,0.0,NaN,NaN
15547,24,525.035,2,767.37,-1.9999999999999991,282.7,767.37,282.7,0.0,242.335,342.713443637684,342.713443637684,1050.07,58726.252225000004,117452.50445000001,117452.50445000001
69632,30,308.1033333333333,3,365.55,-1.499999999999999,184.26,374.5,184.26,-0.7015808315093807,87.64665436981734,107.344790434065,107.344790434065,924.31,7681.936022222221,11522.904033333332,11522.904033333332
69439,22,234.86,1,234.86,NaN,234.86,234.86,234.86,NaN,0.0,NaN,NaN,234.86,0.0,NaN,NaN
15482,13,196.6,1,196.6,NaN,196.6,196.6,196.6,NaN,0.0,NaN,NaN,196.6,0.0,NaN,NaN
70405,5,253.5,1,253.5,NaN,253.5,253.5,253.5,NaN,0.0,NaN,NaN,253.5,0.0,NaN,NaN
13408,4,325.70000000000005,3,403.8,-1.4999999999999991,109.2,464.1,109.2,-0.6277480062259009,155.05528046474268,189.90315953137804,189.90315953137804,977.1000000000001,24042.14000000001,36063.210000000014,36063.210000000014
18097,9,474.66,1,474.66,NaN,474.66,474.66,474.66,NaN,0.0,NaN,NaN,474.66,0.0,NaN,NaN
70507,1,670.8,1,670.8,NaN,670.8,670.8,670.8,NaN,0.0,NaN,NaN,670.8,0.0,NaN,NaN
15298,10,169.74,1,169.74,NaN,169.74,169.74,169.74,NaN,0.0,NaN,NaN,169.74,0.0,NaN,NaN
17769,15,376.31,1,376.31,NaN,376.31,376.31,376.31,NaN,0.0,NaN,NaN,376.31,0.0,NaN,NaN
70372,5,904.66,1,904.66,NaN,904.66,904.66,904.66,NaN,0.0,NaN,NaN,904.66,0.0,NaN,NaN
69945,26,159.32500000000002,2,303.8,-1.9999999999999998,14.85,303.8,14.85,0.0,144.475,204.3185044238529,204.3185044238529,318.65000000000003,20873.025625,41746.05125,41746.05125
70044,2,295.57666666666665,3,459.84,-1.4999999999999998,326.22,459.84,100.67,-0.30127118844095097,148.22287865088694,181.5352104505716,181.5352104505716,886.73,21970.021755555554,32955.03263333333,32955.03263333333
70170,13,367.08,2,264.26,-1.9999999999999998,469.9,469.9,264.26,0.0,102.82,145.40943848320163,145.40943848320163,734.16,10571.952399999998,21143.904799999997,21143.904799999997
70465,4,1308.48,1,1308.48,NaN,1308.48,1308.48,1308.48,NaN,0.0,NaN,NaN,1308.48,0.0,NaN,NaN
15602,30,192.2,1,192.2,NaN,192.2,192.2,192.2,NaN,0.0,NaN,NaN,192.2,0.0,NaN,NaN
14911,29,562.888,5,797.77,-1.1713926960131142,81.92,809.82,81.92,-0.7015988285372932,287.4630555323588,321.39346659507567,321.39346659507567,2814.44,82635.008296,103293.76037,103293.76037
70376,2,134.1,1,134.1,NaN,134.1,134.1,134.1,NaN,0.0,NaN,NaN,134.1,0.0,NaN,NaN
16711,11,340.1,2,384.6,-2.0,295.6,384.6,295.6,0.0,44.5,62.932503525602726,62.932503525602726,680.2,1980.25,3960.5,3960.5
70013,16,309.5,1,309.5,NaN,309.5,309.5,309.5,NaN,0.0,NaN,NaN,309.5,0.0,NaN,NaN
13018,7,311.25,1,311.25,NaN,311.25,311.25,311.25,NaN,0.0,NaN,NaN,311.25,0.0,NaN,NaN
17050,11,764.25,2,841.37,-2.0000000000000018,687.13,841.37,687.13,-5.076204106142082E-16,77.12,109.06414993021309,109.06414993021309,1528.5,5947.4944000000005,11894.988800000001,11894.988800000001
70185,1,73.57,2,108.98,-1.9999999999999998,38.16,108.98,38.16,0.0,35.410000000000004,50.0773022436313,50.0773022436313,147.14,1253.8681000000004,2507.7362000000007,2507.7362000000007
14013,5,118.5,1,118.5,NaN,118.5,118.5,118.5,NaN,0.0,NaN,NaN,118.5,0.0,NaN,NaN
15687,3,369.9,1,369.9,NaN,369.9,369.9,369.9,NaN,0.0,NaN,NaN,369.9,0.0,NaN,NaN
15861,17,248.29,1,248.29,NaN,248.29,248.29,248.29,NaN,0.0,NaN,NaN,248.29,0.0,NaN,NaN
17585,5,103.72,1,103.72,NaN,103.72,103.72,103.72,NaN,0.0,NaN,NaN,103.72,0.0,NaN,NaN
