counterparty_id,acct_last_updated_ts_quarter,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
70185,1,346.6444444444445,27,4.95,2.7561944052063794,38.16,1468.36,4.95,1.5663063868632332,329.7024562904417,335.9830674228566,335.9830674228566,9359.400000000001,108703.70968395063,112884.6215948718,112884.6215948718
70507,1,394.467,10,2170.9,3.727444056058129,2.08,2170.9,2.08,2.257202763066624,621.4886265580408,655.1065332710737,655.1065332710737,3944.67,386248.1129409999,429164.5699344443,429164.5699344443
70505,1,154.16666666666666,3,186.0,-1.5000000000000018,149.76,186.0,126.74,0.26508747947229633,24.392634589609678,29.87475411335353,29.87475411335353,462.5,595.0006222222224,892.5009333333336,892.5009333333336
18245,1,328.32,8,365.73,0.4335889185953983,59.5,894.25,35.6,1.0067029066792288,254.9630468813079,272.5669622050961,272.5669622050961,2626.56,65006.155275,74292.74888571429,74292.74888571429
70391,1,208.64272727272734,11,600.72,-0.9041219488959573,39.8,629.37,3.75,0.8940902466852172,231.88949723720913,243.20775650011288,243.20775650011288,2295.0700000000006,53772.738928925624,59150.01282181819,59150.01282181819
70257,1,395.27352941176474,17,785.65,-1.0785876010067887,152.64,933.14,85.8,0.5522640460116937,275.4242904393398,283.90086033554866,283.90086033554866,6719.650000000001,75858.53976401383,80599.69849926469,80599.69849926469
69420,1,153.0,1,153.0,NaN,153.0,153.0,153.0,NaN,0.0,NaN,NaN,153.0,0.0,NaN,NaN
14995,1,116.61500000000001,2,119.31,-2.0000000000000004,113.92,119.31,113.92,0.0,2.6950000000000003,3.8113055505954914,3.8113055505954914,233.23000000000002,7.263025000000002,14.526050000000003,14.526050000000003
70420,1,572.5585714285714,7,265.02,0.29386379633697457,38.45,1687.46,38.45,1.1978375981739555,517.7780414542942,559.2642043324595,559.2642043324595,4007.91,268094.10021224484,312776.450247619,312776.450247619
69192,1,1700.4,1,1700.4,NaN,1700.4,1700.4,1700.4,NaN,0.0,NaN,NaN,1700.4,0.0,NaN,NaN
12670,1,500.9916666666666,6,633.05,0.0390352773672582,9.9,696.12,9.9,-1.2506988244314992,240.41357424354297,263.35987548726297,263.35987548726297,3005.95,57798.68668055555,69358.42401666666,69358.42401666666
14947,1,145.41,2,178.5,-2.0000000000000004,112.32,178.5,112.32,0.0,33.09,46.796326778925724,46.796326778925724,290.82,1094.9481000000003,2189.8962000000006,2189.8962000000006
16400,1,303.93,1,303.93,NaN,303.93,303.93,303.93,NaN,0.0,NaN,NaN,303.93,0.0,NaN,NaN
13877,1,117.24,1,117.24,NaN,117.24,117.24,117.24,NaN,0.0,NaN,NaN,117.24,0.0,NaN,NaN
13670,1,349.7,1,349.7,NaN,349.7,349.7,349.7,NaN,0.0,NaN,NaN,349.7,0.0,NaN,NaN
70112,1,272.50624999999997,24,326.4,14.242886843133448,98.75,2145.38,3.95,3.7773406237644624,415.60191842487626,424.54061670604875,424.54061670604875,6540.15,172724.9545984375,180234.7352331522,180234.7352331522
69871,1,334.96349999999995,20,251.25,-0.6797385896858001,3.9,968.4,3.9,0.7412399634511877,307.90884067001065,315.9078049430678,315.9078049430678,6699.2699999999995,94807.85416275001,99797.74122394738,99797.74122394738
70087,1,548.6309090909091,22,39.6,0.7274921305305204,29.75,1974.0,6.75,1.3491723160288076,569.3289162442926,582.7267237974465,582.7267237974465,12069.88,324135.41487190075,339570.43462770554,339570.43462770554
14907,1,352.33500000000004,10,618.07,-1.0149899363590147,7.5,971.13,1.25,0.38653727996865495,323.71581414104566,341.22642910048256,341.22642910048256,3523.3500000000004,104791.928325,116435.47591666666,116435.47591666666
69887,1,437.44818181818187,22,249.86,3.0412033411341586,4.25,2026.63,4.25,1.9936217058165007,540.8783011213955,553.6065908346689,553.6065908346689,9623.86,292549.3366239669,306480.2574155844,306480.2574155844
14543,1,210.25400000000002,15,254.4,-1.365612197651025,125.0,388.05,15.0,-0.42357325187079065,130.46359123270113,135.04264658670925,135.04264658670925,3153.8100000000004,17020.748637333334,18236.51639714286,18236.51639714286
13324,1,589.7254545454546,11,650.1,1.2055737104072382,16.3,1783.24,16.3,1.1564612901784372,470.67216502984775,493.6451312707061,493.6451312707061,6486.9800000000005,221532.28693388423,243685.51562727266,243685.51562727266
14309,1,238.538,10,147.75,-0.6863840046715795,32.85,389.87,32.85,-0.33021128962917085,103.55522698541102,109.156793629877,109.156793629877,2385.38,10723.685035999999,11915.205595555555,11915.205595555555
70478,1,161.39166666666668,6,148.0,-1.1438776976596596,15.84,401.94,14.65,0.553285521244148,142.1624151474487,155.73112321134354,155.73112321134354,968.35,20210.152280555554,24252.182736666666,24252.182736666666
13894,1,118.65399999999997,5,160.85,-1.1073559701357603,18.75,282.45,9.9,0.4317339115280311,100.42408209189665,112.2775370677501,112.2775370677501,593.2699999999999,10084.996263999998,12606.245329999998,12606.245329999998
13672,1,76.422,5,124.26,0.13224634853545325,71.46,124.26,62.13,1.421283987431605,24.19040917388542,27.045699658171166,27.045699658171166,382.11,585.175896,731.46987,731.46987
13973,1,264.7,1,264.7,NaN,264.7,264.7,264.7,NaN,0.0,NaN,NaN,264.7,0.0,NaN,NaN
16383,1,334.17999999999995,2,309.46,-2.0000000000000013,358.9,358.9,309.46,0.0,24.72,34.95935926186291,34.95935926186291,668.3599999999999,611.0784,1222.1568,1222.1568
69523,1,353.49099999999993,10,851.4,1.2209480797545682,14.22,1407.86,14.22,1.5656437203363835,421.6694355641632,444.47861202012103,444.47861202012103,3534.9099999999994,177805.11288899998,197561.2365433333,197561.2365433333
69500,1,1472.2675000000002,4,240.35,-0.6671200428076904,5292.72,5292.72,159.1,1.154112403689666,2205.926629257816,2547.1846664291274,2547.1846664291274,5889.070000000001,4866112.29366875,6488149.724891666,6488149.724891666
16170,1,269.9542857142857,7,316.02,2.138359104664872,4.63,324.39,4.63,-2.028168257353384,108.48347903939013,117.17554961924193,117.17554961924193,1889.6799999999998,11768.665224489798,13730.10942857143,13730.10942857143
17140,1,465.32,1,465.32,NaN,465.32,465.32,465.32,NaN,0.0,NaN,NaN,465.32,0.0,NaN,NaN
14619,1,394.44,1,394.44,NaN,394.44,394.44,394.44,NaN,0.0,NaN,NaN,394.44,0.0,NaN,NaN
17444,1,980.0133333333334,3,1171.46,-1.4999999999999998,550.94,1217.64,550.94,-0.6948873725306172,303.9858463079417,372.30510624128345,372.30510624128345,2940.0400000000004,92407.39475555556,138611.09213333335,138611.09213333335
16498,1,38.60666666666666,3,91.22,-1.5000000000000013,14.85,91.22,9.75,0.697184738226161,37.2614602803248,45.635782378889196,45.635782378889196,115.82,1388.4164222222223,2082.6246333333333,2082.6246333333333
15901,1,121.29333333333334,3,110.49,-1.4999999999999998,130.53,130.53,110.49,-0.27780970901582774,8.255956772065987,10.111440715018478,10.111440715018478,363.88,68.16082222222225,102.24123333333338,102.24123333333338
18188,1,525.6633333333333,3,1181.68,-1.5000000000000004,2.55,1181.68,2.55,0.386564166637094,490.46533090751916,600.6948986243627,600.6948986243627,1576.99,240556.2408222223,360834.3612333334,360834.3612333334
15612,1,97.575,2,69.65,-1.9999999999999987,125.5,125.5,69.65,0.0,27.924999999999997,39.491913729268674,39.491913729268674,195.15,779.8056249999998,1559.6112499999997,1559.6112499999997
16759,1,263.2633333333333,3,107.95,-1.5000000000000016,370.94,370.94,107.95,-0.5591425781236489,112.52517950317707,137.81463649893408,137.81463649893408,789.79,12661.91602222222,18992.87403333333,18992.87403333333
69651,1,388.9114285714286,14,552.24,-0.6482030011769373,28.05,829.91,28.05,0.3782848230706494,229.6628716450373,238.33242533703415,238.33242533703415,5444.76,52745.03461224489,56802.344967032965,56802.344967032965
69884,1,391.54099999999994,30,1668.2,5.408291244319958,5.0,1668.2,5.0,2.104938725189929,329.66402352850093,335.2997142172029,335.2997142172029,11746.229999999998,108678.36840900002,112425.89835413794,112425.89835413794
69656,1,1059.390909090909,11,1415.97,3.1653682704852404,106.9,5375.28,5.8,2.034738538820083,1509.7186030181826,1583.4062290925503,1583.4062290925503,11653.299999999997,2279250.2602991727,2507175.28632909,2507175.28632909
70126,1,3084.5037931034485,29,38.8,23.82586183949312,73.2,77183.6,6.3,5.0716151234903535,14030.76625302937,14279.117679533792,14279.117679533792,89450.61,1.968624016471478E8,2.0389320170597452E8,2.0389320170597452E8
13102,1,231.93666666666672,24,316.82,-0.5235592184031019,31.5,447.28,7.5,-0.5627173017194911,117.66272259678888,120.19339324484582,120.19339324484582,5566.480000000001,13844.516288888894,14446.451779710149,14446.451779710149
14201,1,95.0,8,67.24,-0.5467522265765621,29.7,187.98,29.7,0.26649453025592756,48.899538852631316,52.27580593079637,52.27580593079637,760.0,2391.1648999999998,2732.7598857142852,2732.7598857142852
12523,1,137.47583333333333,12,102.95,-0.48610221573643253,19.2,262.42,19.2,-0.030994118387331886,69.14573395593943,72.22036371831744,72.22036371831744,1649.71,4781.132524305556,5215.780935606062,5215.780935606062
70495,1,227.815,2,333.3,-1.9999999999999998,122.33,333.3,122.33,0.0,105.48500000000001,149.17831762692595,149.17831762692595,455.63,11127.085225000003,22254.170450000005,22254.170450000005
70168,1,325.938695652174,23,173.91,2.523777218017308,23.8,1241.98,12.75,1.7723525843164238,296.82590859179084,303.4969866752364,303.4969866752364,7496.590000000001,88105.62001134217,92110.42092094863,92110.42092094863
13301,1,154.52249999999998,4,173.91,-0.9892311710055544,137.19,173.91,137.19,0.23499036063892098,13.025635061293547,15.040707818007315,15.040707818007315,618.0899999999999,169.66716874999977,226.22289166666636,226.22289166666636
12604,1,178.5,1,178.5,NaN,178.5,178.5,178.5,NaN,0.0,NaN,NaN,178.5,0.0,NaN,NaN
15426,1,175.57666666666668,6,251.56,-1.3777861896809693,12.54,446.16,4.95,0.37507715622821913,166.27492782203282,182.14505743134146,182.14505743134146,1053.46,27647.351622222228,33176.82194666668,33176.82194666668
17278,1,246.04,1,246.04,NaN,246.04,246.04,246.04,NaN,0.0,NaN,NaN,246.04,0.0,NaN,NaN
12821,1,92.72,1,92.72,NaN,92.72,92.72,92.72,NaN,0.0,NaN,NaN,92.72,0.0,NaN,NaN
14241,1,213.7,1,213.7,NaN,213.7,213.7,213.7,NaN,0.0,NaN,NaN,213.7,0.0,NaN,NaN
16557,1,140.925,2,101.15,-2.0,180.7,180.7,101.15,0.0,39.77499999999999,56.25034444338984,56.25034444338984,281.85,1582.0506249999994,3164.101249999999,3164.101249999999
14265,1,278.13,1,278.13,NaN,278.13,278.13,278.13,NaN,0.0,NaN,NaN,278.13,0.0,NaN,NaN
17163,1,146.55,2,123.1,-1.999999999999999,170.0,170.0,123.1,0.0,23.450000000000003,33.16330803764908,33.16330803764908,293.1,549.9025000000001,1099.8050000000003,1099.8050000000003
14113,1,294.57,6,492.88,-1.5311729404701848,3.75,492.88,3.75,-0.5354395657005778,204.5413770691234,224.06385232785763,224.06385232785763,1767.42,41837.17493333332,50204.60991999999,50204.60991999999
15740,1,154.88,1,154.88,NaN,154.88,154.88,154.88,NaN,0.0,NaN,NaN,154.88,0.0,NaN,NaN
16164,1,210.60750000000002,4,245.36,-0.85718304725409,19.95,334.9,19.95,-0.7866969457783375,116.19594902039401,134.17152489133701,134.17152489133701,842.4300000000001,13501.498568750003,18001.998091666672,18001.998091666672
17253,1,178.26,1,178.26,NaN,178.26,178.26,178.26,NaN,0.0,NaN,NaN,178.26,0.0,NaN,NaN
15638,1,94.0,1,94.0,NaN,94.0,94.0,94.0,NaN,0.0,NaN,NaN,94.0,0.0,NaN,NaN
16781,1,163.925,2,311.25,-1.9999999999999993,16.6,311.25,16.6,0.0,147.325,208.34901307661622,208.34901307661622,327.85,21704.655624999996,43409.31124999999,43409.31124999999
13402,1,310.615,2,308.28,-1.999999999999998,312.95,312.95,308.28,-5.581225233715945E-16,2.335000000000008,3.3021886681411883,3.3021886681411883,621.23,5.452225000000037,10.904450000000073,10.904450000000073
12793,1,131.8,1,131.8,NaN,131.8,131.8,131.8,NaN,0.0,NaN,NaN,131.8,0.0,NaN,NaN
15708,1,375.7877777777778,9,350.68,-1.2821084059151038,9.95,663.81,7.9,-0.3399086871618981,242.7756447045881,257.50245701632525,257.50245701632525,3382.09,58940.01366172839,66307.51536944445,66307.51536944445
70406,1,302.1475,8,213.3,0.6734554847198839,5.0,902.07,5.0,1.1390980803252182,264.1306167765297,282.36750666715983,282.36750666715983,2417.18,69764.98271874999,79731.40882142856,79731.40882142856
70307,1,454.4525,16,72.0,1.116642439954333,9.95,1393.48,3.3,1.2920122479019935,375.59268499100193,387.9104570473277,387.9104570473277,7271.24,141069.86501875002,150474.5226866667,150474.5226866667
17621,1,355.925,4,239.4,-1.4508677518631654,43.8,662.38,43.8,-0.02686901453030623,234.4388919846705,270.7067147917342,270.7067147917342,1423.7,54961.594075,73282.12543333333,73282.12543333333
15235,1,227.73875,8,529.59,-0.06794872443258537,370.77,529.59,71.9,1.0234100961496821,142.51157737509433,152.35128462466508,152.35128462466508,1821.91,20309.549685937498,23210.913926785714,23210.913926785714
16875,1,269.3925,8,368.8,0.44487609997218636,12.81,957.33,4.95,1.1841123390505257,305.2166492325574,326.29032290496843,326.29032290496843,2155.14,93157.20296875,106465.37482142857,106465.37482142857
69786,1,3082.6322580645165,31,215.16,25.213945482402245,77.85,77183.6,8.75,5.1826405116520755,13626.352318751342,13851.596542104142,13851.596542104142,95561.6,1.8567747751474005E8,1.918667267652314E8,1.918667267652314E8
12994,1,209.324,5,352.6,-1.8062774119929155,36.0,352.6,36.0,-0.35503452207945896,142.7105143428472,159.55520558728256,159.55520558728256,1046.6200000000001,20366.290904,25457.86363,25457.86363
12955,1,310.24727272727273,11,473.82,-0.242405993170705,17.0,842.02,2.95,0.5010966228427692,244.12574152346198,256.04123777590627,256.04123777590627,3412.72,59597.37767438017,65557.11544181818,65557.11544181818
14875,1,296.384,5,362.0,-0.30575506826359256,3.75,1103.32,3.75,1.1654389808332903,426.4389804227564,476.77327424049264,476.77327424049264,1481.92,181850.204024,227312.75503,227312.75503
70161,1,567.2383333333332,18,261.68,3.1298272935466445,11.89,3301.38,7.2,2.0345090356124285,869.0638977035387,894.2593731275456,894.2593731275456,10210.289999999999,755272.0582916668,799699.8264264708,799699.8264264708
14128,1,305.54,1,305.54,NaN,305.54,305.54,305.54,NaN,0.0,NaN,NaN,305.54,0.0,NaN,NaN
12910,1,390.09142857142854,7,720.22,-1.2551008191920905,49.8,720.22,49.8,-0.3109106444582262,238.2133312467492,257.29980511902005,257.29980511902005,2730.64,56745.59118367346,66203.1897142857,66203.1897142857
12548,1,95.2,1,95.2,NaN,95.2,95.2,95.2,NaN,0.0,NaN,NaN,95.2,0.0,NaN,NaN
14690,1,128.26333333333335,3,216.71,-1.5000000000000016,13.09,216.71,13.09,-0.439455452826887,85.24870334628102,104.40791221614067,104.40791221614067,384.79,7267.341422222224,10901.012133333335,10901.012133333335
13384,1,427.17571428571426,7,583.24,-1.0348211234513878,10.9,1024.08,10.9,0.4633124418686364,337.78991526252116,364.85480855892723,364.85480855892723,2990.23,114102.02685306124,133119.03132857144,133119.03132857144
12879,1,103.00999999999999,2,140.5,-2.0000000000000018,65.52,140.5,65.52,-5.523366104984571E-16,37.49,53.01886645336734,53.01886645336734,206.01999999999998,1405.5001000000002,2811.0002000000004,2811.0002000000004
18251,1,4314.72,1,4314.72,NaN,4314.72,4314.72,4314.72,NaN,0.0,NaN,NaN,4314.72,0.0,NaN,NaN
16454,1,7.316666666666667,3,5.9,-1.4999999999999998,15.05,15.05,1.0,0.3505484821294287,5.822704602578504,7.131327599636224,7.131327599636224,21.950000000000003,33.9038888888889,50.85583333333335,50.85583333333335
15473,1,194.74285714285716,7,547.2,0.46209000669949196,102.0,547.2,102.0,1.431081429060282,160.18309931488545,173.01752182118105,173.01752182118105,1363.2,25658.625306122452,29935.062857142864,29935.062857142864
15888,1,27.04,1,27.04,NaN,27.04,27.04,27.04,NaN,0.0,NaN,NaN,27.04,0.0,NaN,NaN
69910,1,326.33083333333326,24,507.88,2.0154776612337706,6.25,1188.0,6.25,1.2406956625807004,270.7810863335404,276.60500177684975,276.60500177684975,7831.939999999999,73322.39671597225,76510.32700797105,76510.32700797105
70209,1,314.75440000000003,25,295.54,4.579856296102508,201.72,1259.46,4.41,1.884618399088059,258.98374778475966,264.324180727631,264.324180727631,7868.8600000000015,67072.58161664,69867.27251733335,69867.27251733335
17191,1,299.30428571428575,7,422.81,-1.1341643205710776,532.17,532.17,30.45,-0.4983740466109672,173.82112101296573,187.74826886526745,187.74826886526745,2095.13,30213.78211020408,35249.41246190476,35249.41246190476
69803,1,256.2081818181818,22,192.7,0.9402429880310565,17.85,954.51,7.5,1.3210439662840696,268.50664748223414,274.82531545617195,274.82531545617195,5636.58,72095.81974214876,75528.95401558442,75528.95401558442
17519,1,264.1385714285714,7,335.3,0.7220485855151582,4.95,356.02,4.95,-1.48097771202448,115.62391218682994,124.88809890305423,124.88809890305423,1848.97,13368.88906938776,15597.037247619053,15597.037247619053
16893,1,145.93,1,145.93,NaN,145.93,145.93,145.93,NaN,0.0,NaN,NaN,145.93,0.0,NaN,NaN
69746,1,523.8746153846154,13,1071.9,4.223086264030229E-4,33.55,1595.48,12.12,1.0798549239904511,465.4587919233004,484.4648706496579,484.4648706496579,6810.37,216651.88697869825,234706.21089358977,234706.21089358977
12480,1,820.4075,4,816.25,-0.9907198476016816,1136.68,1136.68,557.68,0.3767672322819388,207.06909684631844,239.10279761014928,239.10279761014928,3281.63,42877.61086875001,57170.147825000015,57170.147825000015
15447,1,155.17,1,155.17,NaN,155.17,155.17,155.17,NaN,0.0,NaN,NaN,155.17,0.0,NaN,NaN
17171,1,224.91,1,224.91,NaN,224.91,224.91,224.91,NaN,0.0,NaN,NaN,224.91,0.0,NaN,NaN
15572,1,337.94,4,220.77,-0.6996879276568762,194.98,679.25,194.98,1.1127845775865126,198.27321995166164,228.94619382437145,228.94619382437145,1351.76,39312.26975,52416.35966666666,52416.35966666666
70354,1,399.29799999999994,15,2210.05,5.864581650221261,49.5,2210.05,11.8,2.5320610771814893,534.9405453717887,553.716069985331,553.716069985331,5989.469999999999,286161.38708266674,306601.48616000003,306601.48616000003
15108,1,279.3375,4,387.05,-1.4900618954192633,8.5,676.8,8.5,0.38516485932149924,272.8760876638882,315.0901653363155,315.0901653363155,1117.35,74461.35921874999,99281.81229166665,99281.81229166665
16324,1,142.89333333333335,3,166.56,-1.4999999999999998,3.95,258.17,3.95,-0.3262817684482267,105.12543438937865,128.7518366212045,128.7518366212045,428.68,11051.356955555557,16577.035433333334,16577.035433333334
13745,1,154.27,2,300.04,-1.9999999999999982,8.5,300.04,8.5,0.0,145.77,206.14991098712608,206.14991098712608,308.54,21248.892900000003,42497.785800000005,42497.785800000005
