counterparty_id,open_dt_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
13777,12,3295.45,2,330.0,-1.9999999999999993,6260.9,6260.9,330.0,0.0,2965.45,4193.779608539295,4193.779608539295,6590.9,8793893.702499999,1.7587787404999997E7,1.7587787404999997E7
70507,1,1168.91,2,2170.9,-1.9999999999999993,166.92,2170.9,166.92,0.0,1001.99,1417.0278473622175,1417.0278473622175,2337.82,1003983.9601,2007967.9202,2007967.9202
15602,30,76.275,2,92.55,-2.0000000000000018,60.0,92.55,60.0,-4.2195601036910613E-16,16.275,23.01632572762212,23.01632572762212,152.55,264.87562499999996,529.7512499999999,529.7512499999999
69802,11,234.225,2,5.95,-2.0000000000000004,462.5,462.5,5.95,0.0,228.275,322.82960095071826,322.82960095071826,468.45,52109.475625,104218.95125,104218.95125
15513,11,956.5,1,956.5,NaN,956.5,956.5,956.5,NaN,0.0,NaN,NaN,956.5,0.0,NaN,NaN
13327,16,60.0,1,60.0,NaN,60.0,60.0,60.0,NaN,0.0,NaN,NaN,60.0,0.0,NaN,NaN
17576,2,137.05,2,177.35,-1.9999999999999991,96.75,177.35,96.75,0.0,40.3,56.992806563635725,56.992806563635725,274.1,1624.0899999999997,3248.1799999999994,3248.1799999999994
16638,17,274.335,2,20.4,-2.000000000000001,528.27,528.27,20.4,0.0,253.935,359.1183209612119,359.1183209612119,548.67,64482.984225,128965.96845,128965.96845
70327,30,283.53,1,283.53,NaN,283.53,283.53,283.53,NaN,0.0,NaN,NaN,283.53,0.0,NaN,NaN
69508,29,136.25,1,136.25,NaN,136.25,136.25,136.25,NaN,0.0,NaN,NaN,136.25,0.0,NaN,NaN
70170,13,338.29,2,658.38,-2.0000000000000018,18.2,658.38,18.2,0.0,320.09,452.67561918000393,452.67561918000393,676.58,102457.60809999998,204915.21619999997,204915.21619999997
12423,15,237.93,1,237.93,NaN,237.93,237.93,237.93,NaN,0.0,NaN,NaN,237.93,0.0,NaN,NaN
14911,29,956.0677777777777,9,762.3,3.374546472123071,27.51,4345.1,27.51,2.2050810919393604,1234.3251850192637,1309.199562774692,1309.199562774692,8604.609999999999,1523558.6623728396,1714003.4951694445,1714003.4951694445
69770,22,481.14,1,481.14,NaN,481.14,481.14,481.14,NaN,0.0,NaN,NaN,481.14,0.0,NaN,NaN
14299,8,621.9,1,621.9,NaN,621.9,621.9,621.9,NaN,0.0,NaN,NaN,621.9,0.0,NaN,NaN
