customer_country,acct_stat_dt_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
AUT,6,365.1818770226534,309,328.8,54.35556924856928,664.86,7427.32,0.85,6.467833903139171,650.654105251989,651.7095059541564,651.7095059541564,112841.1999999999,423350.76468126633,424725.28015101067,424725.28015101067
BRA,1,371.97127490039816,251,449.98,48.24797592742813,6.36,6260.9,1.25,6.161088105326,597.9708407826114,599.1655889084154,599.1655889084154,93364.78999999994,357569.12642626325,358999.4029319683,358999.4029319683
MEX,3,349.6489804772232,461,362.45,315.48615863192293,17.68,22998.4,0.39,16.556671731487942,1157.860639279473,1159.1185002036648,1159.1185002036648,161188.17999999988,1340641.2599926698,1343555.6975143931,1343555.6975143931
AUT,5,816.5760633484158,221,139.12,39.026683473854526,89.55,22775.93,1.0,6.129647269557578,2804.1310400066627,2810.496839436268,2810.496839436268,180463.30999999988,7863150.889528848,7898892.484481253,7898892.484481253
NOR,1,344.5529661016946,236,70.05,10.728621635456644,4.95,2764.29,1.45,2.470449319293499,347.1945242621822,347.9324518199801,347.9324518199801,81314.49999999993,120544.03767764302,121056.99102946278,121056.99102946278
SWE,1,411.4349480968855,289,116.25,64.19844255202624,65.4,10174.94,0.85,7.358412893749342,909.644849931557,911.2227259655331,911.2227259655331,118904.6999999999,827453.7530070049,830326.8563160569,830326.8563160569
DNK,7,853.2281621621626,185,855.86,173.39994523947544,26.74,77183.6,2.71,13.13044083222736,5679.1483517061215,5694.559908811032,5694.559908811032,157847.21000000008,3.225272600068636E7,3.2428012555037912E7,3.2428012555037912E7
ITA,7,309.29361502347433,213,350.4,6.267238600495647,12.75,1792.72,2.95,2.0941382937684336,285.14547766442223,285.81719939067756,285.81719939067756,65879.54000000004,81307.94343247151,81691.47146753034,81691.47146753034
DNK,3,457.9942335766424,137,303.9,97.380898896976,2.08,13464.26,2.08,9.393083307602181,1201.9354267300687,1206.3462137609893,1206.3462137609893,62745.21000000001,1444648.7700287923,1455271.1874554746,1455271.1874554746
NLD,5,441.38871111111115,225,408.0,53.21500026702626,3.18,6591.6,1.65,6.1160961649794565,596.2313918140851,597.5607834127712,597.5607834127712,99312.46,355491.872584561,357078.8898728849,357078.8898728849
GRC,7,296.56847330097077,412,444.98,42.88510674111518,6.9,4406.61,1.45,5.278564464065072,388.2073006039876,388.67928533830644,388.67928533830644,122186.21099999995,150704.9082422348,151071.58685109665,151071.58685109665
IND,5,374.73972602739735,219,357.0,5.696587340951259,303.96,2251.94,1.65,2.160377426938978,391.4823036057372,392.37917145611226,392.37917145611226,82068.00000000001,153258.39403645459,153961.41419258513,153961.41419258513
CAN,3,342.6406081081082,148,303.9,47.50908837756835,8.3,4418.0,1.65,5.835687045571454,442.68306007954135,444.1862326906052,444.1862326906052,50710.81000000001,195968.29168138682,197301.40931187247,197301.40931187247
SWE,5,361.2419369369369,222,95.29,99.21203856404053,1.65,7480.06,1.65,8.608733166402384,581.177441140305,582.490838162533,582.490838162533,80195.70999999999,337767.2180903926,339295.5765432903,339295.5765432903
