customer_country,open_dt_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
FIN,13,450.37024390243914,41,165.89,14.56956508743001,464.9,3875.88,10.95,3.7622917911715392,677.5114743173342,685.9280886342526,685.9280886342526,18465.180000000004,459021.7978316478,470497.34277743904,470497.34277743904
BRA,1,329.01962962962966,27,244.46,7.386460619380939,9.67,1915.6,9.67,2.668830414249831,396.55835934516557,404.11253068613183,404.11253068613183,8883.53,157258.53236652949,163306.93745754985,163306.93745754985
AUT,15,393.1896341463415,82,204.15,30.324990043878692,5.9,5424.0,1.46,5.372501391463514,756.8953706576866,761.5532322865141,761.5532322865141,32241.550000000003,572890.6021230367,579963.3256060373,579963.3256060373
IND,26,334.0346052631579,76,651.6,14.854835278984883,3.8,2807.31,2.08,3.222917188539335,417.66571486322965,420.44093286751803,420.44093286751803,25386.63,174444.64937221265,176770.5780305088,176770.5780305088
ESP,18,269.89545454545447,11,133.56,-0.9748916447968763,200.04,555.99,53.4,0.5150356256932579,163.58346673313216,171.56778732405664,171.56778732405664,2968.8499999999995,26759.550588429753,29435.505647272726,29435.505647272726
AUT,6,317.15,31,154.41,0.6722768927651344,17.7,1117.08,3.75,1.1053226795183448,300.3477544554839,305.3125164919818,305.3125164919818,9831.65,90208.77360645162,93215.73272666667,93215.73272666667
NLD,16,513.6608450704226,71,345.68,27.305791485664606,15.95,6591.6,2.0,4.978448278439303,925.3875526894261,931.9740240842806,931.9740240842806,36469.920000000006,856342.1226725255,868575.5815678473,868575.5815678473
MEX,3,420.3699999999999,15,2050.08,1.9889904052870833,47.4,2050.08,10.2,1.8953483798882258,639.0377391046634,661.4669023141995,661.4669023141995,6305.549999999998,408369.2319999999,437538.46285714273,437538.46285714273
SWE,10,278.50508333333323,120,230.25,5.3652873294548105,7.95,1414.99,3.2,1.9066971398005614,238.24412433117087,239.24305585839602,239.24305585839602,33420.609999999986,56760.2627783264,57237.2397764636,57237.2397764636
BRA,25,323.0023728813561,236,192.6,14.210685728677515,2.95,2862.06,0.83,3.307733135772676,416.364695630226,417.24963753319116,417.24963753319116,76228.56000000004,173359.5597672507,174097.26002157942,174097.26002157942
SWE,1,269.2322222222222,45,165.05,3.986237161361734,65.4,1133.33,3.75,2.024882883576395,244.05903945916123,246.8168562544162,246.8168562544162,12115.45,59564.81474172841,60918.56053131315,60918.56053131315
ITA,18,265.8067441860465,43,824.88,1.0129517015291505,20.65,824.88,1.65,1.1121179021398844,198.8597467156646,201.21319841829143,201.21319841829143,11429.689999999999,39545.19886381828,40486.751217718716,40486.751217718716
GBR,29,250.7215942028985,69,270.72,1.669804638592196,25.26,1094.9,1.7,1.2725787698281557,231.68974901559153,233.38713250622877,233.38713250622877,17299.789999999997,53680.1397989078,54469.55361947998,54469.55361947998
DNK,14,351.9607407407406,54,784.15,31.97286179617329,3.73,4400.28,1.45,5.333260925138471,614.8327280496158,620.6059319664079,620.6059319664079,19005.879999999994,378019.2834809327,385151.7227918937,385151.7227918937
NOR,1,352.4330000000001,10,1141.24,-0.5325820423466947,1.65,1141.24,1.65,0.8738614627417195,374.791632965572,395.06506938168496,395.06506938168496,3524.330000000001,140468.768141,156076.40904555557,156076.40904555557
AUT,5,486.43999999999994,5,238.85,0.1566144153287521,72.6,1708.24,72.6,1.4304215770105448,616.7162407785285,689.5097186044588,689.5097186044588,2432.2,380338.92163999996,475423.65205,475423.65205
GRC,21,292.25499999999994,36,225.9,0.5973152705951912,12.75,940.67,10.5,1.2085864077575565,243.3283809484623,246.78001974575307,246.78001974575307,10521.179999999998,59208.70097499999,60900.378145714276,60900.378145714276
ZAF,8,297.7361643835616,73,610.64,2.999800851549727,306.0,1364.61,2.1,1.6878978574848273,268.40174466406273,270.2592183474051,270.2592183474051,21734.739999999994,72039.49653871272,73040.0451017504,73040.0451017504
ITA,22,254.78499999999994,24,354.54,1.0042391242270536,76.5,872.23,2.95,0.9781577329265294,211.30333590993465,215.84801359732975,215.84801359732975,6114.839999999998,44649.09976666668,46590.364973913056,46590.364973913056
NOR,19,370.6667499999999,40,346.1,3.7384425285779184,11.9,1541.16,4.25,1.918480624438552,348.86090939934434,353.3051765853243,353.3051765853243,14826.669999999996,121703.93410693752,124824.5478019872,124824.5478019872
USA,25,287.61800000000005,40,419.06,4.129367579739407,5.83,1329.36,2.08,1.8419910244802338,273.18936105016974,276.6696206039402,276.6696206039402,11504.720000000003,74632.426991,76546.07896512821,76546.07896512821
TUR,8,405.27599999999995,20,102.28,6.184544575205788,15.1,2582.78,7.5,2.5213958146448907,596.6950990531094,612.196254423797,612.196254423797,8105.5199999999995,356045.041234,374784.2539305263,374784.2539305263
JPN,29,484.28875000000005,16,341.0,0.7363767593508959,19.63,1820.89,5.9,1.316986593482144,518.7884726320907,535.8024305889252,535.8024305889252,7748.620000000001,269141.4793359375,287084.244625,287084.244625
FRA,9,405.92125000000004,48,79.6,1.50603430240235,2.95,1585.92,2.5,1.341400504557084,358.84736949610044,362.6448019089695,362.6448019089695,19484.22,128771.43459427083,131511.25235159573,131511.25235159573
DEU,27,202.37999999999994,11,165.94,-1.2796958973695012,9.95,498.48,1.95,0.16368209747774637,167.5577185764519,175.7360178221869,175.7360178221869,2226.1799999999994,28075.58905454545,30883.147959999995,30883.147959999995
DNK,10,1290.850602409638,83,223.9,76.8398394027284,25.4,77183.6,1.65,8.848299331405949,8411.56954336573,8462.704175710975,8462.704175710975,107140.59999999995,7.075450218287794E7,7.161736196559596E7,7.161736196559596E7
ZAF,27,260.3570731707317,41,98.5,0.43551967745902376,39.12,933.32,1.95,1.1315397805901308,244.73357282866286,247.77385800608485,247.77385800608485,10674.640000000001,59894.521669482434,61391.8847112195,61391.8847112195
AUT,21,370.05450549450563,91,3762.66,14.064212393884699,29.25,3762.66,0.72,3.3763295641915576,574.1049249321492,577.2855859744977,577.2855859744977,33674.960000000014,329596.4648313487,333258.6477739192,333258.6477739192
RUS,26,288.92552631578945,38,382.5,4.233462572101548,13.16,1118.4,8.3,1.8572080173162375,238.73252223375732,241.93712900867195,241.93712900867195,10979.17,56993.217172091434,58533.57439295877,58533.57439295877
ESP,31,246.78625000000002,8,426.6,-0.4072519925939617,12.75,426.6,12.75,-0.49732934321055805,119.38803687320394,127.6311800168752,127.6311800168752,1974.2900000000002,14253.503348437504,16289.718112500004,16289.718112500004
