customer_country,txn_timestamp_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
BRA,1,430.7866666666665,81,449.98,3.789142661166445,20.8,2558.42,1.7,2.117507775919728,587.620948355042,591.2821734861452,591.2821734861452,34893.71999999999,345298.37894567894,349614.6086824999,349614.6086824999
MEX,3,370.55614035087723,57,215.58,16.25272656737705,36.43,2388.31,6.2,3.420664140648062,353.7729905777094,356.9177012269394,356.9177012269394,21121.7,125155.32886229607,127390.24544912278,127390.24544912278
AUT,6,446.3363513513514,74,375.69,26.19586171983931,664.86,7011.38,0.72,4.99493963522584,1005.2974802952797,1012.159658799047,1012.159658799047,33028.89000000001,1010623.0238880382,1024467.1749002031,1024467.1749002031
FIN,13,287.73980000000006,50,540.95,0.14570709730643472,16.5,971.13,1.7,0.9359577602961698,236.52104806541007,238.92233854342973,238.92233854342973,14386.990000000002,55942.20617796002,57083.88385506124,57083.88385506124
AUT,15,419.8672916666667,48,302.78,5.3670319703250975,495.98,2231.3,3.75,2.401691019660214,518.6195507456132,524.1077411556878,524.1077411556878,20153.63,268966.23841558164,274688.9243393174,274688.9243393174
NLD,16,400.8226086956521,46,404.82,31.729538643004688,4.95,4666.44,3.75,5.479862487769104,675.0157538078996,682.4747178530491,682.4747178530491,18437.839999999997,455646.2678888469,465771.7405085991,465771.7405085991
ESP,18,278.41903846153843,52,315.0,4.488576623502187,21.56,1224.6,7.5,1.8385858155454053,242.71492705720252,245.08293364043612,245.08293364043612,14477.789999999999,58910.53581638313,60065.64436180241,60065.64436180241
IND,26,314.3888709677419,62,328.4,7.660593955148514,48.85,2123.92,0.0,2.6215863527095755,392.07465215393427,395.275314665551,395.275314665551,19492.11,153722.53286162854,156242.57438395033,156242.57438395033
SWE,10,357.9055882352942,34,157.9,2.923549076395137,1579.51,1579.51,1.45,1.621075721045635,339.55269246458363,344.6590345253502,344.6590345253502,12168.790000000003,115296.03095994813,118789.85007994655,118789.85007994655
NOR,1,341.41852459016405,61,70.05,6.653680574416285,7.65,2114.71,2.95,2.452051671000424,414.93350305026087,418.3769936545909,418.3769936545909,20826.530000000006,172169.81195356086,175039.30881945355,175039.30881945355
SWE,1,689.5328378378379,74,508.2,14.752171058339254,96.75,8142.75,1.39,3.9090580177472556,1559.8266291053862,1570.4740334545018,1570.4740334545018,51025.43,2433059.112866272,2466388.689754851,2466388.689754851
AUT,5,282.3052380952381,84,126.43,7.2531467041392155,29.25,1631.3,2.95,2.264822695373806,267.6967095270503,269.30451202818307,269.30451202818307,23713.64,71661.52829160995,72524.92019873779,72524.92019873779
DNK,14,376.88326530612244,49,15.0,26.53214256306132,6.6,4351.0,1.25,4.7872670181641555,644.8973055832389,651.5803577117578,651.5803577117578,18467.28,415892.5347485214,424556.96255578223,424556.96255578223
GRC,21,360.94615384615383,52,45.35,18.162204837180855,4.25,2843.6,1.45,3.6375987935012963,432.50637042508856,436.7260446943011,436.7260446943011,18769.2,187061.7604582839,190729.6381143287,190729.6381143287
ITA,18,795.1190243902439,41,128.82,35.09853702174365,4.15,20277.92,1.65,6.053362516630936,3099.083990953523,3137.5834048769166,3137.5834048769166,32599.88,9604321.582984416,9844429.622559026,9844429.622559026
BRA,25,353.181746031746,63,303.8,33.42512789482045,23.27,4161.06,3.6,5.31744672849838,550.8544423721011,555.2790471248978,555.2790471248978,22250.449999999997,303440.6166810784,308334.8201759345,308334.8201759345
GBR,29,382.4829166666666,24,301.91,13.191737583101109,39.8,3491.02,3.25,3.616135374111401,700.8256932509393,715.8989379640674,715.8989379640674,9179.589999999998,491156.65232065966,512511.28937807964,512511.28937807964
ZAF,8,321.47254237288143,59,164.25,30.39133689942839,20.0,3599.4,5.95,5.089418677819669,493.2302675001628,497.4640813566108,497.4640813566108,18966.880000000005,243276.09677828217,247470.5122399767,247470.5122399767
TUR,8,387.402125,80,319.18,6.049921413059014,3.8,2608.11,2.1,2.5156551106261524,545.8352885502499,549.2790784768608,549.2790784768608,30992.170000000002,297936.1622267345,301707.5060523894,301707.5060523894
NOR,19,469.15822222222226,45,191.46,28.436380514900367,225.72,5490.24,4.95,5.144466013339575,819.4714945060325,828.731353332772,828.731353332772,21112.120000000003,671533.5303079506,686795.6559967677,686795.6559967677
ITA,22,310.81702127659565,47,110.4,-0.45000867736832584,20.8,868.49,6.25,0.5175334754813569,228.04067806139693,230.50605433824617,230.50605433824617,14608.399999999996,52002.55085070168,53133.0410865865,53133.0410865865
USA,25,398.74461904761904,63,620.14,4.786538827889808,33.6,2053.07,15.001,2.007248726598286,383.18990982500594,386.2677898706573,386.2677898706573,25120.911,146834.5069916962,149202.80549156226,149202.80549156226
JPN,29,285.30550000000005,40,314.9,2.9715016173537157,17.95,1294.32,2.28,1.5463837450470963,268.72666354448336,272.15007115654555,272.15007115654555,11412.220000000001,72214.01969974997,74065.6612305128,74065.6612305128
FRA,9,339.52509803921566,51,111.75,0.8868534200386402,119.6,1236.48,2.52,1.0908696411179857,284.85591612336333,287.69037316095614,287.69037316095614,17315.78,81142.8929504806,82765.7508094902,82765.7508094902
DEU,27,217.23446808510644,47,556.46,0.27595710834012,5.9,696.8,1.65,0.8677435653199917,177.0997684538836,179.01441618907472,179.01441618907472,10210.020000000002,31364.327986419186,32046.161203515254,32046.161203515254
DNK,10,357.51138888888886,36,2157.64,8.635861988996243,23.75,2157.64,1.45,2.597023052814669,402.0318642578303,407.73472873673126,407.73472873673126,12870.41,161629.61987862652,166247.60901801582,166247.60901801582
AUT,21,266.23578947368424,57,65.4,-0.5161324469805115,11.7,729.09,0.4,0.5748836076686031,207.41858729198137,209.26234432736211,209.26234432736211,15175.440000000002,43022.470354201294,43790.72875338346,43790.72875338346
RUS,26,365.15711538461534,52,419.4,3.9481638744051546,38.25,1746.72,3.35,1.9098503812526773,387.4072828747174,391.18695562646275,391.18695562646275,18988.17,150084.4028243713,153027.23425230014,153027.23425230014
ZAF,27,412.40788461538466,52,675.58,17.26536840689997,15.0,4390.56,4.95,4.104466838093482,745.5386295654783,752.8123494156379,752.8123494156379,21445.210000000003,555827.8481743715,566726.4334326924,566726.4334326924
ESP,31,339.785,24,194.55,2.000439023692417,5.5,1514.17,2.95,1.815828657001803,453.2737853475903,463.0227239986505,463.0227239986505,8154.84,205457.1244833334,214390.0429391305,214390.0429391305
DNK,7,304.25499999999994,66,532.8,13.289164449187766,11.8,2046.0,11.8,3.1423921621727198,316.9602203568081,319.3890698252621,319.3890698252621,20080.829999999994,100463.78128863635,102009.37792384614,102009.37792384614
DEU,9,564.8623076923078,52,100.2,40.614375805096046,1.7,11816.64,1.7,6.329575458717387,1630.7038100235873,1646.6134922349738,1646.6134922349738,29372.840000000004,2659194.916025444,2711335.9928102563,2711335.9928102563
ITA,9,292.6829268292683,41,163.2,5.319925340719086,4.5,1687.17,2.95,2.289671956074955,358.63101956790035,363.0862341114291,363.0862341114291,12000.0,128616.20819631171,131831.6134012195,131831.6134012195
AUS,19,469.74127272727264,55,259.55,6.257056919527367,12.75,2675.28,1.25,2.3808859699205684,530.4966454664038,535.3861188312965,535.3861188312965,25835.769999999997,281426.6908511074,286638.2962372391,286638.2962372391
FIN,24,348.62907407407397,54,904.66,-0.0987626501970893,13.16,974.14,13.16,0.8765951685596871,252.24993423093895,254.61853017886824,254.61853017886824,18825.969999999994,63630.02931951303,64830.595910447235,64830.595910447235
GRC,26,334.8345454545455,55,160.05,11.129968185689556,17.37,2548.8,0.5,3.2727884945292054,504.6529231599519,509.3042005005209,509.3042005005209,18415.9,254674.57285388434,259390.7686474748,259390.7686474748
NLD,30,387.41818181818184,33,102.64,6.6953250692868576,44.25,2297.52,1.95,2.63792540213771,504.0409231368959,511.8559771340381,511.8559771340381,12784.800000000001,254057.25219669423,261996.5413278409,261996.5413278409
ITA,7,519.5202631578948,38,102.0,29.558958367807463,12.75,7059.54,12.75,5.472082340868864,1102.8107260934548,1117.614217009649,1117.614217009649,19741.77,1216191.497586773,1249061.5380620912,1249061.5380620912
JPN,10,1440.8775,64,523.86,3.1174062471132995,100.0,9500.0,1.65,2.225446065696047,2790.508770255883,2812.5684714063777,2812.5684714063777,92216.16,7786939.196875001,7910541.406349207,7910541.406349207
ZAF,14,328.32199999999995,50,2594.76,16.593740153175975,306.0,2594.76,1.65,3.8120722557958615,414.3451999528896,418.55185805540594,418.55185805540594,16416.1,171681.94472400003,175185.65788163268,175185.65788163268
RUS,15,322.92339999999996,50,206.29,2.0396855209399734,25.0,1380.4,0.95,1.6079072646767845,341.80185328701776,345.2720118305424,345.2720118305424,16146.169999999998,116828.50691044,119212.76215351021,119212.76215351021
USA,16,459.91465753424666,73,404.82,16.185025677208916,96.15,3949.32,1.06,3.449757233501956,581.1439513369883,585.1657567734363,585.1657567734363,33573.770000000004,337728.29217556777,342418.96290022845,342418.96290022845
FRA,21,387.49434782608694,46,842.9,2.6768755681577234,6.95,1733.85,1.95,1.6865104714117987,392.0528448666747,396.38505201467467,396.38505201467467,17824.739999999998,153705.43316805293,157121.10946067632,157121.10946067632
NOR,18,462.39745762711874,59,302.22,50.39496405618604,20.25,10267.88,2.9,7.117625657713143,1308.8503038805136,1320.0852765042964,1320.0852765042964,27281.450000000004,1713089.1179681127,1742625.137243425,1742625.137243425
DNK,3,308.9754545454544,44,754.87,0.10116926821168049,139.8,1026.72,1.65,0.8985846557888,255.78895154772476,258.7461474959089,258.7461474959089,13594.919999999995,65427.98773388429,66949.56884397463,66949.56884397463
NLD,5,436.58611111111117,72,155.64,17.92574845567431,14.9,3705.48,2.08,3.630000384374869,531.8127859672142,535.5448513050158,535.5448513050158,31434.200000000004,282824.8393182099,286808.28775931144,286808.28775931144
FRA,19,345.99808510638303,47,246.7,2.544828883784037,25.5,1437.5,9.95,1.5354136207290479,303.9090150213166,307.1946133729951,307.1946133729951,16261.910000000002,92360.68941122682,94368.53048538392,94368.53048538392
ZAF,20,413.01934426229496,61,383.52,2.469637318341679,6.95,1754.97,3.75,1.5051995275266188,384.6287431262962,387.82073763475165,387.82073763475165,25194.179999999993,147939.27003891434,150404.9245395629,150404.9245395629
ITA,21,208.9536,50,97.84,0.0863611557089583,9.9,778.92,1.25,0.7718537745748905,179.3240145965955,181.14460964406874,181.14460964406874,10447.68,32157.10221104,32813.369603102044,32813.369603102044
USA,18,461.9066000000002,50,465.58,7.138122232328081,54.9,2856.14,2.5,2.4466670303546803,553.9372850444714,559.5611580100161,559.5611580100161,23095.33000000001,306846.51576244005,313108.6895535102,313108.6895535102
ITA,19,376.22552631578947,38,212.72,29.695832249431135,3.75,4563.84,3.75,5.481928963767565,705.4024926227631,714.8714061404913,714.8714061404913,14296.57,497592.67659840744,511041.1273172833,511041.1273172833
AUS,26,359.2720689655173,58,187.85,48.90719763530263,16.9,8107.72,1.45,7.0009953535174985,1046.0768482875937,1055.2130640954695,1055.2130640954695,20837.780000000002,1094276.7725233056,1113474.6106377495,1113474.6106377495
GRC,27,368.4949122807017,57,1715.85,16.003295249091266,15.0,2822.74,1.45,3.583654260106215,438.38849506738694,442.28535832618763,442.28535832618763,21004.21,192184.47260744835,195616.3381897242,195616.3381897242
