customer_country,txn_timestamp_quarter,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
BRA,1,402.05533910533956,693,449.98,47.20886629264829,25.68,8132.31,0.85,6.078193819282376,757.276435075337,757.8234025970459,757.8234025970459,278624.3500000003,573467.5991204111,574296.3095237643,574296.3095237643
MEX,3,382.7273989898993,396,178.65,296.2642081504065,3.16,22998.4,1.65,16.257697171421366,1219.1663936230984,1220.7086667174278,1220.7086667174278,151560.05000000013,1486366.695339952,1490129.6489990402,1490129.6489990402
NOR,1,409.15394990366036,519,70.05,46.97160650693428,35.0,8322.12,1.06,5.93845885452745,697.9295789881635,698.6029313676329,698.6029313676329,212350.89999999973,487105.69722659513,488046.05571544956,488046.05571544956
SWE,1,428.7664067796612,590,508.2,83.87563107485614,98.75,11816.64,0.95,7.871945829824131,819.5096039893721,820.2049877411255,820.2049877411255,252972.18000000014,671595.9910308174,672736.2219154198,672736.2219154198
DNK,3,312.08678899082537,327,467.3,76.59794623778798,2.75,5518.68,1.65,6.812951480400322,413.759812007156,414.39392703363444,414.39392703363444,102052.3799999999,171197.18203219704,171722.32676235714,171722.32676235714
DEU,2,320.0240131578946,304,299.6,33.1982459940583,29.85,3978.99,1.65,4.346218789857775,368.7854633513762,369.3935189388227,369.3935189388227,97287.29999999996,136002.71797928924,136451.57183400638,136451.57183400638
CAN,3,327.7869273743016,358,500.35,122.43061951292785,3.16,8915.52,1.06,9.330362983573135,594.5499039685353,595.3820246052322,595.3820246052322,117347.71999999999,353489.58830899454,354479.75522302533,354479.75522302533
GRC,4,531.366862790698,430,155.34,64.30605747505926,10.95,13464.26,1.45,7.3922068626051685,1253.1716855675465,1254.6314084684197,1254.6314084684197,228487.75100000013,1570439.2735082055,1574099.9711154508,1574099.9711154508
BRA,3,378.9143953488377,430,142.5,82.01809871156603,57.6,9341.26,0.83,7.404630176981286,663.7067183337671,664.4798190248958,664.4798190248958,162933.1900000002,440506.60796137847,441533.42989135836,441533.42989135836
CHE,2,360.8857270029672,337,368.8,159.40794458221643,8.5,16726.84,1.25,12.19454129834065,1131.9436889469046,1133.6268775182102,1133.6268775182102,121618.48999999995,1281296.5149467266,1285109.897431687,1285109.897431687
USA,2,406.8853481012658,316,388.72,16.26277489859863,2.55,4379.76,2.25,3.183480048015008,486.19518294266453,486.96630980778843,486.96630980778843,128575.76999999999,236385.75591665102,237136.18688781498,237136.18688781498
ITA,1,361.38365656565657,495,139.12,292.25277245173277,38.65,20277.92,1.45,15.776983655219366,1022.941675823963,1023.9765184515929,1023.9765184515929,178884.91,1046409.6721375377,1048527.9103402453,1048527.9103402453
JPN,1,608.392474747475,594,426.56,27.214282005997763,9500.0,10584.77,0.95,5.169140854406464,1422.81566683993,1424.0148374420398,1424.0148374420398,361385.1300000002,2024404.4218051545,2027818.257255079,2027818.257255079
ESP,3,305.1131218274112,394,201.01,30.029727802443702,128.27,4037.77,1.25,4.099386401549743,365.3571198401903,365.8216554630836,365.8216554630836,120214.57,133485.82501791918,133825.483605751,133825.483605751
ZAF,1,451.06045075125223,599,354.23,39.122648709692356,664.86,8895.76,0.85,5.552160667925866,831.904640414514,832.5999223080602,832.5999223080602,270185.2100000001,692065.3307432019,693222.6306273878,693222.6306273878
ZAF,3,409.9818181818184,374,146.99,139.73648525967323,23.2,13355.4,0.84,10.093925029571693,856.0162632375482,857.1629700654229,857.1629700654229,153333.2000000001,732763.8429271755,734728.357251377,734728.357251377
CAN,4,353.58448687350847,419,249.03,60.88202569838426,3.75,6870.0,0.0,6.420534649068873,537.5906467183524,538.2333135906464,538.2333135906464,148151.90000000005,289003.7034390564,289695.09985876706,289695.09985876706
NOR,4,509.96389728096636,331,175.65,120.32624198184257,22.3,18841.48,0.39,10.07964462836003,1331.8046909114544,1333.8210504171757,1333.8210504171757,168798.04999999987,1773703.7347337543,1779078.5945359778,1779078.5945359778
FRA,3,605.3142532467532,308,704.6,133.30470414834497,14.85,38970.0,1.95,11.436879206086441,3190.331516851298,3195.52327214393,3195.52327214393,186436.78999999998,1.0178215187414706E7,1.0211368982813451E7,1.0211368982813451E7
SWE,3,448.0307272727271,330,535.34,58.974939535220464,21.25,10174.94,2.1,7.22862251568592,967.4646004132684,968.9337957933313,968.9337957933313,147850.13999999996,935987.7530528051,938832.7006304732,938832.7006304732
PRT,4,744.0618847058827,425,462.19,83.77115037400395,7.62,31698.16,0.0,8.408383219505783,2440.0539177039077,2442.929645181224,2442.929645181224,316226.30100000015,5953863.121302188,5967905.25130526,5967905.25130526
ESP,4,389.25687784090894,352,406.66,30.9667551124912,10.0,5496.0,1.44,4.901261768215582,600.4646895445231,601.3194439836852,601.3194439836852,137018.42099999994,360557.8433898005,361585.0737128484,361585.0737128484
ZAF,2,366.3842378048782,328,310.28,15.97252944052147,7.95,3547.34,0.85,3.3507169348994785,458.8335331192163,459.5345778872739,459.5345778872739,120174.03000000004,210528.21111466296,211172.028274035,211172.028274035
GRC,3,450.8665544041454,386,282.6,122.99297602030167,153.0,16488.0,1.45,9.931191892651421,1112.9624237533053,1114.4068921402338,1114.4068921402338,174034.49000000014,1238685.3566868322,1241902.721249655,1241902.721249655
ITA,3,415.8550922509223,271,134.0,216.0001190104634,20.8,22775.93,1.25,14.143335038025938,1433.032292902364,1435.6836037591506,1435.6836037591506,112696.72999999995,2053581.5525010063,2061187.410102862,2061187.410102862
ITA,4,397.78734567901193,324,247.52,25.28286226525174,11.31,4563.84,1.65,4.675709526502517,594.2728395028099,595.192055581212,595.192055581212,128883.09999999987,353160.20777073246,354253.5830269886,354253.5830269886
MEX,4,400.7974528735632,435,384.8,48.271176109550346,6.17,8281.12,0.4,5.707222952305704,681.0558411340128,681.8400162252403,681.8400162252403,174346.892,463837.0587427577,464905.80772603594,464905.80772603594
JPN,4,401.3123474178408,426,294.3,90.75893590215999,17.95,8801.51,1.65,8.347868593746501,711.7915337023597,712.6284434960849,712.6284434960849,170959.06000000017,506647.1874503576,507839.29847965256,507839.29847965256
FIN,3,321.8276811594201,414,231.3,42.801529729754556,34.13,5176.12,1.7,5.643630823982265,468.7367090392041,469.30384380082853,469.30384380082853,133236.65999999992,219714.10240090344,220246.0978062325,220246.0978062325
CHE,1,386.7263333333337,630,22.2,46.27626853233823,25.68,6936.52,2.1,5.641040295225897,569.5566276817768,570.0091955940122,570.0091955940122,243637.59000000023,324394.7521362381,324910.4830617329,324910.4830617329
TUR,4,365.39533875338753,369,99.14,41.514419263647625,1.25,5350.4,1.25,5.58010199531642,537.4573118219226,538.187057320037,538.187057320037,134830.88,288860.36203084735,289645.30866680073,289645.30866680073
NLD,2,363.6408766233762,308,1209.1,44.01202679580886,8.5,6323.38,1.39,5.89988853216268,615.8361138529717,616.8382888265135,616.8382888265135,112001.38999999987,379254.1191255303,380489.47456242127,380489.47456242127
FIN,2,687.0046764705883,340,307.3,280.17929408662275,29.85,77183.6,1.25,16.25560764225062,4345.219913320121,4351.624072894565,4351.624072894565,233581.59,1.8880936095113724E7,1.893663207179548E7,1.893663207179548E7
DEU,1,464.57450549450596,546,855.86,47.83680448219292,4.85,11816.64,1.64,6.419041496453394,1075.7025852827987,1076.6890161047345,1076.6890161047345,253657.68000000025,1157136.0519840969,1159259.2374005814,1159259.2374005814
USA,4,421.54895476190507,420,115.75,23.02846620586903,7.5,4345.1,0.65,4.091067823724282,549.7305369339776,550.386149017805,550.386149017805,177050.56100000013,302203.6632377194,302924.9130306495,302924.9130306495
USA,1,1123.1199702823183,673,449.98,218.40473518455062,54.75,168469.6,1.06,14.830692058770936,11209.764358971013,11218.10185685773,11218.10185685773,755859.7400000002,1.256588169836568E8,1.2584580927083485E8,1.2584580927083485E8
PRT,2,676.7125776397514,322,109.3,34.32249880373941,44.85,15719.56,1.95,5.67406978145978,1915.3284728042506,1918.3095305970096,1918.3095305970096,217901.44999999995,3668483.158734663,3679911.4551793193,3679911.4551793193
DNK,1,366.98905325443803,507,855.86,14.872700941019929,27.25,3419.64,1.25,3.265604796756145,439.30792596096126,439.7418104380379,439.7418104380379,186063.45000000007,192991.4538121214,193372.8598473232,193372.8598473232
JPN,3,467.8404656862748,408,142.5,154.83124109018468,20.8,22998.4,0.85,11.974771154301308,1632.5464436057955,1634.5507984964509,1634.5507984964509,190878.91000000012,2665207.890529931,2671756.3128653853,2671756.3128653853
