customer_id,txn_timestamp_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
70185,1,171.26666666666665,3,4.95,-1.4999999999999996,347.35,347.35,4.95,0.10433687924318417,139.95470894384212,171.40881200607316,171.40881200607316,513.8,19587.320555555558,29380.980833333335,29380.980833333335
16140,3,362.59,2,124.14,-2.0000000000000004,601.04,601.04,124.14,0.0,238.45,337.2192239478645,337.2192239478645,725.18,56858.4025,113716.805,113716.805
16455,3,190.65,2,246.3,-2.0,135.0,246.3,135.0,0.0,55.650000000000006,78.70098474606274,78.70098474606274,381.3,3096.9225000000006,6193.845000000001,6193.845000000001
69586,5,33.15,1,33.15,NaN,33.15,33.15,33.15,NaN,0.0,NaN,NaN,33.15,0.0,NaN,NaN
12647,5,216.20000000000002,3,286.5,-1.5,276.6,286.5,85.5,-0.701037741458943,92.50718890983555,113.29770518417398,113.29770518417398,648.6,8557.580000000002,12836.370000000003,12836.370000000003
70213,8,275.245,2,281.0,-2.0000000000000027,269.49,281.0,269.49,-5.964502192345923E-16,5.7549999999999955,8.138799051457156,8.138799051457156,550.49,33.12002499999995,66.2400499999999,66.2400499999999
69898,8,279.9666666666667,3,513.6,-1.4999999999999998,15.0,513.6,15.0,-0.22595921069106498,204.75485070905867,250.77245329847005,250.77245329847005,839.9000000000001,41924.5488888889,62886.82333333335,62886.82333333335
69711,10,0.95,1,0.95,NaN,0.95,0.95,0.95,NaN,0.0,NaN,NaN,0.95,0.0,NaN,NaN
69650,10,919.8,1,919.8,NaN,919.8,919.8,919.8,NaN,0.0,NaN,NaN,919.8,0.0,NaN,NaN
69743,14,276.685,2,488.09,-2.0000000000000018,65.28,488.09,65.28,-3.9428872409874178E-16,211.40499999999997,298.9718181534841,298.9718181534841,553.37,44692.07402499999,89384.14804999997,89384.14804999997
17214,15,171.05,1,171.05,NaN,171.05,171.05,171.05,NaN,0.0,NaN,NaN,171.05,0.0,NaN,NaN
70202,16,220.01333333333332,6,230.7,0.3794179924792238,2.1,675.7,2.1,1.2845307992193071,218.2189990710148,239.0469365347874,239.0469365347874,1320.08,47619.53155555556,57143.43786666667,57143.43786666667
69680,20,1050.95,2,239.9,-2.0,1862.0,1862.0,239.9,0.0,811.05,1146.9979097626988,1146.9979097626988,2101.9,657802.1024999999,1315604.2049999998,1315604.2049999998
17230,20,193.49833333333333,6,751.0,0.8468463858053243,162.24,751.0,0.95,1.5897363489451346,255.86879127244538,280.2902174829986,280.2902174829986,1160.99,65468.83834722223,78562.60601666667,78562.60601666667
14180,4,165.56666666666666,3,284.6,-1.4999999999999998,16.95,284.6,16.95,-0.38006664063060247,111.25199873360579,136.25531488104724,136.25531488104724,496.7,12377.007222222224,18565.510833333337,18565.510833333337
16532,5,1910.4,1,1910.4,NaN,1910.4,1910.4,1910.4,NaN,0.0,NaN,NaN,1910.4,0.0,NaN,NaN
17585,5,417.81,1,417.81,NaN,417.81,417.81,417.81,NaN,0.0,NaN,NaN,417.81,0.0,NaN,NaN
14794,9,179.1,1,179.1,NaN,179.1,179.1,179.1,NaN,0.0,NaN,NaN,179.1,0.0,NaN,NaN
