debit_credit,acct_last_updated_ts_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
Debit,5,332.8697067901237,648,204.0,241.74261277117552,54.75,15160.9,0.85,13.202440878941651,746.880243445869,747.457207798769,747.457207798769,215699.57000000015,557830.0980497607,558692.2774903321,558692.2774903321
Debit,27,581.6176981707322,656,17.85,390.28942753650927,32.53,77183.6,0.83,18.852512157339604,3451.7345715976244,3454.368478559752,3454.368478559752,381541.2100000003,1.1914471552762235E7,1.1932661585667215E7,1.1932661585667215E7
Credit,9,363.85162861491654,657,79.6,78.57404110925303,54.75,8322.12,1.6,7.338968304125511,568.494948209714,568.9280872807091,568.9280872807091,239050.52000000016,323186.5061399655,323679.16849688615,323679.16849688615
Debit,20,379.06434782608693,690,430.6,342.94359583928286,2.08,18841.48,0.42,16.25111698962905,836.9265043840568,837.5336328675178,837.5336328675178,261554.4,700445.9737405167,701462.5861842621,701462.5861842621
Credit,24,482.0775641025644,780,842.12,174.46645001531704,98.75,22998.4,0.72,12.053017054139355,1381.7082608082867,1382.5948237874184,1382.5948237874184,376020.50000000023,1909117.7179858603,1911568.4467637625,1911568.4467637625
Debit,9,453.10007079646044,565,3193.92,103.06298672234512,36.15,15885.49,0.38,8.769046293593266,1035.191083708744,1036.1083998689871,1036.1083998689871,256001.54000000015,1071620.5797900835,1073520.616279073,1073520.616279073
Credit,11,574.9987538461546,650,156.1,641.411481338978,52.5,168469.6,1.45,25.33058545494075,6599.5996971461955,6604.6821774506225,6604.6821774506225,373749.1900000005,4.355471616257215E7,4.362182666513389E7,4.362182666513389E7
Credit,19,504.0797885196376,662,101.55,114.33130791259809,269.96,22775.93,1.25,10.173627615913018,1676.7565375088006,1678.0244065273948,1678.0244065273948,333700.82000000007,2811512.4860785017,2815765.908901616,2815765.908901616
Credit,22,381.9443412322276,1055,95.29,992.178578182862,25.26,77183.6,0.38,31.10543259223126,2399.299347984606,2400.437265690498,2400.437265690498,402951.28000000014,5756637.361239356,5762099.066515675,5762099.066515675
Debit,15,428.6498123324395,746,390.79,501.51347004633385,15.85,38970.0,0.0,20.817579069864955,1557.8186858847391,1558.863851172314,1558.863851172314,319772.7599999999,2426799.058091656,2430056.506491779,2430056.506491779
Debit,19,390.4036767317946,563,508.2,248.46409316089213,14.85,19150.66,0.48,13.74344291255993,971.4498060870247,972.313701149776,972.313701149776,219797.27000000034,943714.725746518,945393.9334435759,945393.9334435759
Credit,28,501.4212048192773,747,1825.74,44.78443463913092,12.75,11816.64,0.84,5.991923948243715,1050.9619660189235,1051.6661282192115,1051.6661282192115,374561.64000000013,1104521.054018361,1106001.6452435867,1106001.6452435867
Credit,20,362.3738198198201,555,243.28,33.77793740698523,16.45,6260.9,0.83,5.037904164468155,604.9583510952001,605.5040962229599,605.5040962229599,201117.47000000015,365974.60655982344,366635.21054278343,366635.21054278343
Debit,30,309.18665624999966,320,194.85,76.35110021915007,37.3,6591.6,0.84,7.262526676733871,511.7047651115649,512.5061826192475,512.5061826192475,98939.7299999999,261841.7666378818,262662.5872229535,262662.5872229535
Debit,25,381.646172248804,627,34.8,192.46337906181347,8.32,16774.72,0.95,12.308145613866326,917.2410342553754,917.9733625430963,917.9733625430963,239292.1500000001,841331.1149218709,842675.094338679,842675.094338679
Debit,12,509.826959152799,661,354.23,587.685801141887,224.69,77183.6,0.39,23.70884513386724,3067.5926666619093,3069.915720888567,3069.915720888567,336995.62000000017,9410124.768557925,9424382.533358771,9424382.533358771
Debit,26,424.17627450980376,459,22.2,82.83917102726798,3.75,13464.26,0.65,8.490102599449076,1093.9581512017153,1095.1517774718932,1095.1517774718932,194696.90999999992,1196744.4365806752,1199357.4156998468,1199357.4156998468
Debit,18,372.294658040666,541,22.2,186.65416800021063,23.76,16726.84,1.65,11.858871800297976,924.140725619004,924.9960156915812,924.9960156915812,201411.4100000003,854036.0807476192,855617.6290453,855617.6290453
Credit,12,442.9032880434788,736,855.86,675.7963726822452,16.95,77183.6,0.4,25.599782200500456,2886.721154955801,2888.6842433533443,2888.6842433533443,325976.8200000004,8333159.026469353,8344496.657797882,8344496.657797882
Credit,21,300.51664714494876,683,139.12,16.362629149102645,15.0,3120.22,1.25,3.264941492673705,345.23745281358936,345.4904667374832,345.4904667374832,205252.87000000002,119188.89882521532,119363.66260648397,119363.66260648397
Debit,23,389.14168927444814,634,350.4,86.95604545898917,3.75,10901.54,0.65,7.4668928942080095,703.9489298813453,704.5047522576219,704.5047522576219,246715.83100000012,495544.0958810912,496326.9459535732,496326.9459535732
Credit,10,328.95677040816315,588,226.14,18.34302766060817,7.25,3599.4,0.72,3.523795893522204,372.2556013245881,372.57254953128063,372.57254953128063,193426.58099999992,138574.23271753066,138810.30466423856,138810.30466423856
