debit_credit,txn_timestamp_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
Debit,5,355.5293300852624,821,256.9,119.03464485260005,1100.44,10999.52,0.42,9.009356220289387,641.4171868552785,641.8081757284396,641.8081757284396,291889.5800000004,411416.0075933392,411917.7344318676,411917.7344318676
Debit,27,353.38723196881085,513,490.88,259.94322258260377,25.26,15719.56,1.01,14.256265855541365,803.5623917212829,804.3467378247726,804.3467378247726,181287.64999999997,645712.5173888284,646973.6746493535,646973.6746493535
Credit,9,859.2946033810146,769,213.3,369.1728112707589,7.5,168469.6,0.38,19.150977638747314,8617.865659791447,8623.47442423797,8623.47442423797,660797.5500000002,7.426760853021266E7,7.436431114548637E7,7.436431114548637E7
Debit,20,364.6539158576052,618,215.01,29.50753251133672,80.0,4936.65,0.39,4.545773374400854,494.97907038476905,495.3800255500585,495.3800255500585,225356.12000000002,245004.28011897017,245401.36971397663,245401.36971397663
Credit,24,380.5278159509209,489,165.0,95.89260018321659,13.9,8980.88,1.0,8.500955505572623,629.2896174480826,629.9340514289831,629.9340514289831,186078.10200000033,396005.42262795416,396816.90914973273,396816.90914973273
Debit,9,883.7206818181818,704,213.3,338.42617589196215,7.5,168469.6,0.38,18.351635613204383,9000.913458092022,9007.31297077967,9007.31297077967,622139.36,8.101644308006209E7,8.113168695357569E7,8.113168695357569E7
Credit,11,403.17873015873056,693,234.0,121.97054402436179,8000.0,15160.9,0.48,9.983096825405593,984.5248736595619,985.2359787531104,985.2359787531104,279402.8600000003,969289.2268543763,970689.9338295994,970689.9338295994
Credit,19,525.0561994219656,692,259.55,185.96945866424738,33.2,31698.16,1.25,12.713673243814778,1805.4037290343476,1806.7096270199513,1806.7096270199513,363338.89000000025,3259482.6248111282,3264199.6763665713,3264199.6763665713
Credit,22,434.0100977653635,716,662.9,89.48907602047784,16.95,11956.1,1.06,8.385619186304355,893.5503964098234,894.1750384968816,894.1750384968816,310751.2300000003,798432.3109241526,799548.9994708997,799548.9994708997
Debit,15,406.3629883381925,686,247.38,116.88047525767664,165.0,13031.5,0.79,9.070963915968488,809.7680194794572,810.3588754642957,810.3588754642957,278765.01000000007,655724.2453716825,656681.5070437579,656681.5070437579
Debit,19,485.19492537313465,603,259.55,165.19792198249368,33.2,22206.0,1.25,11.758215092043484,1450.02728373466,1451.2311256055561,1451.2311256055561,292572.5400000002,2102579.123574916,2106071.7799263694,2106071.7799263694
Credit,28,390.31536789297667,598,1131.0,228.37579018754747,91.27,13355.4,1.25,12.593786363420334,673.7462354936921,674.3102759738042,674.3102759738042,233408.59000000005,453933.98984192166,454694.34828386793,454694.34828386793
Credit,20,381.00455445544566,707,215.01,27.597974686211728,80.0,4936.65,0.39,4.400126088888408,499.3312668323505,499.6847757381049,499.6847757381049,269370.2200000001,249331.7140364,249684.8751044402,249684.8751044402
Debit,30,360.99567632850267,414,421.1,33.05782233721101,25.0,5590.67,0.85,4.726171482774676,516.0398226402972,516.6641904701644,516.6641904701644,149452.2100000001,266297.0985506294,266941.88571419026,266941.88571419026
Debit,12,394.7338799414352,683,338.6,59.70315946122164,13.9,8915.52,0.42,6.457654777504722,704.5890842580965,705.1054559538325,705.1054559538325,269603.2400000002,496445.777655663,497173.70401586196,497173.70401586196
Debit,25,354.9956359143326,607,585.0,70.72222675509171,5.98,8322.12,0.79,6.919457511350957,579.9337103902645,580.4120063151861,580.4120063151861,215482.35099999988,336323.10844701924,336878.0970748196,336878.0970748196
Debit,26,413.603529411765,646,326.4,73.87308655468208,987.14,10303.95,0.0,7.830209429269908,877.7736032938993,878.453784413628,878.453784413628,267187.8800000002,770486.4986395558,771681.0513506248,771681.0513506248
Debit,18,629.0646105919011,642,79.2,283.9301486066833,41.66,77183.6,1.65,16.601698934910075,4396.947612409517,4400.376032121374,4400.376032121374,403859.4800000005,1.933314830627375E7,1.936330922406825E7,1.936330922406825E7
Credit,12,428.5392122830445,749,338.6,55.33801073554469,13.9,8915.52,0.85,6.339906956176443,760.50187904503,761.0100661241565,761.0100661241565,320975.87000000034,578363.1080310215,579136.320742293,579136.320742293
Credit,21,407.31292749658013,731,302.95,68.19670412533719,4.25,10584.77,0.4,7.559601887405356,850.0143271486966,850.5963294949742,850.5963294949742,297745.75000000006,722524.3563580514,723514.1157503227,723514.1157503227
Debit,23,338.4705285412263,473,134.55,49.654140632891476,303.96,5513.32,1.0,5.407517302678269,430.3508828698093,430.8065218358329,430.8065218358329,160096.56000000006,185201.88238682432,185594.25925628794,185594.25925628794
Credit,10,527.884096,625,370.8,50.64497303523366,100.0,14415.74,0.95,6.690076183222856,1251.7447656233528,1252.7473647153063,1252.7473647153063,329927.56,1566864.9582654624,1569375.9598011444,1569375.9598011444
Credit,14,445.79170422535253,781,15.0,106.06224280485866,27.5,16774.72,1.25,9.19537786666594,1090.2095115203497,1090.9081399236873,1090.9081399236873,348163.32100000035,1188556.7790094393,1190080.569751759,1190080.569751759
Credit,30,367.8417880794704,453,421.1,31.174171617230968,25.0,5590.67,0.85,4.571776978759089,513.6091279452922,514.17696573944,514.17696573944,166632.3300000001,263794.3363087236,264377.9520970172,264377.9520970172
Debit,2,434.39535286285,751,160.6,177.74368978241975,29.17,18841.48,0.65,10.91732421036773,972.5542205670852,973.2023740682652,973.2023740682652,326230.9100000004,945861.7119428505,947122.8608921076,947122.8608921076
Credit,3,418.30782131661454,638,215.58,184.12226432411475,50.98,15643.77,1.65,12.260303958736769,921.4267756038996,922.149746900379,922.149746900379,266880.3900000001,849027.3027997992,850360.1557084331,850360.1557084331
Debit,24,349.8063619489566,431,165.0,68.47098641167346,13.9,6429.64,0.0,6.922103021873398,514.4951688516052,515.0930716319175,515.0930716319175,150766.54200000028,264705.27877164166,265320.87244320364,265320.87244320364
Credit,16,418.942107969152,778,391.0,238.388957615757,4.95,21880.44,1.06,13.704709689516344,1074.7323103997342,1075.4236789565384,1075.4236789565384,325936.96000000025,1155049.5390171504,1156536.0892604159,1156536.0892604159
Credit,5,379.31410423452775,921,256.9,103.3195115924956,1100.44,10999.52,1.65,8.630114706433877,691.1571405341024,691.5326673971988,691.5326673971988,349348.29000000004,477698.19291127694,478217.4300774848,478217.4300774848
Credit,6,356.4937311703369,863,113.48,47.97497369820317,1.65,7011.38,0.72,5.641398838635145,515.4302688365242,515.7291556513421,515.7291556513421,307654.0900000007,265668.36203289166,265976.5619888463,265976.5619888463
Credit,8,462.8924236037937,949,326.4,348.4872237803401,8.32,38970.0,0.39,17.686037812248635,1907.2823260775485,1908.288011528966,1908.288011528966,439284.9100000002,3637725.8713677838,3641563.1349451756,3641563.1349451756
Credit,26,409.49978231292545,735,326.4,82.23176993305724,987.14,10303.95,0.0,8.204364157323905,828.682444744656,829.2467501861136,829.2467501861136,300982.3400000002,686714.5942279799,687650.1726942306,687650.1726942306
Debit,31,345.5553169014084,284,463.0,21.00210070858153,10.2,4008.62,0.65,4.026158069643506,546.8987556857982,547.8641558293949,547.8641558293949,98137.70999999998,299098.24897067435,300155.13324265555,300155.13324265555
Debit,13,365.1763951473138,577,539.2,371.7357248193532,1.25,22775.93,0.72,17.82158742499844,1041.0036718510905,1041.9069290031084,1041.9069290031084,210706.7800000001,1083688.644807453,1085570.0487046882,1085570.0487046882
Credit,15,461.2113020833333,768,247.38,84.73797706438604,165.0,13031.5,0.79,7.999303283823543,948.5774584850524,949.1956256790334,949.1956256790334,354210.27999999997,899799.1947459612,900972.3358082116,900972.3358082116
Debit,4,378.5080640854474,749,307.3,86.99449127159812,4.15,10992.96,1.25,8.0541811044722,731.2136293620881,731.7022452731882,731.7022452731882,283502.5400000001,534673.3717648772,535388.1757378249,535388.1757378249
Credit,23,368.4796316758747,543,134.55,34.56323400888966,303.96,5513.32,1.0,4.861512673986798,492.74287588423937,493.19722625821197,493.19722625821197,200084.43999999997,242795.54173467093,243243.50398879393,243243.50398879393
Credit,31,380.4442948717948,312,463.0,30.67302782739253,10.2,5913.9,0.65,4.7757934039739816,617.1487429456325,618.1401471878505,618.1401471878505,118698.61999999998,380872.5709193744,382097.24156541744,382097.24156541744
Debit,11,398.2233174603176,630,234.0,113.09459928995075,8000.0,15160.9,0.48,9.671082768069299,1027.4097265933765,1028.226103143795,1028.226103143795,250880.6900000001,1055570.7462986766,1057248.9191862738,1057248.9191862738
Credit,29,420.9178174603174,504,549.26,125.57744565666113,606.0,13464.26,1.25,9.347507645276547,831.4825445807376,832.308657595813,832.308657595813,212142.57999999996,691363.2219424582,692737.7015089443,692737.7015089443
Credit,1,433.79368131868154,910,139.12,113.65723980867365,96.75,16726.84,0.55,8.95786063740542,954.5040659530181,955.0289513740203,955.0289513740203,394752.2500000002,911078.0119208435,912080.2979625607,912080.2979625607
Credit,17,486.8683866279075,688,357.01,136.68397631835285,9500.0,22998.4,0.77,10.68311498583974,1501.8126325953024,1502.9052574270627,1502.9052574270627,334965.45000000036,2255441.1834228327,2258724.2128019053,2258724.2128019053
Debit,14,440.4601963534367,713,15.0,102.29991522410545,27.5,16774.72,1.25,9.104037482341454,1124.974785784933,1125.764518971549,1125.764518971549,314048.12000000034,1265568.2686518559,1267345.752175243,1267345.752175243
Credit,25,373.85703016591236,663,585.0,60.33398304285989,5.98,8322.12,0.79,6.559313736659006,608.462760731157,608.9221513294269,608.9221513294269,247867.2109999999,370226.93119658116,370786.18637965753,370786.18637965753
Debit,8,448.2114908256886,872,326.4,335.55258440306847,8.32,38970.0,0.39,17.5032937366677,1966.7771640319716,1967.905874118585,1967.905874118585,390840.42000000045,3868212.412957645,3872653.529390432,3872653.529390432
Credit,18,608.3685164835172,728,79.2,321.1879362981945,41.66,77183.6,1.65,17.633085993757955,4133.95842231277,4136.800607882149,4136.800607882149,442892.2800000005,1.708961223741069E7,1.7113119269374117E7,1.7113119269374117E7
Debit,22,377.20556074766387,642,662.9,124.07488284779545,16.95,11956.1,1.06,9.342109830075918,717.9618413855605,718.5216557718909,718.5216557718909,242165.9700000002,515469.20568574476,516273.36981317966,516273.36981317966
Debit,29,395.71841758241766,455,549.26,132.4120325459446,606.0,13464.26,1.25,9.73888881228681,840.9737160809692,841.8993891361885,841.8993891361885,180051.88000000003,707236.7911390347,708794.5814278872,708794.5814278872
Debit,7,450.8885322359391,729,569.03,116.21989471373539,14.9,16488.0,0.84,10.003362345552688,1167.0361039612908,1167.83736468319,1167.83736468319,328697.73999999964,1361973.2679491488,1363844.1103501779,1363844.1103501779
Credit,27,374.367646017699,565,490.88,251.95144213121657,25.26,15719.56,1.45,13.751009452336746,789.9113267518818,790.6112926196256,790.6112926196256,211517.7199999999,623959.9041309182,625066.2160176752,625066.2160176752
Credit,7,465.0817023809521,840,569.03,108.58441752690527,14.9,16488.0,0.84,9.575325788455077,1157.4629976332194,1158.1525794624185,1158.1525794624185,390668.6299999998,1339720.590890078,1341317.3973154535,1341317.3973154535
Credit,13,388.2467391304349,644,339.4,375.45464714780604,1.25,22775.93,0.72,17.594023293227195,1009.6794784875095,1010.4643052507745,1010.4643052507745,250030.90000000008,1019452.6492788092,1021038.1121859303,1021038.1121859303
