txn_type,acct_last_updated_ts_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
WIRE,14,561.1560250000001,800,357.0,36.27380180004122,9500.0,13355.4,0.65,5.749519356301186,1323.8323497994186,1324.6605215099485,1324.6605215099485,448924.8200000001,1752532.09037545,1754725.4972470086,1754725.4972470086
WIRE,3,407.2097135740978,803,191.06,245.84679654788624,16.45,21880.44,1.45,13.686923134308232,1039.2994330535826,1039.9471734923159,1039.9471734923159,326989.40000000055,1080143.311545498,1081490.123654657,1081490.123654657
ATM,24,393.3698387096774,124,114.65,30.190323037935805,34.15,5296.96,4.25,4.783674837094085,626.4941747868926,629.0357437411955,629.0357437411955,48777.86,392494.9510419096,395685.96690403897,395685.96690403897
ATM,21,293.27106194690265,113,22.2,13.563589114525811,2.5,2210.64,2.5,2.9733288849241237,302.1282447985738,303.4740342868928,303.4740342868928,33139.63,91281.47630506693,92096.48948636217,92096.48948636217
ATM,30,1652.0441860465114,43,356.35,23.634863025213182,19.41,31698.16,2.93,4.7520683262875005,5185.551043923935,5246.920648054181,5246.920648054181,71037.9,2.6889939629140615E7,2.75301762869773E7,2.75301762869773E7
ACH,21,333.24379496402884,556,259.86,149.75983739556852,436.2,10174.94,1.45,10.54150208297745,597.5346823248858,598.0727595904458,598.0727595904458,185283.55000000002,357047.69658110215,357691.02576413116,357691.02576413116
ACH,22,329.4883724137932,725,95.29,250.4772314112731,4.85,13249.94,0.0,13.1482241059474,627.1788861753156,627.611871305367,627.611871305367,238879.07000000007,393353.35526410944,393896.6610034245,393896.6610034245
WIRE,30,521.469316037736,424,194.85,114.61657781594441,37.3,22104.8,0.84,9.707338421175555,1521.692771482883,1523.4904009005681,1523.4904009005681,221102.99000000005,2315548.890783258,2321023.0016361736,2321023.0016361736
WIRE,11,835.5489443651932,701,330.0,343.5237274408228,168469.6,168469.6,1.25,18.56234441075068,8979.601768225448,8986.013480408494,8986.013480408494,585719.8100000004,8.063324791591758E7,8.074843827008317E7,8.074843827008317E7
ATM,6,341.215438596491,114,136.24,15.255084165119118,10.45,3187.12,4.41,3.5752507251640187,462.8627661726726,464.90632033070307,464.90632033070307,38898.559999999976,214241.9403090182,216137.88668343428,216137.88668343428
