txn_type,txn_timestamp_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
WIRE,3,473.148306217613,3860,151.3,990.3664822039074,1.65,77183.6,0.85,28.054023725308166,2067.7654190290777,2068.033316344321,2068.033316344321,1826352.4619999863,4275653.828132497,4276761.79751009,4276761.79751009
ATM,6,390.16567658730185,504,791.7,65.32553887121655,16.14,8060.3,0.0,6.835183787633116,651.9986702896294,652.64645849739,652.64645849739,196643.50100000013,425102.26605944487,425947.3997891853,425947.3997891853
WIRE,1,340.5837486956521,2300,256.9,113.43542275221319,8000.0,8132.31,0.77,9.106192379453137,528.6287827964135,528.743739584289,528.743739584289,783342.6219999999,279448.39000081766,279569.94214957836,279569.94214957836
WIRE,4,398.1877618577041,4048,139.12,116.61263084194914,14.9,13760.02,0.48,9.1936190207732,794.2272628385083,794.3253822116468,794.3253822116468,1611864.0599999863,630796.945035949,630952.8128256787,630952.8128256787
WIRE,7,7438.466153846155,26,8000.01,1.4526057289636656,9500.0,9500.0,100.0,-1.803582365844598,3174.064327491558,3236.923188655643,3236.923188655643,193400.12000000002,1.0074684355054436E7,1.0477671729256615E7,1.0477671729256615E7
ATM,5,395.8707630522091,747,251.62,67.68725746721798,23.76,11343.2,0.65,7.471987362892589,875.6426390657431,876.2293343671212,876.2293343671212,295715.4600000002,766750.0313500192,767777.8464054482,767777.8464054482
WIRE,5,434.86464937170564,4934,160.6,160.1439749279986,8.32,21880.44,0.4,11.351250954215717,1186.0572188260815,1186.1774293588815,1186.1774293588815,2145622.1799999955,1406731.726329459,1407016.8939204442,1407016.8939204442
ATM,4,436.03745542949764,617,278.73,149.59383759735346,6.24,15643.77,1.65,10.10802899039468,881.7508697703965,882.4662864152863,882.4662864152863,269035.11000000004,777484.5963408508,778746.746659586,778746.746659586
WIRE,6,608.0752668621695,3410,89.14,777.6701392503052,54.75,168469.6,0.39,27.497516156117047,5879.278206798068,5880.140460701186,5880.140460701186,2073536.659999998,3.4565912232930705E7,3.457605183757516E7,3.457605183757516E7
ACH,1,358.63918414918413,1716,535.75,241.41537489696375,8000.0,13464.26,1.25,13.424239041506462,635.3303495800193,635.5155500939603,635.5155500939603,615424.84,403644.6530974695,403880.01441122894,403880.01441122894
ACH,5,384.3027210884331,3528,22.2,163.38447270944408,25.68,16488.0,0.72,10.418647055178333,787.5918444282821,787.7034883220215,787.7034883220215,1355819.9999999919,620300.9134099433,620476.785514681,620476.785514681
ATM,1,345.2109226190476,336,431.45,24.311758662880134,1.25,3590.59,1.25,3.866702379104134,361.8272858165222,362.36692412655077,362.36692412655077,115990.87,130918.98476135125,131309.7877009374,131309.7877009374
WIRE,2,416.64826484018107,3504,922.4,266.6433126603611,1100.44,22998.4,0.39,12.704630988268697,881.0733229971374,881.1990738467034,881.1990738467034,1459935.5199999944,776290.2004972181,776511.8077482878,776511.8077482878
ACH,6,432.242816041848,2294,215.58,495.254447472079,7.5,38970.0,0.5,19.795880102024494,1416.3215227651447,1416.6303250194987,1416.6303250194987,991565.0199999993,2005966.655847778,2006841.4777648507,2006841.4777648507
ACH,3,450.78307306590193,2792,569.03,1008.117930887216,381.95,77183.6,0.0,29.874047373276216,2228.080478209025,2228.4795969723173,2228.4795969723173,1258586.3399999982,4964342.617376157,4966121.314121902,4966121.314121902
ATM,3,519.3895406360424,566,172.65,236.9498560524808,102.45,31698.16,1.06,13.674020003008323,1638.8231589885613,1640.2728038177722,1640.2728038177722,293974.48,2685741.3464372475,2690494.870944216,2690494.870944216
ACH,4,388.1496119809398,2938,204.0,395.7243463321347,3.18,22775.93,1.0,15.867764157991942,814.1599777609212,814.2985699787539,814.2985699787539,1140383.5600000012,662856.4693876636,663082.1610694436,663082.1610694436
ATM,2,421.08110486891366,534,164.2,57.92918337474675,88.13,8935.98,0.42,6.643462899812129,770.243996989164,770.9662137413495,770.9662137413495,224857.30999999988,593275.8148978432,594388.9027306722,594388.9027306722
ACH,2,411.0400660685146,2452,113.48,259.75834618166766,14.9,21535.9,0.95,13.392799257123395,916.3346395814306,916.5215512895616,916.5215512895616,1007870.2419999978,839669.1716968302,840011.7539782244,840011.7539782244
