type,txn_timestamp_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
CHK,10,614.6696240601506,399,370.8,37.55020997793155,100.0,14415.74,1.45,5.900910762498335,1482.6402422715757,1484.5016871255152,1484.5016871255152,245253.18000000008,2198222.0880031167,2203745.2590785013,2203745.2590785013
MM,11,337.08368663594433,434,234.0,252.8305594744296,9.9,15160.9,0.48,14.398664534298714,813.4031333788654,814.3418562918029,814.3418562918029,146294.31999999983,661624.6573905563,663152.6589087793,663152.6589087793
CHK,19,595.7237610619472,452,315.56,126.49193410427927,17.85,31698.16,2.1,10.618320377811898,2199.7266092187174,2202.163980170537,2202.163980170537,269267.14000000013,4838797.155304876,4849526.195560541,4849526.195560541
CHK,25,352.96951585623657,473,585.0,32.551788710047354,5.98,4992.0,0.79,5.145626259236429,549.3076173523264,549.8892031344451,549.8892031344451,166954.5809999999,301738.8584812898,302378.135723835,302378.135723835
MM,7,379.63874031007737,516,569.03,50.925574776070526,14.9,7059.54,0.84,6.077333360746989,581.9813030656455,582.5460594363485,582.5460594363485,195893.5899999999,338702.2371179867,339359.91136481776,339359.91136481776
SAV,14,517.9074901960789,510,650.1,62.90601211816086,27.5,13249.94,1.45,7.24341677453073,1190.523806145016,1191.692705598056,1191.692705598056,264132.82000000024,1417346.9329980155,1420131.5045756148,1420131.5045756148
MM,22,324.6752542372885,472,662.9,12.45961899069052,16.95,2949.28,1.06,2.9292891308353415,376.61303086498253,377.01262040004957,377.01262040004957,153246.72000000018,141837.37501730828,142138.5159409119,142138.5159409119
SAV,12,441.83695906432763,513,664.01,50.231263991427035,13.9,8915.52,0.85,6.258031528847433,870.7848507712245,871.6348117844785,871.6348117844785,226662.36000000007,758266.2563326636,759747.2451145633,759747.2451145633
SAV,2,419.5409600000004,500,22.2,35.09324731707705,172.89,7786.0,1.25,5.347643600577468,754.0297714572534,754.7849341617472,754.7849341617472,209770.48000000019,568560.8962438779,569700.296837553,569700.296837553
SAV,5,410.66439807383665,623,535.75,71.28383183498802,1100.44,10999.52,0.42,7.591186046385056,855.8489911404903,856.5366963467851,856.5366963467851,255843.92000000025,732477.4956361951,733655.1121886648,733655.1121886648
MM,15,413.41922431865805,477,123.1,120.09809938342855,165.0,13031.5,0.79,9.639902559564629,875.6167774152187,876.5360603743477,876.5360603743477,197200.96999999988,766704.7408910127,768315.4651365821,768315.4651365821
CHK,11,501.16854545454606,440,12797.52,63.61799038985208,8000.0,15160.9,0.48,7.534517335553549,1373.5594377299349,1375.122966338267,1375.122966338267,220514.16000000027,1886665.5289769748,1890963.1725509542,1890963.1725509542
MM,19,375.5225858123574,437,259.55,28.583239441280217,33.2,5639.52,1.25,4.371119210296067,529.8502700221192,530.4575484678816,530.4575484678816,164103.3700000002,280741.30864251254,281385.210726555,281385.210726555
CHK,27,425.8019364161848,346,529.01,136.26166164291195,51.0,15719.56,1.45,11.248937745767932,1227.8651856318402,1229.6434127556417,1229.6434127556417,147327.46999999994,1507652.9140867135,1512022.9225333417,1512022.9225333417
SAV,27,304.92218579234935,366,490.88,23.864528378091258,25.26,3337.44,1.01,4.102131723797769,356.6571879838924,357.145425293899,357.145425293899,111601.51999999987,127204.34974057759,127552.85480835999,127552.85480835999
SAV,19,548.1303448275863,406,259.55,122.37509454733623,65.2,22206.0,1.45,10.332025609494913,1720.8588357131737,1722.9820429805595,1722.9820429805595,222540.92000000007,2961355.1324520996,2968667.120433463,2968667.120433463
