type,txn_timestamp_quarter,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
SAV,2,436.2566192732998,2532,474.66,1009.7470504153955,57.51,77183.6,0.42,30.39959941164634,2281.798123920243,2282.248849479982,2282.248849479982,1104601.7599999951,5206602.678325942,5208659.8109527,5208659.8109527
MM,3,393.7678072531872,2978,142.5,530.3236752604691,23.2,38970.0,0.65,21.21736324162164,1446.1241845741104,1446.3670469798153,1446.3670469798153,1172640.5299999914,2091275.1572101354,2091977.634589111,2091977.634589111
CHK,2,415.58666539488644,2621,368.8,125.64289310995292,57.51,16726.84,0.55,10.189289505664902,1036.6566590952343,1036.854475461713,1036.854475461713,1089252.6499999973,1074657.028846493,1075067.203284984,1075067.203284984
SAV,4,443.3865431378562,3257,318.91,166.75203138605855,10.95,21880.44,0.0,10.605768657185612,961.3455278373461,961.4931432743524,961.4931432743524,1444109.9709999978,924185.2238928656,924469.0645635944,924469.0645635944
CHK,4,445.3422064950971,3264,115.75,294.6585138971137,7.5,31698.16,0.0,14.665084678904085,1154.1042545656212,1154.281088130524,1154.281088130524,1453596.961999997,1331956.630406468,1332364.8304157865,1332364.8304157865
MM,1,516.2926041448601,4777,139.12,1144.19154297981,54.75,168469.6,0.38,33.55029226121979,4909.179625697365,4909.693541388456,4909.693541388456,2466329.7699999968,2.4100044597362123E7,2.410509067035152E7,2.410509067035152E7
SAV,1,447.9146803328575,4927,204.0,143.23761220687297,9500.0,22206.0,0.38,10.02995478330363,1059.0285166674473,1059.1360049718771,1059.1360049718771,2206875.6299999887,1121541.3991148537,1121769.077027788,1121769.077027788
SAV,3,393.81058668424384,3034,142.5,491.70873678271096,18.28,38970.0,0.65,18.92490029427091,1176.6652594874326,1176.8592206293563,1176.8592206293563,1194821.3199999959,1384541.132884627,1384997.6251803357,1384997.6251803357
CHK,3,387.63537820304794,3083,713.8,279.99664415896876,37.01,22998.4,0.83,14.720082536205389,999.1593255524849,999.3214083381325,999.3214083381325,1195079.8709999968,998319.3578384964,998643.2771629087,998643.2771629087
MM,4,422.4842732293696,3078,318.91,185.52385863566732,10.95,21880.44,0.39,11.347733242436712,935.7844780346854,935.9365268581821,935.9365268581821,1300406.5929999996,875692.5893306488,875977.1823073567,875977.1823073567
MM,2,436.7193860353115,2492,307.3,976.3210351099713,22.5,77183.6,0.42,29.88705152344913,2310.9146765241285,2311.3784827860036,2311.3784827860036,1088304.7099999962,5340326.642174617,5342470.490686129,5342470.490686129
CHK,1,423.44471459608826,5063,139.12,124.9605864901392,9500.0,20277.92,0.39,9.302118748970436,873.797758060332,873.8840633356731,873.8840633356731,2143900.5899999947,763522.5219912624,763673.3561520667,763673.3561520667
