type,txn_timestamp_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
SAV,2,438.42325956661955,2169,113.48,186.9866745435169,1100.44,22998.4,0.42,10.54970473782156,929.3906969772079,929.605015139166,929.605015139166,950940.0499999978,863767.0676277803,864165.484171889,864165.484171889
SAV,5,441.840330250989,3028,22.2,147.8562219035905,36.15,21880.44,0.4,10.672662728092115,1142.1625731050751,1142.351219992662,1142.351219992662,1337892.5199999947,1304535.343402006,1304966.309818723,1304966.309818723
MM,3,457.70717580993255,2315,569.03,916.6076736098272,1.65,77183.6,0.38,28.92241389435144,2389.6158239401116,2390.132106937157,2390.132106937157,1059592.111999994,5710263.786024979,5712731.488611853,5712731.488611853
SAV,7,7438.466153846153,13,8000.01,1.4526057289636674,9500.0,9500.0,100.0,-1.8035823658445975,3174.0643274915583,3303.6708953287566,3303.6708953287566,96700.06,1.0074684355054438E7,1.0914241384642309E7,1.0914241384642309E7
SAV,4,406.07171685569045,2557,204.0,258.13318511160514,14.9,22775.93,0.85,12.912718461517217,854.7712297295658,854.9384221477379,854.9384221477379,1038325.3800000005,730633.8551733942,730919.7056644637,730919.7056644637
CHK,2,429.2270986099038,2302,922.4,254.0544708807215,14.9,22998.4,0.39,13.18173798871835,965.1233321149156,965.3330275724938,965.3330275724938,988080.7809999986,931463.0461925977,931867.8541222772,931867.8541222772
CHK,4,387.7221867794009,2602,139.12,269.91160021105964,3.18,22775.93,0.48,13.160406562652254,822.4546822210945,822.6127705805019,822.6127705805019,1008853.130000001,676431.7043074014,676691.7703221294,676691.7703221294
MM,5,383.596867825514,3049,160.6,212.13361627669966,8.32,21880.44,0.65,12.321789966819859,912.7019550960429,912.8516642670811,912.8516642670811,1169586.8499999922,833024.8588361391,833298.1609551798,833298.1609551798
MM,1,336.82795297372127,1446,256.9,253.193502840169,4.15,13464.26,0.77,13.400273558218675,568.1364536451963,568.3330066535485,568.3330066535485,487053.22000000096,322779.0299605403,323002.4064518625,323002.4064518625
CHK,5,411.7746711366524,3132,251.62,185.52244058323362,38.65,20277.92,0.4,11.85487016585498,1012.7376036786496,1012.8993182670941,1012.8993182670941,1289678.2699999954,1025637.4539047736,1025965.028945944,1025965.028945944
CHK,6,389.129211519846,2066,215.58,87.36058510920952,7.5,10389.06,0.0,7.538302072127291,620.133594885687,620.2837301245132,620.2837301245132,803940.9510000019,384565.67550584534,384751.9058571799,384751.9058571799
SAV,1,344.56489766483526,1456,535.75,213.5101893430167,8000.0,13464.26,0.77,12.281708807285879,596.2322521868581,596.4371078026561,596.4371078026561,501686.4910000001,355492.8985478132,355737.22356399725,355737.22356399725
MM,6,771.7850682261189,2052,215.58,460.4323819616749,54.75,168469.6,0.39,21.15268284236064,7598.461357997887,7600.313511921312,7600.313511921312,1583702.959999996,5.7736615008987084E7,5.776476547949366E7,5.776476547949366E7
SAV,3,472.2047230201055,2437,151.3,905.2045772687892,1.65,77183.6,0.0,28.40824799494661,2366.546768770616,2367.032463340896,2367.032463340896,1150762.9099999971,5600543.608778643,5602842.682509669,5602842.682509669
CHK,3,473.86790754257777,2466,39.6,172.64096235361245,664.86,31698.16,0.85,11.555157813186325,1426.6129923603296,1426.9023368501441,1426.9023368501441,1168558.2599999967,2035224.6299712937,2036050.278908402,2036050.278908402
CHK,7,7438.466153846153,13,8000.01,1.4526057289636674,9500.0,9500.0,100.0,-1.8035823658445975,3174.0643274915583,3303.6708953287566,3303.6708953287566,96700.06,1.0074684355054438E7,1.0914241384642309E7,1.0914241384642309E7
MM,4,398.5696481178396,2444,139.12,107.39179181744196,14.9,13760.02,0.48,8.35721378905717,744.0643324658364,744.2166018488825,744.2166018488825,974104.2200000001,553631.7308478307,553858.3504674982,553858.3504674982
MM,2,373.27500792471477,2019,113.48,370.03292173087635,1100.44,21535.9,0.65,14.822939034921578,728.9923889934413,729.1729891173549,729.1729891173549,753642.2409999991,531429.9032103647,531693.2480583381,531693.2480583381
SAV,6,418.23027272727205,2090,397.5,516.4937250329507,7.5,38970.0,0.39,19.718867058522328,1252.9675820608752,1253.2674426807148,1253.2674426807148,874101.2699999986,1569927.7616954762,1570679.2828834588,1570679.2828834588
CHK,1,362.7714627586203,1450,256.9,101.51972045472706,8000.0,8000.0,1.25,8.398020414937513,521.8319648828165,522.0120000666732,522.0120000666732,526018.6209999995,272308.59957346105,272496.52821360837,272496.52821360837
