txn_id,lastReviewTime_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
50038,6,3193.92,1,3193.92,NaN,3193.92,3193.92,3193.92,NaN,0.0,NaN,NaN,3193.92,0.0,NaN,NaN
50706,11,156.74,1,156.74,NaN,156.74,156.74,156.74,NaN,0.0,NaN,NaN,156.74,0.0,NaN,NaN
50773,11,412.22,1,412.22,NaN,412.22,412.22,412.22,NaN,0.0,NaN,NaN,412.22,0.0,NaN,NaN
50815,18,673.37,1,673.37,NaN,673.37,673.37,673.37,NaN,0.0,NaN,NaN,673.37,0.0,NaN,NaN
50846,22,358.82,1,358.82,NaN,358.82,358.82,358.82,NaN,0.0,NaN,NaN,358.82,0.0,NaN,NaN
50858,18,122.7,1,122.7,NaN,122.7,122.7,122.7,NaN,0.0,NaN,NaN,122.7,0.0,NaN,NaN
50917,20,82.12,1,82.12,NaN,82.12,82.12,82.12,NaN,0.0,NaN,NaN,82.12,0.0,NaN,NaN
50958,25,111.25,1,111.25,NaN,111.25,111.25,111.25,NaN,0.0,NaN,NaN,111.25,0.0,NaN,NaN
51339,30,224.38,1,224.38,NaN,224.38,224.38,224.38,NaN,0.0,NaN,NaN,224.38,0.0,NaN,NaN
51533,21,228.12,1,228.12,NaN,228.12,228.12,228.12,NaN,0.0,NaN,NaN,228.12,0.0,NaN,NaN
51661,23,1050.35,1,1050.35,NaN,1050.35,1050.35,1050.35,NaN,0.0,NaN,NaN,1050.35,0.0,NaN,NaN
51972,19,354.48,1,354.48,NaN,354.48,354.48,354.48,NaN,0.0,NaN,NaN,354.48,0.0,NaN,NaN
52275,1,300.04,1,300.04,NaN,300.04,300.04,300.04,NaN,0.0,NaN,NaN,300.04,0.0,NaN,NaN
