txn_id,lastReviewTime_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
50021,6,328.8,1,328.8,NaN,328.8,328.8,328.8,NaN,0.0,NaN,NaN,328.8,0.0,NaN,NaN
50590,3,135.33,1,135.33,NaN,135.33,135.33,135.33,NaN,0.0,NaN,NaN,135.33,0.0,NaN,NaN
50660,2,722.36,1,722.36,NaN,722.36,722.36,722.36,NaN,0.0,NaN,NaN,722.36,0.0,NaN,NaN
50686,7,283.15,1,283.15,NaN,283.15,283.15,283.15,NaN,0.0,NaN,NaN,283.15,0.0,NaN,NaN
50737,5,167.2,1,167.2,NaN,167.2,167.2,167.2,NaN,0.0,NaN,NaN,167.2,0.0,NaN,NaN
51045,2,289.35,1,289.35,NaN,289.35,289.35,289.35,NaN,0.0,NaN,NaN,289.35,0.0,NaN,NaN
51117,5,157.6,1,157.6,NaN,157.6,157.6,157.6,NaN,0.0,NaN,NaN,157.6,0.0,NaN,NaN
51124,5,203.64,1,203.64,NaN,203.64,203.64,203.64,NaN,0.0,NaN,NaN,203.64,0.0,NaN,NaN
51184,3,251.09,1,251.09,NaN,251.09,251.09,251.09,NaN,0.0,NaN,NaN,251.09,0.0,NaN,NaN
51516,5,523.86,1,523.86,NaN,523.86,523.86,523.86,NaN,0.0,NaN,NaN,523.86,0.0,NaN,NaN
51701,1,310.8,1,310.8,NaN,310.8,310.8,310.8,NaN,0.0,NaN,NaN,310.8,0.0,NaN,NaN
52269,1,124.51,1,124.51,NaN,124.51,124.51,124.51,NaN,0.0,NaN,NaN,124.51,0.0,NaN,NaN
52308,5,792.99,1,792.99,NaN,792.99,792.99,792.99,NaN,0.0,NaN,NaN,792.99,0.0,NaN,NaN
52397,7,193.64,1,193.64,NaN,193.64,193.64,193.64,NaN,0.0,NaN,NaN,193.64,0.0,NaN,NaN
52607,3,474.66,1,474.66,NaN,474.66,474.66,474.66,NaN,0.0,NaN,NaN,474.66,0.0,NaN,NaN
52629,6,109.3,1,109.3,NaN,109.3,109.3,109.3,NaN,0.0,NaN,NaN,109.3,0.0,NaN,NaN
52927,4,559.85,1,559.85,NaN,559.85,559.85,559.85,NaN,0.0,NaN,NaN,559.85,0.0,NaN,NaN
