txn_id,nextReviewTime_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
50097,8,17.4,1,17.4,NaN,17.4,17.4,17.4,NaN,0.0,NaN,NaN,17.4,0.0,NaN,NaN
50493,26,128.03,1,128.03,NaN,128.03,128.03,128.03,NaN,0.0,NaN,NaN,128.03,0.0,NaN,NaN
50582,4,246.3,1,246.3,NaN,246.3,246.3,246.3,NaN,0.0,NaN,NaN,246.3,0.0,NaN,NaN
51189,11,268.86,1,268.86,NaN,268.86,268.86,268.86,NaN,0.0,NaN,NaN,268.86,0.0,NaN,NaN
51314,11,57.6,1,57.6,NaN,57.6,57.6,57.6,NaN,0.0,NaN,NaN,57.6,0.0,NaN,NaN
51369,17,111.75,1,111.75,NaN,111.75,111.75,111.75,NaN,0.0,NaN,NaN,111.75,0.0,NaN,NaN
51879,21,1188.0,1,1188.0,NaN,1188.0,1188.0,1188.0,NaN,0.0,NaN,NaN,1188.0,0.0,NaN,NaN
51937,11,247.38,1,247.38,NaN,247.38,247.38,247.38,NaN,0.0,NaN,NaN,247.38,0.0,NaN,NaN
52122,3,164.6,1,164.6,NaN,164.6,164.6,164.6,NaN,0.0,NaN,NaN,164.6,0.0,NaN,NaN
52285,22,25.95,1,25.95,NaN,25.95,25.95,25.95,NaN,0.0,NaN,NaN,25.95,0.0,NaN,NaN
52397,7,193.64,1,193.64,NaN,193.64,193.64,193.64,NaN,0.0,NaN,NaN,193.64,0.0,NaN,NaN
52574,25,344.88,1,344.88,NaN,344.88,344.88,344.88,NaN,0.0,NaN,NaN,344.88,0.0,NaN,NaN
53072,6,404.12,1,404.12,NaN,404.12,404.12,404.12,NaN,0.0,NaN,NaN,404.12,0.0,NaN,NaN
