txn_id,nextReviewTime_quarter,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
50152,3,540.38,1,540.38,NaN,540.38,540.38,540.38,NaN,0.0,NaN,NaN,540.38,0.0,NaN,NaN
50545,3,1705.65,1,1705.65,NaN,1705.65,1705.65,1705.65,NaN,0.0,NaN,NaN,1705.65,0.0,NaN,NaN
50660,2,722.36,1,722.36,NaN,722.36,722.36,722.36,NaN,0.0,NaN,NaN,722.36,0.0,NaN,NaN
50738,2,320.08,1,320.08,NaN,320.08,320.08,320.08,NaN,0.0,NaN,NaN,320.08,0.0,NaN,NaN
51004,2,322.8,1,322.8,NaN,322.8,322.8,322.8,NaN,0.0,NaN,NaN,322.8,0.0,NaN,NaN
51045,2,289.35,1,289.35,NaN,289.35,289.35,289.35,NaN,0.0,NaN,NaN,289.35,0.0,NaN,NaN
51134,1,215.88,1,215.88,NaN,215.88,215.88,215.88,NaN,0.0,NaN,NaN,215.88,0.0,NaN,NaN
51184,3,251.09,1,251.09,NaN,251.09,251.09,251.09,NaN,0.0,NaN,NaN,251.09,0.0,NaN,NaN
51814,3,307.39,1,307.39,NaN,307.39,307.39,307.39,NaN,0.0,NaN,NaN,307.39,0.0,NaN,NaN
52162,1,104.48,1,104.48,NaN,104.48,104.48,104.48,NaN,0.0,NaN,NaN,104.48,0.0,NaN,NaN
52172,1,377.52,1,377.52,NaN,377.52,377.52,377.52,NaN,0.0,NaN,NaN,377.52,0.0,NaN,NaN
52275,1,300.04,1,300.04,NaN,300.04,300.04,300.04,NaN,0.0,NaN,NaN,300.04,0.0,NaN,NaN
