txn_id,nextReviewTime_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
50031,2,430.6,1,430.6,NaN,430.6,430.6,430.6,NaN,0.0,NaN,NaN,430.6,0.0,NaN,NaN
50152,3,540.38,1,540.38,NaN,540.38,540.38,540.38,NaN,0.0,NaN,NaN,540.38,0.0,NaN,NaN
50212,3,311.81,1,311.81,NaN,311.81,311.81,311.81,NaN,0.0,NaN,NaN,311.81,0.0,NaN,NaN
50545,3,1705.65,1,1705.65,NaN,1705.65,1705.65,1705.65,NaN,0.0,NaN,NaN,1705.65,0.0,NaN,NaN
50704,1,85.5,1,85.5,NaN,85.5,85.5,85.5,NaN,0.0,NaN,NaN,85.5,0.0,NaN,NaN
50771,5,364.92,1,364.92,NaN,364.92,364.92,364.92,NaN,0.0,NaN,NaN,364.92,0.0,NaN,NaN
50998,6,444.42,1,444.42,NaN,444.42,444.42,444.42,NaN,0.0,NaN,NaN,444.42,0.0,NaN,NaN
51134,1,215.88,1,215.88,NaN,215.88,215.88,215.88,NaN,0.0,NaN,NaN,215.88,0.0,NaN,NaN
51216,5,590.0,1,590.0,NaN,590.0,590.0,590.0,NaN,0.0,NaN,NaN,590.0,0.0,NaN,NaN
51581,2,966.62,1,966.62,NaN,966.62,966.62,966.62,NaN,0.0,NaN,NaN,966.62,0.0,NaN,NaN
51701,1,310.8,1,310.8,NaN,310.8,310.8,310.8,NaN,0.0,NaN,NaN,310.8,0.0,NaN,NaN
52162,1,104.48,1,104.48,NaN,104.48,104.48,104.48,NaN,0.0,NaN,NaN,104.48,0.0,NaN,NaN
52172,1,377.52,1,377.52,NaN,377.52,377.52,377.52,NaN,0.0,NaN,NaN,377.52,0.0,NaN,NaN
52222,6,356.35,1,356.35,NaN,356.35,356.35,356.35,NaN,0.0,NaN,NaN,356.35,0.0,NaN,NaN
52313,2,919.04,1,919.04,NaN,919.04,919.04,919.04,NaN,0.0,NaN,NaN,919.04,0.0,NaN,NaN
52348,5,668.88,1,668.88,NaN,668.88,668.88,668.88,NaN,0.0,NaN,NaN,668.88,0.0,NaN,NaN
52607,3,474.66,1,474.66,NaN,474.66,474.66,474.66,NaN,0.0,NaN,NaN,474.66,0.0,NaN,NaN
52721,1,1910.4,1,1910.4,NaN,1910.4,1910.4,1910.4,NaN,0.0,NaN,NaN,1910.4,0.0,NaN,NaN
52909,6,688.45,1,688.45,NaN,688.45,688.45,688.45,NaN,0.0,NaN,NaN,688.45,0.0,NaN,NaN
53057,5,167.6,1,167.6,NaN,167.6,167.6,167.6,NaN,0.0,NaN,NaN,167.6,0.0,NaN,NaN
53063,2,827.18,1,827.18,NaN,827.18,827.18,827.18,NaN,0.0,NaN,NaN,827.18,0.0,NaN,NaN
53253,2,1289.5,1,1289.5,NaN,1289.5,1289.5,1289.5,NaN,0.0,NaN,NaN,1289.5,0.0,NaN,NaN
53331,5,14.95,1,14.95,NaN,14.95,14.95,14.95,NaN,0.0,NaN,NaN,14.95,0.0,NaN,NaN
53434,4,258.25,1,258.25,NaN,258.25,258.25,258.25,NaN,0.0,NaN,NaN,258.25,0.0,NaN,NaN
53704,5,120.6,1,120.6,NaN,120.6,120.6,120.6,NaN,0.0,NaN,NaN,120.6,0.0,NaN,NaN
53735,6,19.5,1,19.5,NaN,19.5,19.5,19.5,NaN,0.0,NaN,NaN,19.5,0.0,NaN,NaN
53886,3,282.6,1,282.6,NaN,282.6,282.6,282.6,NaN,0.0,NaN,NaN,282.6,0.0,NaN,NaN
54291,2,182.8,1,182.8,NaN,182.8,182.8,182.8,NaN,0.0,NaN,NaN,182.8,0.0,NaN,NaN
54360,6,320.0,1,320.0,NaN,320.0,320.0,320.0,NaN,0.0,NaN,NaN,320.0,0.0,NaN,NaN
54696,2,213.9,1,213.9,NaN,213.9,213.9,213.9,NaN,0.0,NaN,NaN,213.9,0.0,NaN,NaN
54721,4,164.1,1,164.1,NaN,164.1,164.1,164.1,NaN,0.0,NaN,NaN,164.1,0.0,NaN,NaN
54791,5,331.42,1,331.42,NaN,331.42,331.42,331.42,NaN,0.0,NaN,NaN,331.42,0.0,NaN,NaN
54899,7,67.95,1,67.95,NaN,67.95,67.95,67.95,NaN,0.0,NaN,NaN,67.95,0.0,NaN,NaN
55000,4,29.7,1,29.7,NaN,29.7,29.7,29.7,NaN,0.0,NaN,NaN,29.7,0.0,NaN,NaN
55410,1,285.24,1,285.24,NaN,285.24,285.24,285.24,NaN,0.0,NaN,NaN,285.24,0.0,NaN,NaN
55750,3,108.15,1,108.15,NaN,108.15,108.15,108.15,NaN,0.0,NaN,NaN,108.15,0.0,NaN,NaN
55998,3,363.65,1,363.65,NaN,363.65,363.65,363.65,NaN,0.0,NaN,NaN,363.65,0.0,NaN,NaN
56053,3,169.94,1,169.94,NaN,169.94,169.94,169.94,NaN,0.0,NaN,NaN,169.94,0.0,NaN,NaN
56145,3,375.17,1,375.17,NaN,375.17,375.17,375.17,NaN,0.0,NaN,NaN,375.17,0.0,NaN,NaN
56151,3,321.23,1,321.23,NaN,321.23,321.23,321.23,NaN,0.0,NaN,NaN,321.23,0.0,NaN,NaN
56201,6,441.92,1,441.92,NaN,441.92,441.92,441.92,NaN,0.0,NaN,NaN,441.92,0.0,NaN,NaN
56248,4,200.72,1,200.72,NaN,200.72,200.72,200.72,NaN,0.0,NaN,NaN,200.72,0.0,NaN,NaN
56320,7,323.16,1,323.16,NaN,323.16,323.16,323.16,NaN,0.0,NaN,NaN,323.16,0.0,NaN,NaN
56527,2,288.47,1,288.47,NaN,288.47,288.47,288.47,NaN,0.0,NaN,NaN,288.47,0.0,NaN,NaN
57293,5,78.04,1,78.04,NaN,78.04,78.04,78.04,NaN,0.0,NaN,NaN,78.04,0.0,NaN,NaN
57395,7,702.8,1,702.8,NaN,702.8,702.8,702.8,NaN,0.0,NaN,NaN,702.8,0.0,NaN,NaN
57428,1,138.88,1,138.88,NaN,138.88,138.88,138.88,NaN,0.0,NaN,NaN,138.88,0.0,NaN,NaN
58442,7,69.4,1,69.4,NaN,69.4,69.4,69.4,NaN,0.0,NaN,NaN,69.4,0.0,NaN,NaN
58500,1,152.64,1,152.64,NaN,152.64,152.64,152.64,NaN,0.0,NaN,NaN,152.64,0.0,NaN,NaN
58547,5,1622.48,1,1622.48,NaN,1622.48,1622.48,1622.48,NaN,0.0,NaN,NaN,1622.48,0.0,NaN,NaN
59204,5,366.2,1,366.2,NaN,366.2,366.2,366.2,NaN,0.0,NaN,NaN,366.2,0.0,NaN,NaN
59281,3,373.27,1,373.27,NaN,373.27,373.27,373.27,NaN,0.0,NaN,NaN,373.27,0.0,NaN,NaN
59389,7,239.49,1,239.49,NaN,239.49,239.49,239.49,NaN,0.0,NaN,NaN,239.49,0.0,NaN,NaN
59795,5,42.9,1,42.9,NaN,42.9,42.9,42.9,NaN,0.0,NaN,NaN,42.9,0.0,NaN,NaN
59873,6,925.88,1,925.88,NaN,925.88,925.88,925.88,NaN,0.0,NaN,NaN,925.88,0.0,NaN,NaN
60251,7,300.09,1,300.09,NaN,300.09,300.09,300.09,NaN,0.0,NaN,NaN,300.09,0.0,NaN,NaN
60258,2,314.51,1,314.51,NaN,314.51,314.51,314.51,NaN,0.0,NaN,NaN,314.51,0.0,NaN,NaN
60376,5,329.24,1,329.24,NaN,329.24,329.24,329.24,NaN,0.0,NaN,NaN,329.24,0.0,NaN,NaN
60411,7,162.02,1,162.02,NaN,162.02,162.02,162.02,NaN,0.0,NaN,NaN,162.02,0.0,NaN,NaN
60419,4,121.11,1,121.11,NaN,121.11,121.11,121.11,NaN,0.0,NaN,NaN,121.11,0.0,NaN,NaN
60423,5,526.5,1,526.5,NaN,526.5,526.5,526.5,NaN,0.0,NaN,NaN,526.5,0.0,NaN,NaN
60870,7,2.1,1,2.1,NaN,2.1,2.1,2.1,NaN,0.0,NaN,NaN,2.1,0.0,NaN,NaN
61171,7,466.71,1,466.71,NaN,466.71,466.71,466.71,NaN,0.0,NaN,NaN,466.71,0.0,NaN,NaN
61275,3,356.4,1,356.4,NaN,356.4,356.4,356.4,NaN,0.0,NaN,NaN,356.4,0.0,NaN,NaN
61608,3,360.18,1,360.18,NaN,360.18,360.18,360.18,NaN,0.0,NaN,NaN,360.18,0.0,NaN,NaN
61661,2,314.26,1,314.26,NaN,314.26,314.26,314.26,NaN,0.0,NaN,NaN,314.26,0.0,NaN,NaN
61669,1,791.33,1,791.33,NaN,791.33,791.33,791.33,NaN,0.0,NaN,NaN,791.33,0.0,NaN,NaN
61913,6,967.2,1,967.2,NaN,967.2,967.2,967.2,NaN,0.0,NaN,NaN,967.2,0.0,NaN,NaN
62952,5,624.92,1,624.92,NaN,624.92,624.92,624.92,NaN,0.0,NaN,NaN,624.92,0.0,NaN,NaN
62967,4,492.26,1,492.26,NaN,492.26,492.26,492.26,NaN,0.0,NaN,NaN,492.26,0.0,NaN,NaN
63027,7,306.34,1,306.34,NaN,306.34,306.34,306.34,NaN,0.0,NaN,NaN,306.34,0.0,NaN,NaN
63354,5,188.89,1,188.89,NaN,188.89,188.89,188.89,NaN,0.0,NaN,NaN,188.89,0.0,NaN,NaN
63375,5,57.9,1,57.9,NaN,57.9,57.9,57.9,NaN,0.0,NaN,NaN,57.9,0.0,NaN,NaN
63439,2,67.88,1,67.88,NaN,67.88,67.88,67.88,NaN,0.0,NaN,NaN,67.88,0.0,NaN,NaN
63497,5,670.61,1,670.61,NaN,670.61,670.61,670.61,NaN,0.0,NaN,NaN,670.61,0.0,NaN,NaN
63712,7,549.43,1,549.43,NaN,549.43,549.43,549.43,NaN,0.0,NaN,NaN,549.43,0.0,NaN,NaN
64072,7,260.57,1,260.57,NaN,260.57,260.57,260.57,NaN,0.0,NaN,NaN,260.57,0.0,NaN,NaN
64146,7,143.5,1,143.5,NaN,143.5,143.5,143.5,NaN,0.0,NaN,NaN,143.5,0.0,NaN,NaN
64605,5,72.0,1,72.0,NaN,72.0,72.0,72.0,NaN,0.0,NaN,NaN,72.0,0.0,NaN,NaN
64684,5,213.8,1,213.8,NaN,213.8,213.8,213.8,NaN,0.0,NaN,NaN,213.8,0.0,NaN,NaN
64685,2,213.8,1,213.8,NaN,213.8,213.8,213.8,NaN,0.0,NaN,NaN,213.8,0.0,NaN,NaN
64793,4,53.15,1,53.15,NaN,53.15,53.15,53.15,NaN,0.0,NaN,NaN,53.15,0.0,NaN,NaN
65061,6,39.6,1,39.6,NaN,39.6,39.6,39.6,NaN,0.0,NaN,NaN,39.6,0.0,NaN,NaN
65240,2,2060.03,1,2060.03,NaN,2060.03,2060.03,2060.03,NaN,0.0,NaN,NaN,2060.03,0.0,NaN,NaN
