txn_id,sourceTimestamp_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
50685,28,292.95,1,292.95,NaN,292.95,292.95,292.95,NaN,0.0,NaN,NaN,292.95,0.0,NaN,NaN
50847,28,358.82,1,358.82,NaN,358.82,358.82,358.82,NaN,0.0,NaN,NaN,358.82,0.0,NaN,NaN
50976,28,571.0,1,571.0,NaN,571.0,571.0,571.0,NaN,0.0,NaN,NaN,571.0,0.0,NaN,NaN
51144,28,295.66,1,295.66,NaN,295.66,295.66,295.66,NaN,0.0,NaN,NaN,295.66,0.0,NaN,NaN
51179,28,130.64,1,130.64,NaN,130.64,130.64,130.64,NaN,0.0,NaN,NaN,130.64,0.0,NaN,NaN
51297,28,464.61,1,464.61,NaN,464.61,464.61,464.61,NaN,0.0,NaN,NaN,464.61,0.0,NaN,NaN
51402,28,315.0,1,315.0,NaN,315.0,315.0,315.0,NaN,0.0,NaN,NaN,315.0,0.0,NaN,NaN
51641,28,863.39,1,863.39,NaN,863.39,863.39,863.39,NaN,0.0,NaN,NaN,863.39,0.0,NaN,NaN
51772,28,177.35,1,177.35,NaN,177.35,177.35,177.35,NaN,0.0,NaN,NaN,177.35,0.0,NaN,NaN
52154,28,1491.46,1,1491.46,NaN,1491.46,1491.46,1491.46,NaN,0.0,NaN,NaN,1491.46,0.0,NaN,NaN
52242,28,279.85,1,279.85,NaN,279.85,279.85,279.85,NaN,0.0,NaN,NaN,279.85,0.0,NaN,NaN
52418,28,287.45,1,287.45,NaN,287.45,287.45,287.45,NaN,0.0,NaN,NaN,287.45,0.0,NaN,NaN
52990,28,119.49,1,119.49,NaN,119.49,119.49,119.49,NaN,0.0,NaN,NaN,119.49,0.0,NaN,NaN
53143,28,418.48,1,418.48,NaN,418.48,418.48,418.48,NaN,0.0,NaN,NaN,418.48,0.0,NaN,NaN
53255,28,148.35,1,148.35,NaN,148.35,148.35,148.35,NaN,0.0,NaN,NaN,148.35,0.0,NaN,NaN
53450,28,297.66,1,297.66,NaN,297.66,297.66,297.66,NaN,0.0,NaN,NaN,297.66,0.0,NaN,NaN
53764,28,138.55,1,138.55,NaN,138.55,138.55,138.55,NaN,0.0,NaN,NaN,138.55,0.0,NaN,NaN
