txn_id,sourceTimestamp_quarter,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
50161,4,101.55,1,101.55,NaN,101.55,101.55,101.55,NaN,0.0,NaN,NaN,101.55,0.0,NaN,NaN
50201,4,330.0,1,330.0,NaN,330.0,330.0,330.0,NaN,0.0,NaN,NaN,330.0,0.0,NaN,NaN
50582,4,246.3,1,246.3,NaN,246.3,246.3,246.3,NaN,0.0,NaN,NaN,246.3,0.0,NaN,NaN
51146,4,450.92,1,450.92,NaN,450.92,450.92,450.92,NaN,0.0,NaN,NaN,450.92,0.0,NaN,NaN
51531,4,300.65,1,300.65,NaN,300.65,300.65,300.65,NaN,0.0,NaN,NaN,300.65,0.0,NaN,NaN
52158,4,843.78,1,843.78,NaN,843.78,843.78,843.78,NaN,0.0,NaN,NaN,843.78,0.0,NaN,NaN
52588,4,1262.85,1,1262.85,NaN,1262.85,1262.85,1262.85,NaN,0.0,NaN,NaN,1262.85,0.0,NaN,NaN
52603,4,353.69,1,353.69,NaN,353.69,353.69,353.69,NaN,0.0,NaN,NaN,353.69,0.0,NaN,NaN
52927,4,559.85,1,559.85,NaN,559.85,559.85,559.85,NaN,0.0,NaN,NaN,559.85,0.0,NaN,NaN
53434,4,258.25,1,258.25,NaN,258.25,258.25,258.25,NaN,0.0,NaN,NaN,258.25,0.0,NaN,NaN
53509,4,146.85,1,146.85,NaN,146.85,146.85,146.85,NaN,0.0,NaN,NaN,146.85,0.0,NaN,NaN
53867,4,91.8,1,91.8,NaN,91.8,91.8,91.8,NaN,0.0,NaN,NaN,91.8,0.0,NaN,NaN
54351,4,123.95,1,123.95,NaN,123.95,123.95,123.95,NaN,0.0,NaN,NaN,123.95,0.0,NaN,NaN
54597,4,160.85,1,160.85,NaN,160.85,160.85,160.85,NaN,0.0,NaN,NaN,160.85,0.0,NaN,NaN
54705,4,333.3,1,333.3,NaN,333.3,333.3,333.3,NaN,0.0,NaN,NaN,333.3,0.0,NaN,NaN
54721,4,164.1,1,164.1,NaN,164.1,164.1,164.1,NaN,0.0,NaN,NaN,164.1,0.0,NaN,NaN
55000,4,29.7,1,29.7,NaN,29.7,29.7,29.7,NaN,0.0,NaN,NaN,29.7,0.0,NaN,NaN
