txn_id,sourceTimestamp_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
50100,3,42.9,1,42.9,NaN,42.9,42.9,42.9,NaN,0.0,NaN,NaN,42.9,0.0,NaN,NaN
50152,3,540.38,1,540.38,NaN,540.38,540.38,540.38,NaN,0.0,NaN,NaN,540.38,0.0,NaN,NaN
50212,3,311.81,1,311.81,NaN,311.81,311.81,311.81,NaN,0.0,NaN,NaN,311.81,0.0,NaN,NaN
50225,3,160.6,1,160.6,NaN,160.6,160.6,160.6,NaN,0.0,NaN,NaN,160.6,0.0,NaN,NaN
50545,3,1705.65,1,1705.65,NaN,1705.65,1705.65,1705.65,NaN,0.0,NaN,NaN,1705.65,0.0,NaN,NaN
50590,3,135.33,1,135.33,NaN,135.33,135.33,135.33,NaN,0.0,NaN,NaN,135.33,0.0,NaN,NaN
50593,3,535.75,1,535.75,NaN,535.75,535.75,535.75,NaN,0.0,NaN,NaN,535.75,0.0,NaN,NaN
50694,3,211.8,1,211.8,NaN,211.8,211.8,211.8,NaN,0.0,NaN,NaN,211.8,0.0,NaN,NaN
50838,3,379.7,1,379.7,NaN,379.7,379.7,379.7,NaN,0.0,NaN,NaN,379.7,0.0,NaN,NaN
50986,3,108.78,1,108.78,NaN,108.78,108.78,108.78,NaN,0.0,NaN,NaN,108.78,0.0,NaN,NaN
51184,3,251.09,1,251.09,NaN,251.09,251.09,251.09,NaN,0.0,NaN,NaN,251.09,0.0,NaN,NaN
51220,3,313.72,1,313.72,NaN,313.72,313.72,313.72,NaN,0.0,NaN,NaN,313.72,0.0,NaN,NaN
51493,3,919.8,1,919.8,NaN,919.8,919.8,919.8,NaN,0.0,NaN,NaN,919.8,0.0,NaN,NaN
51814,3,307.39,1,307.39,NaN,307.39,307.39,307.39,NaN,0.0,NaN,NaN,307.39,0.0,NaN,NaN
52021,3,306.84,1,306.84,NaN,306.84,306.84,306.84,NaN,0.0,NaN,NaN,306.84,0.0,NaN,NaN
52122,3,164.6,1,164.6,NaN,164.6,164.6,164.6,NaN,0.0,NaN,NaN,164.6,0.0,NaN,NaN
52607,3,474.66,1,474.66,NaN,474.66,474.66,474.66,NaN,0.0,NaN,NaN,474.66,0.0,NaN,NaN
52675,3,243.4,1,243.4,NaN,243.4,243.4,243.4,NaN,0.0,NaN,NaN,243.4,0.0,NaN,NaN
53789,3,122.44,1,122.44,NaN,122.44,122.44,122.44,NaN,0.0,NaN,NaN,122.44,0.0,NaN,NaN
53886,3,282.6,1,282.6,NaN,282.6,282.6,282.6,NaN,0.0,NaN,NaN,282.6,0.0,NaN,NaN
53956,3,169.65,1,169.65,NaN,169.65,169.65,169.65,NaN,0.0,NaN,NaN,169.65,0.0,NaN,NaN
54051,3,102.0,1,102.0,NaN,102.0,102.0,102.0,NaN,0.0,NaN,NaN,102.0,0.0,NaN,NaN
54724,3,71.9,1,71.9,NaN,71.9,71.9,71.9,NaN,0.0,NaN,NaN,71.9,0.0,NaN,NaN
55641,3,5.1,1,5.1,NaN,5.1,5.1,5.1,NaN,0.0,NaN,NaN,5.1,0.0,NaN,NaN
55750,3,108.15,1,108.15,NaN,108.15,108.15,108.15,NaN,0.0,NaN,NaN,108.15,0.0,NaN,NaN
55801,3,440.83,1,440.83,NaN,440.83,440.83,440.83,NaN,0.0,NaN,NaN,440.83,0.0,NaN,NaN
55946,3,291.0,1,291.0,NaN,291.0,291.0,291.0,NaN,0.0,NaN,NaN,291.0,0.0,NaN,NaN
55998,3,363.65,1,363.65,NaN,363.65,363.65,363.65,NaN,0.0,NaN,NaN,363.65,0.0,NaN,NaN
56053,3,169.94,1,169.94,NaN,169.94,169.94,169.94,NaN,0.0,NaN,NaN,169.94,0.0,NaN,NaN
56145,3,375.17,1,375.17,NaN,375.17,375.17,375.17,NaN,0.0,NaN,NaN,375.17,0.0,NaN,NaN
56151,3,321.23,1,321.23,NaN,321.23,321.23,321.23,NaN,0.0,NaN,NaN,321.23,0.0,NaN,NaN
56212,3,149.95,1,149.95,NaN,149.95,149.95,149.95,NaN,0.0,NaN,NaN,149.95,0.0,NaN,NaN
57077,3,987.42,1,987.42,NaN,987.42,987.42,987.42,NaN,0.0,NaN,NaN,987.42,0.0,NaN,NaN
57152,3,301.04,1,301.04,NaN,301.04,301.04,301.04,NaN,0.0,NaN,NaN,301.04,0.0,NaN,NaN
57275,3,317.56,1,317.56,NaN,317.56,317.56,317.56,NaN,0.0,NaN,NaN,317.56,0.0,NaN,NaN
57340,3,352.6,1,352.6,NaN,352.6,352.6,352.6,NaN,0.0,NaN,NaN,352.6,0.0,NaN,NaN
57418,3,115.09,1,115.09,NaN,115.09,115.09,115.09,NaN,0.0,NaN,NaN,115.09,0.0,NaN,NaN
57582,3,111.95,1,111.95,NaN,111.95,111.95,111.95,NaN,0.0,NaN,NaN,111.95,0.0,NaN,NaN
57948,3,877.88,1,877.88,NaN,877.88,877.88,877.88,NaN,0.0,NaN,NaN,877.88,0.0,NaN,NaN
58421,3,317.9,1,317.9,NaN,317.9,317.9,317.9,NaN,0.0,NaN,NaN,317.9,0.0,NaN,NaN
58454,3,283.71,1,283.71,NaN,283.71,283.71,283.71,NaN,0.0,NaN,NaN,283.71,0.0,NaN,NaN
58673,3,296.2,1,296.2,NaN,296.2,296.2,296.2,NaN,0.0,NaN,NaN,296.2,0.0,NaN,NaN
58890,3,599.84,1,599.84,NaN,599.84,599.84,599.84,NaN,0.0,NaN,NaN,599.84,0.0,NaN,NaN
59281,3,373.27,1,373.27,NaN,373.27,373.27,373.27,NaN,0.0,NaN,NaN,373.27,0.0,NaN,NaN
59342,3,194.75,1,194.75,NaN,194.75,194.75,194.75,NaN,0.0,NaN,NaN,194.75,0.0,NaN,NaN
59402,3,280.66,1,280.66,NaN,280.66,280.66,280.66,NaN,0.0,NaN,NaN,280.66,0.0,NaN,NaN
59946,3,486.1,1,486.1,NaN,486.1,486.1,486.1,NaN,0.0,NaN,NaN,486.1,0.0,NaN,NaN
60338,3,74.7,1,74.7,NaN,74.7,74.7,74.7,NaN,0.0,NaN,NaN,74.7,0.0,NaN,NaN
60408,3,397.2,1,397.2,NaN,397.2,397.2,397.2,NaN,0.0,NaN,NaN,397.2,0.0,NaN,NaN
60444,3,139.35,1,139.35,NaN,139.35,139.35,139.35,NaN,0.0,NaN,NaN,139.35,0.0,NaN,NaN
60523,3,314.92,1,314.92,NaN,314.92,314.92,314.92,NaN,0.0,NaN,NaN,314.92,0.0,NaN,NaN
60666,3,122.4,1,122.4,NaN,122.4,122.4,122.4,NaN,0.0,NaN,NaN,122.4,0.0,NaN,NaN
60899,3,108.87,1,108.87,NaN,108.87,108.87,108.87,NaN,0.0,NaN,NaN,108.87,0.0,NaN,NaN
61117,3,296.88,1,296.88,NaN,296.88,296.88,296.88,NaN,0.0,NaN,NaN,296.88,0.0,NaN,NaN
61275,3,356.4,1,356.4,NaN,356.4,356.4,356.4,NaN,0.0,NaN,NaN,356.4,0.0,NaN,NaN
61608,3,360.18,1,360.18,NaN,360.18,360.18,360.18,NaN,0.0,NaN,NaN,360.18,0.0,NaN,NaN
61609,3,360.18,1,360.18,NaN,360.18,360.18,360.18,NaN,0.0,NaN,NaN,360.18,0.0,NaN,NaN
61675,3,314.55,1,314.55,NaN,314.55,314.55,314.55,NaN,0.0,NaN,NaN,314.55,0.0,NaN,NaN
61862,3,156.02,1,156.02,NaN,156.02,156.02,156.02,NaN,0.0,NaN,NaN,156.02,0.0,NaN,NaN
