txn_id,txn_timestamp_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
50001,1,139.12,1,139.12,NaN,139.12,139.12,139.12,NaN,0.0,NaN,NaN,139.12,0.0,NaN,NaN
50284,2,204.15,1,204.15,NaN,204.15,204.15,204.15,NaN,0.0,NaN,NaN,204.15,0.0,NaN,NaN
50545,3,1705.65,1,1705.65,NaN,1705.65,1705.65,1705.65,NaN,0.0,NaN,NaN,1705.65,0.0,NaN,NaN
50590,3,135.33,1,135.33,NaN,135.33,135.33,135.33,NaN,0.0,NaN,NaN,135.33,0.0,NaN,NaN
50616,5,552.24,1,552.24,NaN,552.24,552.24,552.24,NaN,0.0,NaN,NaN,552.24,0.0,NaN,NaN
50737,5,167.2,1,167.2,NaN,167.2,167.2,167.2,NaN,0.0,NaN,NaN,167.2,0.0,NaN,NaN
50840,6,185.97,1,185.97,NaN,185.97,185.97,185.97,NaN,0.0,NaN,NaN,185.97,0.0,NaN,NaN
50883,6,422.81,1,422.81,NaN,422.81,422.81,422.81,NaN,0.0,NaN,NaN,422.81,0.0,NaN,NaN
50980,7,118.32,1,118.32,NaN,118.32,118.32,118.32,NaN,0.0,NaN,NaN,118.32,0.0,NaN,NaN
51078,8,356.91,1,356.91,NaN,356.91,356.91,356.91,NaN,0.0,NaN,NaN,356.91,0.0,NaN,NaN
51100,8,173.55,1,173.55,NaN,173.55,173.55,173.55,NaN,0.0,NaN,NaN,173.55,0.0,NaN,NaN
51529,10,1156.05,1,1156.05,NaN,1156.05,1156.05,1156.05,NaN,0.0,NaN,NaN,1156.05,0.0,NaN,NaN
51768,13,38.1,1,38.1,NaN,38.1,38.1,38.1,NaN,0.0,NaN,NaN,38.1,0.0,NaN,NaN
51818,14,134.65,1,134.65,NaN,134.65,134.65,134.65,NaN,0.0,NaN,NaN,134.65,0.0,NaN,NaN
51875,14,92.82,1,92.82,NaN,92.82,92.82,92.82,NaN,0.0,NaN,NaN,92.82,0.0,NaN,NaN
51956,15,97.5,1,97.5,NaN,97.5,97.5,97.5,NaN,0.0,NaN,NaN,97.5,0.0,NaN,NaN
52016,15,571.48,1,571.48,NaN,571.48,571.48,571.48,NaN,0.0,NaN,NaN,571.48,0.0,NaN,NaN
52210,16,250.65,1,250.65,NaN,250.65,250.65,250.65,NaN,0.0,NaN,NaN,250.65,0.0,NaN,NaN
52892,7,104.76,1,104.76,NaN,104.76,104.76,104.76,NaN,0.0,NaN,NaN,104.76,0.0,NaN,NaN
53072,10,404.12,1,404.12,NaN,404.12,404.12,404.12,NaN,0.0,NaN,NaN,404.12,0.0,NaN,NaN
53149,11,415.55,1,415.55,NaN,415.55,415.55,415.55,NaN,0.0,NaN,NaN,415.55,0.0,NaN,NaN
53536,17,248.42,1,248.42,NaN,248.42,248.42,248.42,NaN,0.0,NaN,NaN,248.42,0.0,NaN,NaN
53827,23,469.18,1,469.18,NaN,469.18,469.18,469.18,NaN,0.0,NaN,NaN,469.18,0.0,NaN,NaN
53990,25,800.19,1,800.19,NaN,800.19,800.19,800.19,NaN,0.0,NaN,NaN,800.19,0.0,NaN,NaN
54099,26,9.95,1,9.95,NaN,9.95,9.95,9.95,NaN,0.0,NaN,NaN,9.95,0.0,NaN,NaN
54245,28,1521.1,1,1521.1,NaN,1521.1,1521.1,1521.1,NaN,0.0,NaN,NaN,1521.1,0.0,NaN,NaN
54506,2,2489.11,1,2489.11,NaN,2489.11,2489.11,2489.11,NaN,0.0,NaN,NaN,2489.11,0.0,NaN,NaN
54705,4,333.3,1,333.3,NaN,333.3,333.3,333.3,NaN,0.0,NaN,NaN,333.3,0.0,NaN,NaN
54721,4,164.1,1,164.1,NaN,164.1,164.1,164.1,NaN,0.0,NaN,NaN,164.1,0.0,NaN,NaN
54791,5,331.42,1,331.42,NaN,331.42,331.42,331.42,NaN,0.0,NaN,NaN,331.42,0.0,NaN,NaN
54917,9,602.72,1,602.72,NaN,602.72,602.72,602.72,NaN,0.0,NaN,NaN,602.72,0.0,NaN,NaN
55210,15,309.5,1,309.5,NaN,309.5,309.5,309.5,NaN,0.0,NaN,NaN,309.5,0.0,NaN,NaN
55961,25,596.79,1,596.79,NaN,596.79,596.79,596.79,NaN,0.0,NaN,NaN,596.79,0.0,NaN,NaN
56102,26,678.15,1,678.15,NaN,678.15,678.15,678.15,NaN,0.0,NaN,NaN,678.15,0.0,NaN,NaN
56265,29,242.95,1,242.95,NaN,242.95,242.95,242.95,NaN,0.0,NaN,NaN,242.95,0.0,NaN,NaN
57408,14,147.71,1,147.71,NaN,147.71,147.71,147.71,NaN,0.0,NaN,NaN,147.71,0.0,NaN,NaN
57532,15,248.29,1,248.29,NaN,248.29,248.29,248.29,NaN,0.0,NaN,NaN,248.29,0.0,NaN,NaN
57739,19,332.6,1,332.6,NaN,332.6,332.6,332.6,NaN,0.0,NaN,NaN,332.6,0.0,NaN,NaN
57886,20,292.47,1,292.47,NaN,292.47,292.47,292.47,NaN,0.0,NaN,NaN,292.47,0.0,NaN,NaN
58226,25,633.6,1,633.6,NaN,633.6,633.6,633.6,NaN,0.0,NaN,NaN,633.6,0.0,NaN,NaN
58293,26,329.44,1,329.44,NaN,329.44,329.44,329.44,NaN,0.0,NaN,NaN,329.44,0.0,NaN,NaN
58890,3,599.84,1,599.84,NaN,599.84,599.84,599.84,NaN,0.0,NaN,NaN,599.84,0.0,NaN,NaN
59039,4,306.89,1,306.89,NaN,306.89,306.89,306.89,NaN,0.0,NaN,NaN,306.89,0.0,NaN,NaN
59197,6,269.83,1,269.83,NaN,269.83,269.83,269.83,NaN,0.0,NaN,NaN,269.83,0.0,NaN,NaN
59264,7,215.34,1,215.34,NaN,215.34,215.34,215.34,NaN,0.0,NaN,NaN,215.34,0.0,NaN,NaN
60041,16,290.52,1,290.52,NaN,290.52,290.52,290.52,NaN,0.0,NaN,NaN,290.52,0.0,NaN,NaN
60223,18,367.62,1,367.62,NaN,367.62,367.62,367.62,NaN,0.0,NaN,NaN,367.62,0.0,NaN,NaN
60297,19,179.0,1,179.0,NaN,179.0,179.0,179.0,NaN,0.0,NaN,NaN,179.0,0.0,NaN,NaN
60501,20,875.79,1,875.79,NaN,875.79,875.79,875.79,NaN,0.0,NaN,NaN,875.79,0.0,NaN,NaN
60679,26,1642.5,1,1642.5,NaN,1642.5,1642.5,1642.5,NaN,0.0,NaN,NaN,1642.5,0.0,NaN,NaN
60759,27,438.0,1,438.0,NaN,438.0,438.0,438.0,NaN,0.0,NaN,NaN,438.0,0.0,NaN,NaN
60953,1,106.66,1,106.66,NaN,106.66,106.66,106.66,NaN,0.0,NaN,NaN,106.66,0.0,NaN,NaN
60982,1,76.65,1,76.65,NaN,76.65,76.65,76.65,NaN,0.0,NaN,NaN,76.65,0.0,NaN,NaN
61014,2,476.29,1,476.29,NaN,476.29,476.29,476.29,NaN,0.0,NaN,NaN,476.29,0.0,NaN,NaN
61052,2,411.54,1,411.54,NaN,411.54,411.54,411.54,NaN,0.0,NaN,NaN,411.54,0.0,NaN,NaN
