txn_id,txn_timestamp_quarter,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
50001,1,139.12,1,139.12,NaN,139.12,139.12,139.12,NaN,0.0,NaN,NaN,139.12,0.0,NaN,NaN
50395,1,324.0,1,324.0,NaN,324.0,324.0,324.0,NaN,0.0,NaN,NaN,324.0,0.0,NaN,NaN
50672,1,517.65,1,517.65,NaN,517.65,517.65,517.65,NaN,0.0,NaN,NaN,517.65,0.0,NaN,NaN
50704,1,85.5,1,85.5,NaN,85.5,85.5,85.5,NaN,0.0,NaN,NaN,85.5,0.0,NaN,NaN
50791,1,303.5,1,303.5,NaN,303.5,303.5,303.5,NaN,0.0,NaN,NaN,303.5,0.0,NaN,NaN
51134,1,215.88,1,215.88,NaN,215.88,215.88,215.88,NaN,0.0,NaN,NaN,215.88,0.0,NaN,NaN
51627,1,11.6,1,11.6,NaN,11.6,11.6,11.6,NaN,0.0,NaN,NaN,11.6,0.0,NaN,NaN
51701,1,310.8,1,310.8,NaN,310.8,310.8,310.8,NaN,0.0,NaN,NaN,310.8,0.0,NaN,NaN
51733,1,243.0,1,243.0,NaN,243.0,243.0,243.0,NaN,0.0,NaN,NaN,243.0,0.0,NaN,NaN
52043,1,1536.85,1,1536.85,NaN,1536.85,1536.85,1536.85,NaN,0.0,NaN,NaN,1536.85,0.0,NaN,NaN
52117,1,328.77,1,328.77,NaN,328.77,328.77,328.77,NaN,0.0,NaN,NaN,328.77,0.0,NaN,NaN
52162,1,104.48,1,104.48,NaN,104.48,104.48,104.48,NaN,0.0,NaN,NaN,104.48,0.0,NaN,NaN
52172,1,377.52,1,377.52,NaN,377.52,377.52,377.52,NaN,0.0,NaN,NaN,377.52,0.0,NaN,NaN
52269,1,124.51,1,124.51,NaN,124.51,124.51,124.51,NaN,0.0,NaN,NaN,124.51,0.0,NaN,NaN
52275,1,300.04,1,300.04,NaN,300.04,300.04,300.04,NaN,0.0,NaN,NaN,300.04,0.0,NaN,NaN
52472,1,144.5,1,144.5,NaN,144.5,144.5,144.5,NaN,0.0,NaN,NaN,144.5,0.0,NaN,NaN
52594,1,256.61,1,256.61,NaN,256.61,256.61,256.61,NaN,0.0,NaN,NaN,256.61,0.0,NaN,NaN
52778,2,186.0,1,186.0,NaN,186.0,186.0,186.0,NaN,0.0,NaN,NaN,186.0,0.0,NaN,NaN
53063,2,827.18,1,827.18,NaN,827.18,827.18,827.18,NaN,0.0,NaN,NaN,827.18,0.0,NaN,NaN
53175,2,154.9,1,154.9,NaN,154.9,154.9,154.9,NaN,0.0,NaN,NaN,154.9,0.0,NaN,NaN
53253,2,1289.5,1,1289.5,NaN,1289.5,1289.5,1289.5,NaN,0.0,NaN,NaN,1289.5,0.0,NaN,NaN
53647,2,410.18,1,410.18,NaN,410.18,410.18,410.18,NaN,0.0,NaN,NaN,410.18,0.0,NaN,NaN
54291,2,182.8,1,182.8,NaN,182.8,182.8,182.8,NaN,0.0,NaN,NaN,182.8,0.0,NaN,NaN
54506,2,2489.11,1,2489.11,NaN,2489.11,2489.11,2489.11,NaN,0.0,NaN,NaN,2489.11,0.0,NaN,NaN
54568,2,1341.96,1,1341.96,NaN,1341.96,1341.96,1341.96,NaN,0.0,NaN,NaN,1341.96,0.0,NaN,NaN
54696,2,213.9,1,213.9,NaN,213.9,213.9,213.9,NaN,0.0,NaN,NaN,213.9,0.0,NaN,NaN
54771,2,393.49,1,393.49,NaN,393.49,393.49,393.49,NaN,0.0,NaN,NaN,393.49,0.0,NaN,NaN
54772,2,393.49,1,393.49,NaN,393.49,393.49,393.49,NaN,0.0,NaN,NaN,393.49,0.0,NaN,NaN
55245,2,298.05,1,298.05,NaN,298.05,298.05,298.05,NaN,0.0,NaN,NaN,298.05,0.0,NaN,NaN
56121,2,386.9,1,386.9,NaN,386.9,386.9,386.9,NaN,0.0,NaN,NaN,386.9,0.0,NaN,NaN
