txn_id,txn_timestamp_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
50161,4,101.55,1,101.55,NaN,101.55,101.55,101.55,NaN,0.0,NaN,NaN,101.55,0.0,NaN,NaN
50201,4,330.0,1,330.0,NaN,330.0,330.0,330.0,NaN,0.0,NaN,NaN,330.0,0.0,NaN,NaN
50422,5,236.97,1,236.97,NaN,236.97,236.97,236.97,NaN,0.0,NaN,NaN,236.97,0.0,NaN,NaN
50672,1,517.65,1,517.65,NaN,517.65,517.65,517.65,NaN,0.0,NaN,NaN,517.65,0.0,NaN,NaN
50704,1,85.5,1,85.5,NaN,85.5,85.5,85.5,NaN,0.0,NaN,NaN,85.5,0.0,NaN,NaN
50986,3,108.78,1,108.78,NaN,108.78,108.78,108.78,NaN,0.0,NaN,NaN,108.78,0.0,NaN,NaN
51146,4,450.92,1,450.92,NaN,450.92,450.92,450.92,NaN,0.0,NaN,NaN,450.92,0.0,NaN,NaN
51278,5,525.93,1,525.93,NaN,525.93,525.93,525.93,NaN,0.0,NaN,NaN,525.93,0.0,NaN,NaN
51627,1,11.6,1,11.6,NaN,11.6,11.6,11.6,NaN,0.0,NaN,NaN,11.6,0.0,NaN,NaN
51814,3,307.39,1,307.39,NaN,307.39,307.39,307.39,NaN,0.0,NaN,NaN,307.39,0.0,NaN,NaN
52607,3,474.66,1,474.66,NaN,474.66,474.66,474.66,NaN,0.0,NaN,NaN,474.66,0.0,NaN,NaN
52909,6,688.45,1,688.45,NaN,688.45,688.45,688.45,NaN,0.0,NaN,NaN,688.45,0.0,NaN,NaN
52944,1,282.25,1,282.25,NaN,282.25,282.25,282.25,NaN,0.0,NaN,NaN,282.25,0.0,NaN,NaN
52984,1,136.05,1,136.05,NaN,136.05,136.05,136.05,NaN,0.0,NaN,NaN,136.05,0.0,NaN,NaN
53020,1,258.0,1,258.0,NaN,258.0,258.0,258.0,NaN,0.0,NaN,NaN,258.0,0.0,NaN,NaN
53063,2,827.18,1,827.18,NaN,827.18,827.18,827.18,NaN,0.0,NaN,NaN,827.18,0.0,NaN,NaN
53331,5,14.95,1,14.95,NaN,14.95,14.95,14.95,NaN,0.0,NaN,NaN,14.95,0.0,NaN,NaN
