txn_id,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
50223,349.15,1,349.15,NaN,349.15,349.15,349.15,NaN,0.0,NaN,NaN,349.15,0.0,NaN,NaN
50348,341.9,1,341.9,NaN,341.9,341.9,341.9,NaN,0.0,NaN,NaN,341.9,0.0,NaN,NaN
50353,100.2,1,100.2,NaN,100.2,100.2,100.2,NaN,0.0,NaN,NaN,100.2,0.0,NaN,NaN
51123,203.64,1,203.64,NaN,203.64,203.64,203.64,NaN,0.0,NaN,NaN,203.64,0.0,NaN,NaN
51393,378.53,1,378.53,NaN,378.53,378.53,378.53,NaN,0.0,NaN,NaN,378.53,0.0,NaN,NaN
51415,685.0,1,685.0,NaN,685.0,685.0,685.0,NaN,0.0,NaN,NaN,685.0,0.0,NaN,NaN
51595,147.09,1,147.09,NaN,147.09,147.09,147.09,NaN,0.0,NaN,NaN,147.09,0.0,NaN,NaN
51607,214.24,1,214.24,NaN,214.24,214.24,214.24,NaN,0.0,NaN,NaN,214.24,0.0,NaN,NaN
52697,2574.48,1,2574.48,NaN,2574.48,2574.48,2574.48,NaN,0.0,NaN,NaN,2574.48,0.0,NaN,NaN
53191,445.6,1,445.6,NaN,445.6,445.6,445.6,NaN,0.0,NaN,NaN,445.6,0.0,NaN,NaN
53565,390.0,1,390.0,NaN,390.0,390.0,390.0,NaN,0.0,NaN,NaN,390.0,0.0,NaN,NaN
53634,7722.04,1,7722.04,NaN,7722.04,7722.04,7722.04,NaN,0.0,NaN,NaN,7722.04,0.0,NaN,NaN
53691,529.91,1,529.91,NaN,529.91,529.91,529.91,NaN,0.0,NaN,NaN,529.91,0.0,NaN,NaN
53963,90.9,1,90.9,NaN,90.9,90.9,90.9,NaN,0.0,NaN,NaN,90.9,0.0,NaN,NaN
54190,317.15,1,317.15,NaN,317.15,317.15,317.15,NaN,0.0,NaN,NaN,317.15,0.0,NaN,NaN
54264,459.8,1,459.8,NaN,459.8,459.8,459.8,NaN,0.0,NaN,NaN,459.8,0.0,NaN,NaN
55155,530.15,1,530.15,NaN,530.15,530.15,530.15,NaN,0.0,NaN,NaN,530.15,0.0,NaN,NaN
55265,367.76,1,367.76,NaN,367.76,367.76,367.76,NaN,0.0,NaN,NaN,367.76,0.0,NaN,NaN
55283,615.0,1,615.0,NaN,615.0,615.0,615.0,NaN,0.0,NaN,NaN,615.0,0.0,NaN,NaN
55869,649.02,1,649.02,NaN,649.02,649.02,649.02,NaN,0.0,NaN,NaN,649.02,0.0,NaN,NaN
56054,365.1,1,365.1,NaN,365.1,365.1,365.1,NaN,0.0,NaN,NaN,365.1,0.0,NaN,NaN
56110,532.72,1,532.72,NaN,532.72,532.72,532.72,NaN,0.0,NaN,NaN,532.72,0.0,NaN,NaN
56640,533.18,1,533.18,NaN,533.18,533.18,533.18,NaN,0.0,NaN,NaN,533.18,0.0,NaN,NaN
56680,673.9,1,673.9,NaN,673.9,673.9,673.9,NaN,0.0,NaN,NaN,673.9,0.0,NaN,NaN
56741,89.7,1,89.7,NaN,89.7,89.7,89.7,NaN,0.0,NaN,NaN,89.7,0.0,NaN,NaN
56987,300.54,1,300.54,NaN,300.54,300.54,300.54,NaN,0.0,NaN,NaN,300.54,0.0,NaN,NaN
57020,101.34,1,101.34,NaN,101.34,101.34,101.34,NaN,0.0,NaN,NaN,101.34,0.0,NaN,NaN
57039,209.94,1,209.94,NaN,209.94,209.94,209.94,NaN,0.0,NaN,NaN,209.94,0.0,NaN,NaN
