,Value,Feature
0,75,index
1,20,txn_id
2,185,txn_amount
3,0,txn_desc
4,588,customer_id
5,404,customer_acct_id
6,0,customer_acct_bal
7,0,branch_id
8,76,counterparty_id
9,49,counterparty_acct_id
10,0,counterparty_first_name
11,0,counterparty_last_name
12,0,counterparty_state
13,381,alert_id
14,29,src_sys
15,144,src_id
16,0,end_ts
17,82,susptype2
18,0,susptype3
19,164,alert_score
20,0,peer_group
21,0,desc_1
22,0,desc_2
23,0,desc_3
24,0,review_state
25,0,review_ts
26,0,review_oper
27,0,closed_ts
28,0,disposition_oper
29,2,year
30,31,day
31,14,hour
32,23,month
33,9,txn_type_ATM
34,5,txn_type_WIRE
35,30,customer_country_AUT
36,45,customer_country_BRA
37,47,customer_country_CAN
38,72,customer_country_CHE
39,2,customer_country_CHN
40,30,customer_country_DEU
41,6,customer_country_DNK
42,17,customer_country_ESP
43,24,customer_country_FIN
44,57,customer_country_FRA
45,12,customer_country_GBR
46,111,customer_country_GRC
47,57,customer_country_IND
48,21,customer_country_ITA
49,1,customer_country_JPN
50,50,customer_country_MEX
51,3,customer_country_NLD
52,17,customer_country_NOR
53,13,customer_country_PRT
54,19,customer_country_RUS
55,24,customer_country_SWE
56,9,customer_country_TUR
57,59,customer_country_USA
58,35,customer_country_ZAF
59,7,debit_credit_Debit
60,4,counterparty_country_AUT
61,0,counterparty_country_BRA
62,0,counterparty_country_CAN
63,1,counterparty_country_CHE
64,0,counterparty_country_CHN
65,0,counterparty_country_DEU
66,0,counterparty_country_DNK
67,1,counterparty_country_ESP
68,0,counterparty_country_FIN
69,0,counterparty_country_FRA
70,0,counterparty_country_GBR
71,0,counterparty_country_GRC
72,1,counterparty_country_IND
73,2,counterparty_country_ITA
74,0,counterparty_country_JPN
75,2,counterparty_country_MEX
76,2,counterparty_country_NLD
77,0,counterparty_country_NOR
78,0,counterparty_country_PRT
79,0,counterparty_country_RUS
80,0,counterparty_country_SWE
81,0,counterparty_country_TUR
82,0,counterparty_country_USA
83,1,counterparty_country_ZAF
84,29,priority_low
85,6,priority_medium
86,9,susptype1_CR-H
87,10,susptype1_CR-S
88,33,susptype1_CR-T
